"symbol","date","open","high","low","close","volume","adjusted"
"TAP",1996-01-02,11.0625,11.1875,10.8125,11.0625,222800,6.569801
"TAP",1996-01-03,11.125,11.3125,10.75,10.8125,353200,6.421331
"TAP",1996-01-04,10.8125,11,10.5,10.5625,327600,6.27286
"TAP",1996-01-05,10.4375,10.625,10.375,10.5625,347800,6.27286
"TAP",1996-01-08,10.4375,10.5625,10.4375,10.4375,42200,6.198627
"TAP",1996-01-09,10.4375,10.875,10.4375,10.875,212400,6.45845
"TAP",1996-01-10,10.625,11.25,10.625,11.25,522000,6.681154
"TAP",1996-01-11,11.125,11.625,11.125,11.4375,272000,6.792509
"TAP",1996-01-12,11.5,11.6875,11.375,11.625,446000,6.903861
"TAP",1996-01-15,11.5,11.625,11.375,11.40625,132800,6.773946
"TAP",1996-01-16,11.4375,11.4375,11.25,11.25,46000,6.681154
"TAP",1996-01-17,11.1875,11.4375,11.1875,11.375,74000,6.755389
"TAP",1996-01-18,11.1875,11.5625,11.1875,11.375,118400,6.755389
"TAP",1996-01-19,11.5,11.625,11.375,11.5625,260000,6.866738
"TAP",1996-01-22,11.5,11.5625,11.4375,11.5625,303200,6.866738
"TAP",1996-01-23,11.5625,11.6875,11.4375,11.625,140400,6.903861
"TAP",1996-01-24,11.5625,11.6875,11.5625,11.6875,167600,6.940974
"TAP",1996-01-25,11.5625,11.6875,11.5,11.625,107000,6.903861
"TAP",1996-01-26,11.625,11.625,11.5,11.5,94200,6.829622
"TAP",1996-01-29,11.5,11.59375,11.4375,11.5625,143800,6.866738
"TAP",1996-01-30,11.5625,11.625,11.4375,11.4375,209200,6.792509
"TAP",1996-01-31,11.4375,12,11.4375,12,170800,7.126564
"TAP",1996-02-01,12.125,12.125,11.875,11.875,472800,7.052331
"TAP",1996-02-02,11.9375,11.9375,10.6875,11,701400,6.532681
"TAP",1996-02-05,10.8125,10.9375,9.375,9.375,981200,5.567628
"TAP",1996-02-06,9.125,9.8125,9,9.75,570000,5.790332
"TAP",1996-02-07,9.75,9.75,9.40625,9.5,272000,5.641866
"TAP",1996-02-08,9.5,9.75,9.375,9.71875,210600,5.771773
"TAP",1996-02-09,9.6875,9.8125,9.625,9.75,272200,5.790332
"TAP",1996-02-12,9.8125,10.3125,9.6875,10.3125,299800,6.12439
"TAP",1996-02-13,10.125,10.5625,10.09375,10.4375,365800,6.198627
"TAP",1996-02-14,10.5625,10.5625,10.375,10.375,176600,6.161508
"TAP",1996-02-15,10.4375,10.4375,10.3125,10.4375,49800,6.198627
"TAP",1996-02-16,10.4375,10.4375,10.0625,10.1875,160800,6.050156
