"symbol","date","open","high","low","close","volume","adjusted"
"TGT",1996-01-02,6.260417,6.427083,6.260417,6.385417,4231200,4.036783
"TGT",1996-01-03,6.40625,6.479167,6.375,6.458333,3622800,4.082878
"TGT",1996-01-04,6.3125,6.46875,6.302083,6.395833,5791200,4.043367
"TGT",1996-01-05,6.375,6.395833,6.28125,6.322917,4479600,3.997271
"TGT",1996-01-08,6.322917,6.4375,6.322917,6.427083,1506000,4.063124
"TGT",1996-01-09,6.427083,6.4375,6.34375,6.34375,1912800,4.01044
"TGT",1996-01-10,6.302083,6.302083,6.166667,6.177083,4786800,3.905079
"TGT",1996-01-11,6.1875,6.1875,6.083333,6.166667,3177600,3.898493
"TGT",1996-01-12,6.15625,6.197917,6.041667,6.0625,3153600,3.83264
"TGT",1996-01-15,6.0625,6.072917,5.989583,6,2356800,3.79313
"TGT",1996-01-16,6,6.114583,6,6.09375,2330400,3.852395
"TGT",1996-01-17,6.020833,6.03125,5.854167,5.875,6254400,3.714103
"TGT",1996-01-18,5.895833,5.895833,5.78125,5.84375,5392800,3.694347
"TGT",1996-01-19,5.822917,5.854167,5.770833,5.78125,6506400,3.654836
"TGT",1996-01-22,5.78125,5.947917,5.760417,5.947917,2486400,3.760199
"TGT",1996-01-23,5.947917,6.125,5.90625,6.114583,4168800,3.865566
"TGT",1996-01-24,6.072917,6.072917,5.927083,5.958333,2977200,3.766787
"TGT",1996-01-25,5.854167,6.125,5.854167,6.041667,5682000,3.819469
"TGT",1996-01-26,6.03125,6.208333,6.03125,6.104167,6229200,3.85898
"TGT",1996-01-29,6.0625,6.125,6.03125,6.09375,3500400,3.852395
"TGT",1996-01-30,6.083333,6.166667,6.041667,6.083333,11120400,3.845809
"TGT",1996-01-31,6.083333,6.260417,6.052083,6.1875,7844400,3.911664
"TGT",1996-02-01,6.166667,6.322917,6.125,6.229167,5952000,3.938004
"TGT",1996-02-02,6.302083,6.333333,6.21875,6.239583,4317600,3.94459
"TGT",1996-02-05,6.1875,6.25,6.177083,6.239583,2340000,3.94459
"TGT",1996-02-06,6.239583,6.3125,6.1875,6.260417,2636400,3.957759
"TGT",1996-02-07,6.291667,6.385417,6.270833,6.375,4485600,4.030198
"TGT",1996-02-08,6.375,6.40625,6.3125,6.34375,5684400,4.01044
"TGT",1996-02-09,6.34375,6.354167,6.25,6.333333,3100800,4.003858
"TGT",1996-02-12,6.354167,6.416667,6.322917,6.364583,2498400,4.023612
"TGT",1996-02-13,6.364583,6.416667,6.3125,6.375,3120000,4.030198
"TGT",1996-02-14,6.375,6.458333,6.333333,6.395833,3673200,4.043367
"TGT",1996-02-15,6.354167,6.385417,6.270833,6.28125,3062400,3.993826
"TGT",1996-02-16,6.270833,6.291667,6.15625,6.177083,4129200,3.927595
"TGT",1996-02-20,6.052083,6.1875,6.052083,6.125,2290800,3.894477
"TGT",1996-02-21,6.125,6.208333,6.09375,6.1875,1928400,3.934218
"TGT",1996-02-22,6.229167,6.375,6.21875,6.333333,3849600,4.026945
"TGT",1996-02-23,6.333333,6.333333,6.229167,6.302083,3639600,4.007072
"TGT",1996-02-26,6.291667,6.302083,6.21875,6.239583,2414400,3.967335
"TGT",1996-02-27,6.229167,6.229167,6.166667,6.166667,2316000,3.920971
"TGT",1996-02-28,6.25,6.3125,6.197917,6.197917,5480400,3.940842
"TGT",1996-02-29,6.135417,6.239583,6.125,6.197917,3573600,3.940842
"TGT",1996-03-01,6.21875,6.4375,6.1875,6.4375,11347200,4.093174
"TGT",1996-03-04,6.5,6.697917,6.5,6.65625,10609200,4.232266
"TGT",1996-03-05,6.666667,6.760417,6.572917,6.708333,5494800,4.265378
"TGT",1996-03-06,6.729167,6.927083,6.729167,6.791667,6552000,4.318367
