"symbol","date","open","high","low","close","volume","adjusted"
"VLO",2004-04-29,14.785192,14.908592,14.40128,14.549817,14636845,8.998476
"VLO",2004-04-30,14.602377,14.814899,14.510969,14.570384,7665877,9.011196
"VLO",2004-05-03,14.570384,14.851463,14.430987,14.840037,10700633,9.177967
"VLO",2004-05-04,14.853748,15.095978,14.808044,15.009141,8926602,9.282548
"VLO",2004-05-05,15.013711,15.171389,14.833181,15.084552,9144090,9.329186
"VLO",2004-05-06,15.130256,15.173675,14.785192,14.888026,7082556,9.207646
"VLO",2004-05-07,14.888026,14.940585,14.661792,14.728062,7134193,9.108713
"VLO",2004-05-10,14.52468,14.52468,14.181901,14.305302,8762940,8.847251
"VLO",2004-05-11,14.307587,14.732633,14.307587,14.718921,7169638,9.103062
"VLO",2004-05-12,14.81947,14.910878,14.542962,14.853748,6567501,9.186448
"VLO",2004-05-13,14.81947,14.9383,14.682358,14.798903,4690634,9.152523
"VLO",2004-05-14,14.801188,15.132541,14.741773,15.068556,6598570,9.319296
"VLO",2004-05-17,15.164534,15.35649,15.002285,15.020567,6704032,9.310798
"VLO",2004-05-18,15.020567,15.020567,14.490402,14.538391,9525677,9.011911
"VLO",2004-05-19,14.611517,14.725777,14.46298,14.538391,9634202,9.011911
"VLO",2004-05-20,14.549817,14.618373,14.341865,14.341865,5357537,8.890089
"VLO",2004-05-21,14.453839,14.611517,14.408135,14.52468,6843626,9.003415
"VLO",2004-05-24,14.625229,14.862888,14.476691,14.853748,11380663,9.207393
"VLO",2004-05-25,14.860603,15.013711,14.81947,14.958867,11496190,9.272551
"VLO",2004-05-26,15.082267,15.173675,14.924589,15.086837,9508173,9.351874
"VLO",2004-05-27,15.139397,15.155393,14.785192,14.849177,9984282,9.204558
"VLO",2004-05-28,14.849177,15.11883,14.830896,15.107404,5964926,9.364626
"VLO",2004-06-01,15.219378,15.701554,15.169104,15.683272,10396063,9.721591
"VLO",2004-06-02,15.710695,15.756399,15.301645,15.310786,8039150,9.490696
"VLO",2004-06-03,15.345064,15.516453,15.111974,15.137112,10516403,9.383037
"VLO",2004-06-04,15.191956,15.191956,14.677788,14.844607,13147254,9.201727
"VLO",2004-06-07,14.88117,15.308501,14.750914,15.297075,8059717,9.482194
"VLO",2004-06-08,15.297075,15.516453,14.748629,14.771481,12592815,9.156399
"VLO",2004-06-09,14.796618,15.196527,14.590951,15.130256,19087674,9.378791
"VLO",2004-06-10,15.166819,15.196527,14.894881,14.984004,9003182,9.288135
"VLO",2004-06-14,14.986289,15.11426,14.842322,14.929159,7130254,9.254136
"VLO",2004-06-15,15.070841,15.411335,15.070841,15.319927,8500380,9.49636
"VLO",2004-06-16,15.420475,15.740402,15.388483,15.564442,8433865,9.647929
"VLO",2004-06-17,15.580439,15.902651,15.495887,15.882084,8933604,9.844829
"VLO",2004-06-18,15.870658,16.060329,15.83638,16.028336,9353700,9.935483
"VLO",2004-06-21,16.366545,16.430531,16.026051,16.039762,12231795,9.942566
"VLO",2004-06-22,16.044333,16.339123,16.044333,16.323126,8222066,10.118215
"VLO",2004-06-23,16.339123,16.994972,16.339123,16.97669,13174823,10.52334
"VLO",2004-06-24,16.96755,17.116089,16.798447,16.800732,7234841,10.414269
"VLO",2004-06-25,16.707039,16.937843,16.645338,16.720751,5009645,10.364694
"VLO",2004-06-28,16.796162,16.830439,16.318556,16.407679,8297334,10.170626
"VLO",2004-06-29,16.380257,16.579067,16.361975,16.489944,6271683,10.22162
"VLO",2004-06-30,16.595064,16.917276,16.54479,16.855576,6117648,10.448263
"VLO",2004-07-01,16.876143,17.109232,16.807587,17.095522,6403838,10.596999
"VLO",2004-07-02,17.08181,17.278336,16.97212,17.170933,4644686,10.643744
"VLO",2004-07-06,17.321754,17.595978,17.276051,17.314899,7442263,10.732983
"VLO",2004-07-07,17.314899,17.728519,17.180073,17.728519,7279476,10.989377
"VLO",2004-07-08,17.728519,17.847349,17.344606,17.362888,10061737,10.762727
"VLO",2004-07-09,17.413162,17.563986,17.401737,17.417732,5354036,10.796724
"VLO",2004-07-12,17.534279,17.625687,17.207495,17.328611,7240967,10.741485
"VLO",2004-07-13,17.333181,17.458866,17.225777,17.392595,5037651,10.781148
"VLO",2004-07-14,17.335466,17.701097,17.310329,17.527422,9162906,10.864724
"VLO",2004-07-15,17.573126,17.584553,17.310329,17.474863,8657478,10.83214
"VLO",2004-07-16,17.881626,18.016453,17.79479,17.909048,11919786,11.10128
"VLO",2004-07-19,17.911335,17.952469,17.689671,17.755941,7317985,11.006373
"VLO",2004-07-20,17.801645,17.81307,17.563986,17.641682,6492234,10.935545
"VLO",2004-07-21,17.669104,17.721664,16.839581,16.935558,11714114,10.497842
"VLO",2004-07-22,16.956123,17.074953,16.567642,16.759598,9623699,10.38877
