"symbol","date","open","high","low","close","volume","adjusted"
"XYL",2011-11-01,25.6,28.280001,25.15,27.309999,6095200,23.553596
"XYL",2011-11-02,27.4,27.4,25.790001,26.620001,2476700,22.958504
"XYL",2011-11-03,26.940001,27.07,26.379999,26.389999,1615000,22.760138
"XYL",2011-11-04,26.17,26.59,24.879999,25.190001,1923300,21.725197
"XYL",2011-11-07,24.91,25.48,24.370001,24.6,2703500,21.216339
"XYL",2011-11-08,25.1,25.35,24.76,24.940001,2024100,21.509581
"XYL",2011-11-09,24.35,25,23.84,23.889999,1570900,20.604
"XYL",2011-11-10,24.48,24.709999,23.52,23.65,1166000,20.397009
"XYL",2011-11-11,23.879999,24.09,23.629999,23.790001,1266200,20.517761
"XYL",2011-11-14,23.58,24.1,23.49,23.93,1339000,20.726494
"XYL",2011-11-15,23.940001,24.370001,23.82,23.99,1657700,20.778467
"XYL",2011-11-16,23.950001,24.6,23.780001,24.120001,1804600,20.89106
"XYL",2011-11-17,24,24.190001,23.66,23.85,1279200,20.657202
"XYL",2011-11-18,23.879999,24.139999,23.719999,23.93,1426200,20.726494
"XYL",2011-11-21,23.700001,23.809999,23.34,23.620001,1282100,20.457991
"XYL",2011-11-22,25.02,26.139999,22.67,23.629999,2126400,20.466652
"XYL",2011-11-23,23.27,23.75,22.879999,23.68,1009700,20.509966
"XYL",2011-11-25,23.450001,23.450001,22.879999,23,991100,19.920998
"XYL",2011-11-28,23.66,24.18,23.139999,23.49,1567300,20.345392
"XYL",2011-11-29,23.51,23.6,23.17,23.27,1222400,20.154852
"XYL",2011-11-30,24.059999,24.200001,23.33,23.9,2320800,20.700512
"XYL",2011-12-01,23.809999,24.360001,23.65,24.27,1046700,21.020981
"XYL",2011-12-02,25.48,25.48,24.219999,24.25,1208900,21.003653
"XYL",2011-12-05,24.57,25.15,24.41,25.09,930900,21.731209
"XYL",2011-12-06,25.02,25.07,24.51,24.83,662800,21.506014
"XYL",2011-12-07,24.719999,24.83,23.860001,24.57,951200,21.280811
"XYL",2011-12-08,24.450001,24.549999,23.799999,23.879999,938700,20.683189
"XYL",2011-12-09,24.07,24.459999,23.959999,24.35,549800,21.090267
"XYL",2011-12-12,23.950001,24.190001,23.24,23.92,1213400,20.717831
"XYL",2011-12-13,24.02,24.450001,23.709999,23.85,1652500,20.657202
"XYL",2011-12-14,23.6,23.6,22.93,23.41,1736000,20.276108
"XYL",2011-12-15,23.549999,24.059999,23.440001,23.92,1074900,20.717831
"XYL",2011-12-16,24.139999,24.940001,24.01,24.67,2925700,21.367432
"XYL",2011-12-19,24.67,24.860001,24.15,24.25,1107200,21.003653
"XYL",2011-12-20,24.59,24.719999,23.959999,24.309999,1190000,21.055628
"XYL",2011-12-21,24.450001,25.030001,24.02,24.92,2177400,21.583965
"XYL",2011-12-22,25.07,25.65,24.799999,24.83,971100,21.506014
"XYL",2011-12-23,24.83,25.16,24.700001,24.91,575000,21.575304
"XYL",2011-12-27,24.84,25.049999,24.469999,25.049999,664400,21.696564
"XYL",2011-12-28,25.110001,25.76,25.110001,25.559999,917700,22.138285
"XYL",2011-12-29,25.67,26.459999,25.5,25.950001,3975200,22.476078
"XYL",2011-12-30,25.99,25.99,25.139999,25.690001,1169700,22.250883
"XYL",2012-01-03,26.02,26.43,25.07,25.139999,1059100,21.774517
"XYL",2012-01-04,25.07,26.07,24.84,25.969999,1391900,22.493401
"XYL",2012-01-05,25.780001,25.809999,24.870001,25.6,2270700,22.172928
"XYL",2012-01-06,25.540001,25.620001,25.120001,25.17,524400,21.800489
"XYL",2012-01-09,25.16,25.42,24.82,25.27,558700,21.88711
"XYL",2012-01-10,25.459999,25.700001,25.25,25.58,1048300,22.155603
"XYL",2012-01-11,25.459999,26.26,25.389999,26.059999,1066300,22.571354
"XYL",2012-01-12,26.08,26.139999,25.68,25.700001,709300,22.259544
"XYL",2012-01-13,25.450001,25.68,25.34,25.629999,886200,22.198912
"XYL",2012-01-17,25.9,26.280001,25.59,25.629999,465400,22.198912
"XYL",2012-01-18,25.51,27.040001,25.43,26.99,1453700,23.376852
"XYL",2012-01-19,27,27.290001,26.440001,26.620001,838000,23.056389
"XYL",2012-01-20,26.620001,26.68,26.299999,26.360001,1014900,22.831192
"XYL",2012-01-23,26.450001,26.6,25.559999,25.75,842800,22.302853
"XYL",2012-01-24,25.690001,26.209999,25.6,26.139999,761400,22.64064
"XYL",2012-01-25,26.040001,26.629999,25.82,26.6,881800,23.039063
"XYL",2012-01-26,26.68,26.85,25.76,25.940001,850000,22.467417
"XYL",2012-01-27,25.610001,25.98,25.610001,25.809999,685900,22.354818
"XYL",2012-01-30,25.65,25.959999,25.5,25.92,475300,22.45009
"XYL",2012-01-31,26.110001,26.25,25.65,25.91,792700,22.441433
"XYL",2012-02-01,26.02,26.85,25.92,26.82,816600,23.229612
"XYL",2012-02-02,26.860001,26.99,26.620001,26.65,715200,23.082363
"XYL",2012-02-03,26.959999,27.08,26.57,27.030001,719800,23.411501
"XYL",2012-02-06,26.9,27.120001,26.639999,26.780001,655100,23.19496
"XYL",2012-02-07,26.700001,27.35,26.530001,27.219999,963800,23.576059
"XYL",2012-02-08,27.16,27.389999,26.799999,27.389999,737900,23.723307
"XYL",2012-02-09,27.35,27.4,26.91,27.129999,721500,23.498112
"XYL",2012-02-10,26.959999,27.129999,26.83,27.07,527300,23.446146
"XYL",2012-02-13,27.35,27.35,26.83,27.030001,638900,23.411501
"XYL",2012-02-14,26.9,27.209999,26.82,26.92,926400,23.316221
"XYL",2012-02-15,26.969999,27.110001,26.870001,27,1071300,23.385511
"XYL",2012-02-16,27.02,27.32,26.959999,27.15,639700,23.515429
"XYL",2012-02-17,27.26,27.629999,27.17,27.59,583500,23.896532
"XYL",2012-02-21,27.66,28.120001,27.51,27.82,753500,24.095751
"XYL",2012-02-22,27.66,28.059999,27.48,27.530001,467500,23.844563
"XYL",2012-02-23,27.52,27.83,27.299999,27.780001,335900,24.061106
"XYL",2012-02-24,27.889999,27.940001,27.24,27.26,827900,23.610706
"XYL",2012-02-27,27.1,27.4,26.870001,27.360001,1429000,23.697321
"XYL",2012-02-28,27.24,27.24,26.120001,26.84,3443900,23.246931
"XYL",2012-02-29,26.76,26.950001,25.91,25.98,4339600,22.502064
"XYL",2012-03-01,26.030001,26.73,25.790001,26.690001,1801400,23.207233
"XYL",2012-03-02,26.370001,26.950001,26.370001,26.6,1594900,23.128981
"XYL",2012-03-05,26.6,26.700001,26.040001,26.219999,1339800,22.798557
"XYL",2012-03-06,25.950001,26.02,25.389999,25.85,1334200,22.476843
"XYL",2012-03-07,26.09,26.299999,25.74,26.209999,933200,22.789871
"XYL",2012-03-08,26.299999,26.700001,25.969999,26.620001,894800,23.146372
"XYL",2012-03-09,26.57,27.360001,26.530001,27.25,719500,23.694162
"XYL",2012-03-12,27.379999,27.629999,27.26,27.530001,879800,23.937624
"XYL",2012-03-13,27.639999,28.440001,27.639999,28.42,861600,24.711493
"XYL",2012-03-14,28.41,28.48,28.200001,28.360001,1183100,24.659323
"XYL",2012-03-15,28.389999,28.84,28.059999,28.73,689200,24.981037
"XYL",2012-03-16,28.74,28.870001,28.17,28.190001,903100,24.511496
"XYL",2012-03-19,28.209999,28.5,27.879999,27.940001,796500,24.294119
"XYL",2012-03-20,27.85,27.92,27.08,27.309999,993200,23.746338
"XYL",2012-03-21,27.299999,27.559999,27.25,27.33,872000,23.763725
"XYL",2012-03-22,27.120001,27.370001,26.98,27.219999,665800,23.668077
"XYL",2012-03-23,27.370001,27.370001,27.059999,27.200001,519500,23.65069
"XYL",2012-03-26,27.370001,27.860001,27.370001,27.85,642100,24.215872
"XYL",2012-03-27,27.92,28.02,27.610001,27.99,601000,24.337599
"XYL",2012-03-28,27.959999,28.110001,27.540001,27.959999,918000,24.311514
"XYL",2012-03-29,27.809999,27.809999,27.25,27.66,855500,24.050653
"XYL",2012-03-30,27.83,27.860001,27.4,27.75,1310900,24.128918
"XYL",2012-04-02,27.709999,28.35,27.700001,28.32,817100,24.624542
"XYL",2012-04-03,28.33,28.549999,27.93,28.25,1034300,24.563677
"XYL",2012-04-04,27.91,27.940001,27.58,27.799999,1070400,24.17239
"XYL",2012-04-05,27.75,28.23,27.75,27.969999,477500,24.320206
"XYL",2012-04-09,27.469999,27.549999,27.200001,27.360001,495500,23.789804
"XYL",2012-04-10,27.24,27.34,26.58,26.940001,909900,23.424614
"XYL",2012-04-11,27.190001,27.299999,26.83,27,810200,23.476784
"XYL",2012-04-12,26.91,27.389999,26.870001,27.32,646500,23.755028
"XYL",2012-04-13,27.1,27.209999,26.790001,26.83,492700,23.32897
"XYL",2012-04-16,27.110001,27.299999,26.5,26.9,850400,23.389833
"XYL",2012-04-17,27.290001,27.309999,26.85,27.200001,540600,23.65069
"XYL",2012-04-18,27.120001,27.73,27.040001,27.65,1118700,24.041962
"XYL",2012-04-19,27.610001,27.969999,26.9,27.1,1061300,23.563736
"XYL",2012-04-20,27.18,27.639999,27.07,27.360001,807500,23.789804
"XYL",2012-04-23,27.059999,27.059999,26.52,26.889999,556500,23.381138
"XYL",2012-04-24,26.950001,27.5,26.9,27.1,518100,23.563736
"XYL",2012-04-25,27.34,27.809999,27.34,27.700001,569600,24.08544
"XYL",2012-04-26,27.639999,28.1,27.629999,28.1,459100,24.433252
"XYL",2012-04-27,28.139999,28.52,28.139999,28.379999,642700,24.676701
"XYL",2012-04-30,28.32,28.32,27.809999,27.879999,364000,24.241951
"XYL",2012-05-01,27.91,28.32,27.58,27.66,638900,24.050653
"XYL",2012-05-02,27.450001,27.950001,27.4,27.76,835000,24.137611
"XYL",2012-05-03,27.690001,27.719999,27.049999,27.299999,990000,23.737633
"XYL",2012-05-04,27.299999,27.299999,26.450001,26.450001,870000,22.998554
"XYL",2012-05-07,26.389999,26.639999,26.129999,26.209999,995000,22.789871
"XYL",2012-05-08,26.1,26.440001,25.65,26.360001,925900,22.920296
"XYL",2012-05-09,25.91,26.389999,25.610001,26.129999,923400,22.72031
"XYL",2012-05-10,26.299999,26.559999,26.049999,26.139999,701500,22.729004
"XYL",2012-05-11,26,26.469999,25.92,26.030001,625800,22.633356
"XYL",2012-05-14,25.83,26.049999,25.43,25.43,567200,22.111652
"XYL",2012-05-15,25.379999,25.57,25.17,25.209999,565500,21.920359
"XYL",2012-05-16,25.43,25.76,25.299999,25.370001,1045000,22.059484
"XYL",2012-05-17,25.34,25.360001,24.42,24.42,1455900,21.318316
"XYL",2012-05-18,24.42,24.870001,24.42,24.67,994800,21.536564
"XYL",2012-05-21,24.780001,25.51,24.690001,25.34,1096700,22.121464
"XYL",2012-05-22,25.469999,25.85,25.370001,25.59,957900,22.339708
"XYL",2012-05-23,25.360001,25.790001,24.83,25.790001,1252500,22.514303
"XYL",2012-05-24,25.940001,26.139999,25.77,26.139999,528800,22.819851
"XYL",2012-05-25,26.190001,26.309999,25.610001,25.65,677800,22.39209
"XYL",2012-05-29,25.790001,26.34,25.74,25.889999,801000,22.601608
"XYL",2012-05-30,25.459999,25.84,25.27,25.450001,591900,22.217497
"XYL",2012-05-31,25.540001,25.549999,24.969999,25.33,1021600,22.112732
"XYL",2012-06-01,24.709999,25.030001,24.450001,24.48,1379300,21.370695
"XYL",2012-06-04,24.48,24.549999,24.030001,24.51,643400,21.396885
"XYL",2012-06-05,24.379999,24.66,23.940001,24.58,499600,21.457989
"XYL",2012-06-06,24.889999,25.49,24.889999,25.49,553800,22.252409
"XYL",2012-06-07,26.629999,26.629999,25.59,25.74,802100,22.470655
