"symbol","date","open","high","low","close","volume","adjusted"
"ZBH",2001-08-07,27.669903,29.61165,27.378641,29.067961,8050274,26.595057
"ZBH",2001-08-08,28.834951,28.883495,27.233009,27.854368,5432735,25.484705
"ZBH",2001-08-09,27.281553,27.621359,26.747574,27.533981,3086807,25.191566
"ZBH",2001-08-10,27.184465,27.524273,26.631067,27.184465,3289511,24.871792
"ZBH",2001-08-13,26.941748,27.038836,26.067961,26.504854,4954094,24.24999
"ZBH",2001-08-14,26.504854,27.281553,26.407766,26.893204,3777731,24.605307
"ZBH",2001-08-15,26.941748,27.572817,26.893204,27.262136,2700763,24.942854
"ZBH",2001-08-16,27.213593,27.281553,26.504854,27.281553,2196063,24.960621
"ZBH",2001-08-17,26.893204,27.184465,25.757282,27.184465,1799616,24.871792
"ZBH",2001-08-20,26.84466,26.912621,26.019417,26.407766,2128598,24.161165
"ZBH",2001-08-21,26.407766,26.640778,26.31068,26.54369,1926615,24.285528
"ZBH",2001-08-22,26.31068,26.466019,25.631067,26.466019,2626294,24.214468
"ZBH",2001-08-23,26.359222,26.398058,25.951456,25.970875,2413290,23.761446
"ZBH",2001-08-24,25.485437,25.941748,25.291262,25.912621,1966991,23.708145
"ZBH",2001-08-27,25.825243,26.019417,25.533981,25.883495,1505654,23.681499
"ZBH",2001-08-28,25.339806,25.533981,25.106796,25.262136,2449649,23.112995
"ZBH",2001-08-29,25.262136,25.970875,25.194176,25.631067,2081115,23.450541
"ZBH",2001-08-30,25.631067,26.504854,25.631067,26.165049,2516290,23.939098
"ZBH",2001-08-31,26.019417,26.407766,25.728155,26.407766,1490925,24.161165
"ZBH",2001-09-04,26.31068,27.184465,26.30097,26.970875,1748116,24.676369
"ZBH",2001-09-05,26.84466,27.019417,26.359222,26.84466,1704650,24.560896
"ZBH",2001-09-06,26.747574,26.796118,26.213593,26.446602,2091827,24.196695
"ZBH",2001-09-07,25.728155,27.058252,25.631067,25.883495,1800646,23.681499
"ZBH",2001-09-10,25.728155,26.048544,25.533981,25.669903,1050703,23.48608
"ZBH",2001-09-17,24.368933,25.281553,24.058252,24.514563,1715156,22.429022
"ZBH",2001-09-18,24.514563,24.621359,23.980583,24.368933,1738331,22.295782
"ZBH",2001-09-19,24.077669,25.359222,24.077669,24.291262,1539541,22.224718
"ZBH",2001-09-20,24.271845,25.718447,24.135921,25,2053408,22.873167
"ZBH",2001-09-21,24.271845,26.067961,24.223301,25.097088,2004277,22.961998
"ZBH",2001-09-24,25.048544,26.262136,25.048544,25.922331,1857708,23.717028
"ZBH",2001-09-25,25.922331,26.203882,25.242718,25.533981,1634198,23.361717
"ZBH",2001-09-26,25.485437,26.203882,25.485437,26.019417,1051218,23.805859
"ZBH",2001-09-27,25.825243,26.796118,25.825243,26.213593,1686419,23.983513
"ZBH",2001-09-28,26.213593,27.184465,26.165049,26.941748,1049570,24.649723
"ZBH",2001-10-01,26.941748,27.825243,26.69903,27.291262,1123009,24.969505
"ZBH",2001-10-02,27.330097,27.912621,27.30097,27.718447,1209632,25.360344
"ZBH",2001-10-03,27.718447,28.058252,27.514563,27.961164,838626,25.582417
"ZBH",2001-10-04,27.961164,28.15534,27.485437,28.019417,1276788,25.635715
"ZBH",2001-10-05,27.864079,28.349516,27.718447,28.203882,1108692,25.804474
"ZBH",2001-10-08,28.058252,28.097088,27.669903,27.883495,410558,25.511358
"ZBH",2001-10-09,27.669903,27.902912,27.669903,27.873787,821013,25.502472
"ZBH",2001-10-10,27.815535,28.446602,27.776699,28.165049,738613,25.768955
"ZBH",2001-10-11,28.165049,28.883495,28.165049,28.563107,1083663,26.133144
"ZBH",2001-10-12,28.058252,28.951456,28.058252,28.951456,1258145,26.488461
"ZBH",2001-10-15,28.873787,29.174757,28.708738,28.902912,742527,26.44404
"ZBH",2001-10-16,28.834951,29.106796,28.359222,29.077669,1083560,26.603933
"ZBH",2001-10-17,29.106796,29.165049,28.883495,29.097088,1725662,26.621693
"ZBH",2001-10-18,27.669903,28.203882,27.660194,27.980583,1728237,25.600185
"ZBH",2001-10-19,28.009708,28.592234,28.009708,28.524273,608318,26.097614
"ZBH",2001-10-22,28.54369,28.912621,28.427183,28.883495,475963,26.426283
"ZBH",2001-10-23,28.883495,29.126213,28.883495,28.922331,1048128,26.461807
"ZBH",2001-10-24,28.980583,29.223301,28.805824,29.077669,544870,26.603933
"ZBH",2001-10-25,28.980583,29.339806,28.54369,28.728155,724914,26.284143
"ZBH",2001-10-26,28.68932,28.69903,27.912621,28.165049,920305,25.768955
"ZBH",2001-10-29,28.15534,28.495146,27.135921,28.349516,1276170,25.937723
"ZBH",2001-10-30,28.834951,29.61165,28.592234,29.223301,3531355,26.737175
"ZBH",2001-10-31,30.048544,30.242718,29.708738,30.009708,1589393,27.456684
"ZBH",2001-11-01,30.582523,30.582523,30.009708,30.495146,846557,27.900816
"ZBH",2001-11-02,30.436893,31.796118,30.38835,30.776699,976028,28.158421
"ZBH",2001-11-05,30.883495,30.922331,30.009708,30.116505,1032163,27.554394
"ZBH",2001-11-06,30.145632,31.048544,29.145632,30.864079,1189959,28.238365
"ZBH",2001-11-07,29.708738,31.262136,29.660194,30.84466,1471355,28.220602
"ZBH",2001-11-08,30.941748,30.951456,29.708738,29.708738,887036,27.181314
"ZBH",2001-11-09,29.417477,29.815535,29.029125,29.135921,1245373,26.657227
"ZBH",2001-11-12,29.174757,29.213593,28.84466,29.106796,683508,26.630587
"ZBH",2001-11-13,29.126213,29.660194,29.126213,29.378641,795572,26.879299
"ZBH",2001-11-14,29.368933,30.097088,29.320389,30,959754,27.4478
"ZBH",2001-11-15,30.097088,30.135921,29.087379,29.145632,1025674,26.666117
"ZBH",2001-11-16,29.271845,29.45631,29.126213,29.203882,838935,26.71941
"ZBH",2001-11-19,29.320389,29.417477,27.912621,29.077669,1395238,26.603933
"ZBH",2001-11-20,29.174757,29.436893,29.135921,29.359222,565676,26.86153
"ZBH",2001-11-21,29.563107,30.194176,29.524273,29.708738,600181,27.181314
"ZBH",2001-11-23,29.708738,30.194176,29.708738,29.902912,240402,27.358965
"ZBH",2001-11-26,30.097088,32.330097,30.097088,31.796118,1169977,29.091116
"ZBH",2001-11-27,31.786407,32.135921,30.728155,31.621359,825648,28.931219
"ZBH",2001-11-28,31.553398,31.980583,31.504854,31.601942,620369,28.913458
"ZBH",2001-11-29,31.165049,31.854368,31.097088,31.650484,440943,28.957869
"ZBH",2001-11-30,31.31068,31.485437,31.213593,31.320389,403554,28.655861
"ZBH",2001-12-03,31.339806,31.475727,31.058252,31.262136,723987,28.602558
"ZBH",2001-12-04,31.019417,31.650484,30.533981,31.650484,581538,28.957869
"ZBH",2001-12-05,31.553398,31.893204,30.097088,31.728155,1226318,29.028934
"ZBH",2001-12-06,31.747574,32.038834,31.281553,31.893204,540956,29.179937
