"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"AAL","2015-03-23","55.470001","55.93","54.369999","54.400002","19042000","51.648613","NONE","0","0.028692312464453","-0.0192896877719545","0"
"AAL","2015-03-24","54.040001","54.41","53.66","53.93","11940800","51.202385","NONE","0","0.0139768915393217","-0.00203554770474554","-0.372923012288625"
"AAL","2015-03-25","53.619999","53.779999","51.93","52.009998","14237900","49.379498","NONE","0","0.0356248603889851","-0.0300261288703119","0.192374045290098"
"AAL","2015-03-26","50.84","51.689999","50.25","51.27","14242700","48.676926","DOWN","-0.0046216252647795","0.0286566965174129","0.00845790715971675","0.000337128368649871"
"AAL","2015-03-27","51.380001","52.849998","51.380001","52.66","9004000","49.996624","NONE","0","0.028610295278118","0.0249123973352978","-0.367816495467854"
"AAL","2015-03-30","53.240002","53.84","53.049999","53.639999","8167300","50.927052","UP","0.00378431423970915","0.0148916308179384","0.00751309137817099","-0.0929253665037761"
"AAL","2015-03-31","53.66","53.73","52.68","52.779999","8386400","50.110546","NONE","0","0.0199316628701594","-0.0163995713753261","0.0268264910068199"
"AAL","2015-04-01","51.099998","51.380001","50.110001","50.439999","15191500","47.888897","DOWN","-0.024677277904328","0.0253442421603624","-0.012915832208056","0.811444720022894"
"AAL","2015-04-02","50.48","50.849998","49.150002","49.18","14109800","46.692627","NONE","0","0.0345879131398611","-0.0257527733755942","-0.0712042918737452"
"AAL","2015-04-06","48.349998","48.689999","47.669998","48.080002","13323400","45.64827","DOWN","-0.00935916543808076","0.0213971269728184","-0.00558419878321399","-0.0557343123219323"
"AAL","2015-04-07","48.299999","48.799999","47.490002","47.5","9393200","45.097599","NONE","0","0.0275846903522978","-0.0165631266369177","-0.294984763648918"
"AAL","2015-04-08","47.799999","49.09","47.73","48.740002","11180000","46.274883","NONE","0","0.0284936098889589","0.0196653351394421","0.190222714303965"
"AAL","2015-04-09","48.860001","49.48","47.720001","47.84","11576200","45.420403","NONE","0","0.036881788833156","-0.0208759922047483","0.035438282647585"
"AAL","2015-04-10","48.16","48.790001","47.720001","47.73","11713400","45.315971","NONE","0","0.0224224639056481","-0.00892857142857142","0.0118519030424492"
"AAL","2015-04-13","47.470001","48.59","47.470001","47.790001","9350300","45.372925","NONE","0","0.0235938271836143","0.00674109949987136","-0.201743302542387"
"AAL","2015-04-14","47.490002","47.779999","46.880001","47.419998","9878400","45.021633","NONE","0","0.0191979091468022","-0.00147407869134218","0.0564794712469119"
"AAL","2015-04-15","48","48.720001","47.669998","47.75","9846700","45.334953","NONE","0","0.0220264955748478","-0.00520833333333333","-0.00320902170391966"
"AAL","2015-04-16","47.810001","48.91","47.75","48.240002","7155900","45.800182","NONE","0","0.0242931937172774","0.00899395505137089","-0.273269217098114"
"AAL","2015-04-17","47.959999","48.650002","47.950001","48.189999","8659800","45.752689","NONE","0","0.0145985606965889","0.0047956631525367","0.210162243742925"
"AAL","2015-04-20","48.610001","49.779999","47.91","49.759998","9523500","47.24329","NONE","0","0.0390314965560426","0.0236576214018182","0.0997367144737754"
"AAL","2015-04-21","50","51.419998","49.459999","51.360001","10850300","48.762375","NONE","0","0.0396279627906987","0.0272000199999999","0.139318527852155"
"AAL","2015-04-22","51.400002","51.540001","50.400002","51.400002","7333300","48.800354","NONE","0","0.0226190268801973","0","-0.324138503082864"
"AAL","2015-04-23","51.07","51.720001","50.700001","51.450001","9821800","48.84782","NONE","0","0.0201183427984548","0.00744078715488545","0.339342451556598"
"AAL","2015-04-24","51.98","53.470001","51.490002","52.709999","20248100","50.044086","NONE","0","0.038454047836316","0.0140438437860717","1.06154676332241"
"AAL","2015-04-27","52.68","52.68","51.700001","51.869999","9843400","49.246574","NONE","0","0.0189554928635301","-0.0153758731966591","-0.513860559756224"
"AAL","2015-04-28","51.700001","51.82","50.009998","51.189999","9235700","48.600964","NONE","0","0.0361928028871346","-0.00986464197553884","-0.0617367982607636"
"AAL","2015-04-29","50.580002","50.799999","47.66","48.880001","18050300","46.407803","NONE","0","0.0658833193453631","-0.0336101410197651","0.954405188561777"
"AAL","2015-04-30","48.5","49.459999","48.009998","48.290001","9400400","45.941628","NONE","0","0.0302020633285592","-0.00432987628865986","-0.479210871841465"
"AAL","2015-05-01","48.650002","49.830002","48.509998","49.389999","8084600","46.988136","NONE","0","0.0272109679328372","0.0152106263017215","-0.139972767116293"
