"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"AMAT","1996-01-02","4.96875","5.171875","4.921875","5.171875","32039200","3.868065","NONE","0","0.0507936507936508","0.0408805031446541","-0.033087430791381","0","2","NA"
"AMAT","1996-01-03","4.90625","4.9375","4.53125","4.6875","112130400","3.505801","NONE","0","0.0896551724137931","-0.0445859872611465","0.045536524562406","2.49978775999401","3","NA"
"AMAT","1996-01-04","4.765625","4.765625","4.40625","4.757813","66889600","3.558389","NONE","0","0.0815602836879433","-0.00163923934426237","-0.00418705782823479","-0.403465964626899","4","NA"
"AMAT","1996-01-05","4.65625","4.78125","4.609375","4.664063","58715200","3.488271","NONE","0","0.0372881355932203","0.00167795973154354","-0.00328066327819659","-0.122207338659523","5","NA"
"AMAT","1996-01-08","4.6875","4.734375","4.625","4.671875","12934400","3.494115","NONE","0","0.0236486486486486","-0.00333333333333333","0.00617097166832377","-0.779709513039213","1","NA"
"AMAT","1996-01-09","4.53125","4.53125","4.1875","4.203125","131737600","3.143535","DOWN","-0.0202702702702703","0.082089552238806","-0.0724137931034483","0.0578453332523765","9.1850569025235","2","NA"
"AMAT","1996-01-10","4.03125","4.453125","4.03125","4.265625","75994400","3.190278","NONE","0","0.104651162790698","0.0581395348837209","-0.0761394229532941","-0.423138116984065","3","NA"
"AMAT","1996-01-11","4.484375","4.5625","4.359375","4.5","55440000","3.365569","NONE","0","0.046594982078853","0.00348432055749129","0.00355020380537895","-0.270472561136084","4","NA"
"AMAT","1996-01-12","4.546875","4.59375","4.375","4.40625","26689600","3.295453","NONE","0","0.05","-0.0309278350515464","0.0294677079595425","-0.518585858585859","5","NA"
"AMAT","1996-01-15","4.40625","4.421875","3.90625","3.921875","55056000","2.933187","NONE","0","0.132","-0.109929078014184","0.106622401477382","1.06282596966609","1","NA"
"AMAT","1996-01-16","4.125","4.125","3.75","4.046875","54056000","3.026674","NONE","0","0.1","-0.0189393939393939","0.0333103633959029","-0.0181633246149375","2","NA"
"AMAT","1996-01-17","3.9375","4.390625","3.921875","4.109375","59084800","3.073419","NONE","0","0.119521912350598","0.0436507936507936","-0.0470529483302949","0.0930294509397662","3","NA"
