"symbol","date","open","high","low","close","volume","adjusted","vol_change","return","adjusted_return","gap_type","gap_size","range","weekday","month","candle_body_metric","vol_change_lag-10","return_lag-10","adjusted_return_lag-10","range_lag-10","weekday_lag-10","month_lag-10","candle_body_metric_lag-10","vol_change_lag-9","return_lag-9","adjusted_return_lag-9","range_lag-9","weekday_lag-9","month_lag-9","candle_body_metric_lag-9","vol_change_lag-8","return_lag-8","adjusted_return_lag-8","range_lag-8","weekday_lag-8","month_lag-8","candle_body_metric_lag-8","vol_change_lag-7","return_lag-7","adjusted_return_lag-7","range_lag-7","weekday_lag-7","month_lag-7","candle_body_metric_lag-7","vol_change_lag-6","return_lag-6","adjusted_return_lag-6","range_lag-6","weekday_lag-6","month_lag-6","candle_body_metric_lag-6","vol_change_lag-5","return_lag-5","adjusted_return_lag-5","range_lag-5","weekday_lag-5","month_lag-5","candle_body_metric_lag-5","vol_change_lag-4","return_lag-4","adjusted_return_lag-4","range_lag-4","weekday_lag-4","month_lag-4","candle_body_metric_lag-4","vol_change_lag-3","return_lag-3","adjusted_return_lag-3","range_lag-3","weekday_lag-3","month_lag-3","candle_body_metric_lag-3","vol_change_lag-2","return_lag-2","adjusted_return_lag-2","range_lag-2","weekday_lag-2","month_lag-2","candle_body_metric_lag-2","vol_change_lag-1","return_lag-1","adjusted_return_lag-1","range_lag-1","weekday_lag-1","month_lag-1","candle_body_metric_lag-1","vol_change_lag1","return_lag1","adjusted_return_lag1","range_lag1","weekday_lag1","month_lag1","candle_body_metric_lag1","vol_change_lag2","return_lag2","adjusted_return_lag2","range_lag2","weekday_lag2","month_lag2","candle_body_metric_lag2","vol_change_lag3","return_lag3","adjusted_return_lag3","range_lag3","weekday_lag3","month_lag3","candle_body_metric_lag3","vol_change_lag4","return_lag4","adjusted_return_lag4","range_lag4","weekday_lag4","month_lag4","candle_body_metric_lag4","vol_change_lag5","return_lag5","adjusted_return_lag5","range_lag5","weekday_lag5","month_lag5","candle_body_metric_lag5","vol_change_lag6","return_lag6","adjusted_return_lag6","range_lag6","weekday_lag6","month_lag6","candle_body_metric_lag6","vol_change_lag7","return_lag7","adjusted_return_lag7","range_lag7","weekday_lag7","month_lag7","candle_body_metric_lag7","vol_change_lag8","return_lag8","adjusted_return_lag8","range_lag8","weekday_lag8","month_lag8","candle_body_metric_lag8","vol_change_lag9","return_lag9","adjusted_return_lag9","range_lag9","weekday_lag9","month_lag9","candle_body_metric_lag9","vol_change_lag10","return_lag10","adjusted_return_lag10","range_lag10","weekday_lag10","month_lag10","candle_body_metric_lag10"
"ASN","2006-05-11","0.48049","0.48049","0.44652","0.44652","53055","0.44652","40.1917701863354","0.0222293445662874","0.0350274145662874","UP","0.0222293445662874","0.0760772193854699","4","5","-0.0706986617827634","-1","0","-0.01137009","0","4","5","0","-0.623425971163756","0","-0.001583656","0","3","5","0","Inf","0","0.004349989","0.0227347225474128","2","5","0.0227347225474128","-1","0","0.003914732","0","1","5","0","-0.659092413245384","0","-0.00413689","0","5","5","0","-0.128707352234503","0","0.006699011","0","4","5","0","26.2953830010493","-0.0999917583549677","-0.0831506883549677","0","3","5","0","-0.85199565149868","0.0869389948938458","0.0888084768938458","0","2","5","0","Inf","0","-0.002524713","0","1","5","0","-1","0","0.01124116","0","5","5","0","-0.772679138722203","-0.0721568460852203","-0.0704286970852203","0","3","5","0","-0.940218194095676","0.0777683661088345","0.0774060233088345","0.243574504054732","2","5","0.243574504054732","21.9987867022567","-0.0816373728029603","-0.0808076781029603","0.256412288348258","1","5","0.153842089970151","-0.599980586293923","0","-0.0102953","0.256412288348258","5","5","0.256412288348258","Inf","0.0888944850163687","0.0857372780163688","0","4","5","0","-1","0","0.003875973","0","3","5","0","4.26310411770716","0.11110828479129","0.10496356979129","0","2","5","0","-0.524995146573481","-0.189990522108213","-0.185855009108213","0.0370360949304302","1","5","-0.0357134096985455","-0.36507349542387","0","-0.0006795453","0","5","4","0","Inf","-0.0196141803858196","-0.0229157763858196","0.162797383741824","4","4","0.162797383741824"
"ASN","2006-10-31","0.77655","0.83479","0.77655","0.80567","157878","0.80567","101.18640776699","0.106674358868697","0.106667183613697","UP","0.0666749083116989","0.074998390316142","2","10","0.037499195158071","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817","0.194648455954989","0.0833321409663895","0.0771798359663895","0.0399994505569977","1","10","0.0399994505569977","44.2097087378641","0","-0.001199754","0","5","10","0","-0.974030558216933","0.0285659622063932","0.0277167076063932","0","4","10","0","2.84993205202873","0","-0.001282944","0","3","10","0","Inf","0.129041906217806","0.132701358217806","0","2","10","0"
"ASN","2006-11-01","0.80567","0.80567","0.80567","0.80567","0","0.80567","-1","0","0.007351468","NONE","0","0","3","11","0","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817","0.194648455954989","0.0833321409663895","0.0771798359663895","0.0399994505569977","1","10","0.0399994505569977","44.2097087378641","0","-0.001199754","0","5","10","0","-0.974030558216933","0.0285659622063932","0.0277167076063932","0","4","10","0","2.84993205202873","0","-0.001282944","0","3","10","0"
"ASN","2006-11-02","0.88332","0.92215","0.87362","0.91244","102505","0.91244","Inf","0.132523241525687","0.132866924525687","UP","0.084339742078022","0.0555504681669377","4","11","0.0329665353439298","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817","0.194648455954989","0.0833321409663895","0.0771798359663895","0.0399994505569977","1","10","0.0399994505569977","44.2097087378641","0","-0.001199754","0","5","10","0","-0.974030558216933","0.0285659622063932","0.0277167076063932","0","4","10","0"
"ASN","2006-11-03","0.87362","0.91244","0.87362","0.91244","55322","0.91244","-0.460299497585484","0","0.002223234","NONE","0","0.044435795883794","5","11","0.044435795883794","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817","0.194648455954989","0.0833321409663895","0.0771798359663895","0.0399994505569977","1","10","0.0399994505569977","44.2097087378641","0","-0.001199754","0","5","10","0"
"ASN","2006-11-06","0.91244","0.91244","0.8542","0.91244","351298","0.91244","5.35005965077185","0","-0.01134646","NONE","0","0.0681807539217983","1","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817","0.194648455954989","0.0833321409663895","0.0771798359663895","0.0399994505569977","1","10","0.0399994505569977"
"ASN","2006-11-07","0.89303","0.92215","0.87362","0.92215","67993","0.92215","-0.806452072030014","0.0106417956249178","0.0084240966249178","NONE","0","0.0555504681669377","2","11","0.0326080870743424","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0","-0.59259392414165","-0.0384610304703286","-0.0387224536703286","0.0133377288773506","2","10","-0.0131621753510817"
"ASN","2006-11-08","0.89303","0.92215","0.86391","0.86391","58050","0.86391","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","NONE","0","0.0674144297438391","3","11","-0.0326080870743424","Inf","0.0109926187565095","0.00865452075650953","0.0659330706878594","3","11","0","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0","0.727320861277797","0","-0.003513893","0","3","10","0"
"ASN","2006-11-09","0.89303","0.92215","0.87362","0.92215","54332","0.92215","-0.0640482342807924","0.0674144297438391","0.0727474087438391","NONE","0","0.0555504681669377","4","11","0.0326080870743424","1.17649745903043","0.010873094968814","0.014528632968814","0.0215012074351419","5","11","-0.0106308360001754","Inf","0.0109926187565095","0.00865452075650953","0.0659330706878594","3","11","0","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0","-1","0","-0.00496302","0","4","10","0"
"ASN","2006-11-10","0.93186","0.95127","0.8445","0.8445","64388","0.8445","0.185084296547155","-0.0842053895787019","-0.0860700145787019","NONE","0","0.126429840142096","5","11","-0.0937479878951774","-1","0","0.01355508","0","1","11","0","1.17649745903043","0.010873094968814","0.014528632968814","0.0215012074351419","5","11","-0.0106308360001754","Inf","0.0109926187565095","0.00865452075650953","0.0659330706878594","3","11","0","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0","Inf","0","0.00845163","0","5","10","0"
"ASN","2006-11-13","0.87362","0.87362","0.87362","0.87362","3091","0.87362","-0.951994160402559","0.0344819419775014","0.0319328649775014","NONE","0","0","1","11","0","Inf","-0.0107561424108824","-0.0142005334108824","0.0326080870743424","2","11","-0.0315783766198558","-1","0","0.01355508","0","1","11","0","1.17649745903043","0.010873094968814","0.014528632968814","0.0215012074351419","5","11","-0.0106308360001754","Inf","0.0109926187565095","0.00865452075650953","0.0659330706878594","3","11","0","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","4.66580394694274","0","-0.0063564","0","2","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071","0.5","0","-0.0004284258","0","1","10","0"
"ASN","2006-11-14","0.87362","0.87362","0.87362","0.87362","17513","0.87362","4.66580394694274","0","-0.0063564","NONE","0","0","2","11","0","-1","0","-0.009201576","0","3","11","0","Inf","-0.0107561424108824","-0.0142005334108824","0.0326080870743424","2","11","-0.0315783766198558","-1","0","0.01355508","0","1","11","0","1.17649745903043","0.010873094968814","0.014528632968814","0.0215012074351419","5","11","-0.0106308360001754","Inf","0.0109926187565095","0.00865452075650953","0.0659330706878594","3","11","0","-1","0","-0.001649453","0","2","11","0","Inf","-0.031914427250011","-0.031414890450011","0.0439591541004393","1","11","-0.031914427250011","-1","0","-0.001028706","0","5","11","0","2.92872001109416","0.044435795883794","0.042151581883794","0.044435795883794","4","11","0.044435795883794","-0.588248729515217","0","-0.002404484","0","3","11","0","-0.951994160402559","0.0344819419775014","0.0319328649775014","0","1","11","0","0.185084296547155","-0.0842053895787019","-0.0860700145787019","0.126429840142096","5","11","-0.0937479878951774","-0.0640482342807924","0.0674144297438391","0.0727474087438391","0.0555504681669377","4","11","0.0326080870743424","-0.146235641904314","-0.0631567532397116","-0.0652394272397116","0.0674144297438391","3","11","-0.0326080870743424","-0.806452072030014","0.0106417956249178","0.0084240966249178","0.0555504681669377","2","11","0.0326080870743424","5.35005965077185","0","-0.01134646","0.0681807539217983","1","11","0","-0.460299497585484","0","0.002223234","0.044435795883794","5","11","0.044435795883794","Inf","0.132523241525687","0.132866924525687","0.0555504681669377","4","11","0.0329665353439298","-1","0","0.007351468","0","3","11","0","101.18640776699","0.106674358868697","0.106667183613697","0.074998390316142","2","10","0.037499195158071"
