"symbol","date","open","high","low","close","volume","adjusted","vol_change","return","adjusted_return","gap_type","gap_size","range","weekday","month","candle_body_metric","vol_change_lag-10","return_lag-10","adjusted_return_lag-10","range_lag-10","weekday_lag-10","month_lag-10","candle_body_metric_lag-10","vol_change_lag-9","return_lag-9","adjusted_return_lag-9","range_lag-9","weekday_lag-9","month_lag-9","candle_body_metric_lag-9","vol_change_lag-8","return_lag-8","adjusted_return_lag-8","range_lag-8","weekday_lag-8","month_lag-8","candle_body_metric_lag-8","vol_change_lag-7","return_lag-7","adjusted_return_lag-7","range_lag-7","weekday_lag-7","month_lag-7","candle_body_metric_lag-7","vol_change_lag-6","return_lag-6","adjusted_return_lag-6","range_lag-6","weekday_lag-6","month_lag-6","candle_body_metric_lag-6","vol_change_lag-5","return_lag-5","adjusted_return_lag-5","range_lag-5","weekday_lag-5","month_lag-5","candle_body_metric_lag-5","vol_change_lag-4","return_lag-4","adjusted_return_lag-4","range_lag-4","weekday_lag-4","month_lag-4","candle_body_metric_lag-4","vol_change_lag-3","return_lag-3","adjusted_return_lag-3","range_lag-3","weekday_lag-3","month_lag-3","candle_body_metric_lag-3","vol_change_lag-2","return_lag-2","adjusted_return_lag-2","range_lag-2","weekday_lag-2","month_lag-2","candle_body_metric_lag-2","vol_change_lag-1","return_lag-1","adjusted_return_lag-1","range_lag-1","weekday_lag-1","month_lag-1","candle_body_metric_lag-1","vol_change_lag1","return_lag1","adjusted_return_lag1","range_lag1","weekday_lag1","month_lag1","candle_body_metric_lag1","vol_change_lag2","return_lag2","adjusted_return_lag2","range_lag2","weekday_lag2","month_lag2","candle_body_metric_lag2","vol_change_lag3","return_lag3","adjusted_return_lag3","range_lag3","weekday_lag3","month_lag3","candle_body_metric_lag3","vol_change_lag4","return_lag4","adjusted_return_lag4","range_lag4","weekday_lag4","month_lag4","candle_body_metric_lag4","vol_change_lag5","return_lag5","adjusted_return_lag5","range_lag5","weekday_lag5","month_lag5","candle_body_metric_lag5","vol_change_lag6","return_lag6","adjusted_return_lag6","range_lag6","weekday_lag6","month_lag6","candle_body_metric_lag6","vol_change_lag7","return_lag7","adjusted_return_lag7","range_lag7","weekday_lag7","month_lag7","candle_body_metric_lag7","vol_change_lag8","return_lag8","adjusted_return_lag8","range_lag8","weekday_lag8","month_lag8","candle_body_metric_lag8","vol_change_lag9","return_lag9","adjusted_return_lag9","range_lag9","weekday_lag9","month_lag9","candle_body_metric_lag9","vol_change_lag10","return_lag10","adjusted_return_lag10","range_lag10","weekday_lag10","month_lag10","candle_body_metric_lag10"
"BMC","2012-07-02","2575","2575","2575","2575","0","2575","-1","0","-0.002459312","UP","0.12691466083151","0","1","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0","0","0","-0.007174604","0","5","6","0","-0.650655021834061","0","0.02226168","0","4","6","0","-0.739772727272727","0","0.001686357","0","3","6","0","Inf","0","-0.009815695","0","2","6","0","0","0","-0.001444746","0","1","6","0"
"BMC","2012-07-03","2575","2285","2285","2575","800","2575","Inf","0","-0.006232111","DOWN","-0.112621359223301","0","2","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0","0","0","-0.007174604","0","5","6","0","-0.650655021834061","0","0.02226168","0","4","6","0","-0.739772727272727","0","0.001686357","0","3","6","0","Inf","0","-0.009815695","0","2","6","0"
"BMC","2012-07-05","2575","2285","2285","2575","800","2575","0","0","0.004687023","NONE","0","0","4","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0","0","0","-0.007174604","0","5","6","0","-0.650655021834061","0","0.02226168","0","4","6","0","-0.739772727272727","0","0.001686357","0","3","6","0"
"BMC","2012-07-06","2575","2285","2285","2575","800","2575","0","0","0.009432649","NONE","0","0","5","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0","0","0","-0.007174604","0","5","6","0","-0.650655021834061","0","0.02226168","0","4","6","0"
"BMC","2012-07-09","2575","2285","2285","2575","800","2575","0","0","0.001638832","NONE","0","0","1","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0","0","0","-0.007174604","0","5","6","0"
"BMC","2012-07-10","2575","2285","2285","2575","800","2575","0","0","0.008125926","NONE","0","0","2","7","0","0","0","0.009040933","0","2","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0","0","-0.0757281553398058","-0.0597733053398058","0","1","6","0"
"BMC","2012-07-11","2575","2285","2285","2575","800","2575","0","0","1.492393e-05","NONE","0","0","3","7","0","0","0","0.0003138615","0","3","7","0","0","0","0.009040933","0","2","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0","0","0","-0.004772721","0","2","6","0"
"BMC","2012-07-12","2575","2285","2285","2575","800","2575","0","0","0.004987097","NONE","0","0","4","7","0","0","0","-0.01654097","0","4","7","0","0","0","0.0003138615","0","3","7","0","0","0","0.009040933","0","2","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","-0.01649736","0","5","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0","0","0.0819327731092437","0.0729478671092437","0","3","6","0"
"BMC","2012-07-13","2575","2285","2285","2575","800","2575","0","0","-0.01649736","NONE","0","0","5","7","0","0","0","-0.01908057","0","5","7","0","0","0","-0.01654097","0","4","7","0","0","0","0.0003138615","0","3","7","0","0","0","0.009040933","0","2","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","0.002314313","0","1","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0","0","0","0.0021098","0","4","6","0"
"BMC","2012-07-16","2575","2285","2285","2575","800","2575","0","0","0.002314313","NONE","0","0","1","7","0","0","0","0.0004833597","0","1","7","0","0","0","-0.01908057","0","5","7","0","0","0","-0.01654097","0","4","7","0","0","0","0.0003138615","0","3","7","0","0","0","0.009040933","0","2","7","0","Inf","0","0.008909056","0","1","7","0","-1","0","0.01006166","0","5","7","0","0","0","-0.0027171","0","4","7","0","0","0","-0.006680491","0","3","7","0","0","0","-0.007409672","0","2","7","0","0","0","-0.01649736","0","5","7","0","0","0","0.004987097","0","4","7","0","0","0","1.492393e-05","0","3","7","0","0","0","0.008125926","0","2","7","0","0","0","0.001638832","0","1","7","0","0","0","0.009432649","0","5","7","0","0","0","0.004687023","0","4","7","0","Inf","0","-0.006232111","0","2","7","0","-1","0","-0.002459312","0","1","7","0","0","0","-0.02492024","0","5","6","0"
