"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"BOL","1998-07-29","3","3.25","3","3.25","1000","3.25","NONE","0","0.0833333333333333","0.0833333333333333","0"
"BOL","1998-07-31","3","3.5","3","3.25","1000","3.25","NONE","0","0.166666666666667","0.0833333333333333","0"
"BOL","1998-08-05","3","3.5","2.75","2.75","1000","2.75","NONE","0","0.272727272727273","-0.0833333333333333","0"
"BOL","1998-08-06","3","3.5","2.5","2.5","1000","2.5","NONE","0","0.4","-0.166666666666667","0"
"BOL","1998-08-12","2","3","2","2.5","1000","2.5","NONE","0","0.5","0.25","0"
"BOL","1998-08-17","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-08-18","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-08-21","2.75","2.75","2.5","2.5","1000","2.5","NONE","0","0.1","-0.0909090909090909","0"
"BOL","1998-08-27","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-09-10","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-09-14","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-09-21","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-09-24","2","2.5","2","2.5","1000","2.5","NONE","0","0.25","0.25","0"
"BOL","1998-10-01","2","2","2","2","1000","2","NONE","0","0","0","0"
"BOL","1998-10-02","2","2","1.5","2","1000","2","NONE","0","0.333333333333333","0","0"
"BOL","1998-10-08","1.5","2","1.5","2","1000","2","NONE","0","0.333333333333333","0.333333333333333","0"
"BOL","1998-10-12","1.5","2","1.5","2","1000","2","NONE","0","0.333333333333333","0.333333333333333","0"
"BOL","1998-10-13","1.5","2","1.5","2","1000","2","NONE","0","0.333333333333333","0.333333333333333","0"
"BOL","1998-10-19","1.5","2.5","1.5","2","1000","2","NONE","0","0.666666666666667","0.333333333333333","0"
"BOL","1998-10-23","1.5","2","1.5","2","1000","2","NONE","0","0.333333333333333","0.333333333333333","0"
"BOL","1998-10-26","1.5","2","1.5","2","1000","2","NONE","0","0.333333333333333","0.333333333333333","0"
