"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"BRO","2021-09-20","55.880001","56.689999","55.619999","56.34","2672600","56.063","NONE","0","0.0192376846321051","0.0082319075119559","-0.0185023427876836","0","1","NA"
"BRO","2021-09-21","56.650002","56.98","56.209999","56.630001","1626800","56.351574","NONE","0","0.0136986481711198","-0.00035306265302516","-0.00427843458590973","-0.391304347826087","2","NA"
"BRO","2021-09-22","57.060001","57.57","56.41","57.400002","1474900","57.117786","NONE","0","0.0205637298351357","0.0059586574490246","0.000500509581285464","-0.0933734939759036","3","NA"
"BRO","2021-09-23","57.75","58.009998","57.150002","57.48","1162400","57.197395","NONE","0","0.0150480484672599","-0.00467532467532473","0.014258346176431","-0.211878771442132","4","NA"
"BRO","2021-09-24","57.509998","58.139999","57.459999","58.099998","812300","57.814346","NONE","0","0.0118343197325847","0.0102590857332319","-0.0063294364180515","-0.30118719889883","5","NA"
"BRO","2021-09-27","58.220001","58.220001","57.27","57.32","1044600","57.038181","NONE","0","0.0165881089575694","-0.0154586222009856","0.0156814315744223","0.285978086913702","1","NA"
"BRO","2021-09-28","57.25","57.25","55.560001","55.790001","1450100","55.515705","DOWN","-0.000349222978872064","0.0304175480486402","-0.0255021659388647","0.0103625461120149","0.388186865785947","2","NA"
"BRO","2021-09-29","55.900002","56.599998","55.900002","56.23","1093500","55.953541","NONE","0","0.0125222893551953","0.00590336293726781","-0.00657963932910196","-0.245914074891387","3","NA"
"BRO","2021-09-30","56.470001","56.580002","55.439999","55.450001","1631700","55.177376","NONE","0","0.020562825046227","-0.0180626878331382","0.00361870461623322","0.492181069958848","4","NA"
"BRO","2021-10-01","55.700001","57.970001","55.470001","57.599998","2024100","57.316803","NONE","0","0.0450694060741048","0.0341112561200851","-0.0248737292369151","0.240485383342526","5","NA"
"BRO","2021-10-04","57.630001","58.07","56.790001","57.18","1398000","56.898869","NONE","0","0.0225391614273788","-0.00780845032433715","-0.00331632886631275","-0.309322661923818","1","NA"
"BRO","2021-10-05","57.48","58.470001","57.18","58.130001","1602400","57.8442","NONE","0","0.0225603532703743","0.0113082985386222","-0.00299015970223556","0.14620886981402","2","NA"
"BRO","2021-10-06","57.650002","58.830002","57.529999","58.799999","933500","58.510902","NONE","0","0.0225969585015985","0.0199479091084854","-0.00976634409345956","-0.417436345481777","3","NA"
"BRO","2021-10-07","59.18","59.869999","59.049999","59.450001","946600","59.157711","UP","0.0037395375237281","0.013886537068358","0.00456236904359582","-0.00090571453404958","0.0140332083556508","4","NA"
"BRO","2021-10-08","59.5","60.07","59.330002","59.990002","757700","59.695057","NONE","0","0.0124725766906261","0.00823532773109239","-0.0116779439524495","-0.199556306782168","5","NA"
"BRO","2021-10-11","60.09","60.869999","59.939999","60.25","939200","59.953773","NONE","0","0.0155155157743663","0.00266267265768009","-0.00819233452199702","0.239540715322687","1","NA"
"BRO","2021-10-12","60.52","61.349998","60.23","60.75","967800","60.451317","NONE","0","0.0185953511539101","0.00380039656311958","-0.00784318582520851","0.0304514480408859","2","NA"
"BRO","2021-10-13","60.689999","61.709999","60.41","61.630001","1026900","61.326988","NONE","0","0.0215195994040723","0.015488581570087","-0.0141599845014958","0.0610663360198388","3","NA"
"BRO","2021-10-14","62.110001","63.169998","62.02","63.130001","1208200","62.819614","UP","0.00502351328834084","0.0185423734279264","0.0164224759874018","-0.00468035117974232","0.176550783912747","4","NA"
"BRO","2021-10-15","63.5","64.720001","63.349998","64.32","1530700","64.003769","UP","0.00284945394489327","0.021625935962934","0.0129133858267715","-0.00758923411787868","0.266926005628207","5","NA"
"BRO","2021-10-18","64.050003","64.589996","63.91","64.010002","1308900","63.69529","NONE","0","0.010639899859177","-0.00062452768347261","0.00571887609795971","-0.144901025674528","1","NA"
"BRO","2021-10-19","64.410004","64.410004","63.650002","64.089996","1388800","63.774895","NONE","0","0.0119403295541138","-0.00496829653977356","0.00992456841896837","0.0610436244174498","2","NA"
"BRO","2021-10-20","64.330002","64.769997","64.330002","64.57","1619600","64.252533","NONE","0","0.00683965469175658","0.00373073204630088","-0.00112928938560357","0.1661866359447","3","NA"
"BRO","2021-10-21","64.879997","65.660004","64.739998","65.629997","1504000","65.30732","NONE","0","0.0142107820269009","0.0115598032472165","-0.00768985150273013","-0.0713756483082243","4","NA"
"BRO","2021-10-22","65.809998","66.610001","65.639999","66.489998","1188400","66.163094","NONE","0","0.014777605343961","0.0103327764878523","-0.0106011844860126","-0.209840425531915","5","NA"
"BRO","2021-10-25","66.449997","67.239998","66.230003","66.459999","1645900","66.133247","NONE","0","0.0152498105730118","0.000150519194154366","0.00265820058380919","0.384971390104342","1","NA"
"BRO","2021-10-26","66.349998","66.940002","63.450001","63.900002","2303200","63.585831","NONE","0","0.0550039550038779","-0.0369253364559257","0.0360735858350598","0.399355975454159","2","NA"
"BRO","2021-10-27","64.260002","64.519997","62.290001","62.650002","1807600","62.341976","NONE","0","0.0358002241804428","-0.0250544654511526","0.0188233154932242","-0.215178881556096","3","NA"
"BRO","2021-10-28","62.779999","63.43","62.66","62.950001","1055400","62.640503","NONE","0","0.0122885413341845","0.00270790064842154","0.00465156826744601","-0.416131887585749","4","NA"
"BRO","2021-10-29","62.98","63.52","62.669998","63.110001","1798000","62.799717","NONE","0","0.0135631406913401","0.00206416322642109","0.00504510626259012","0.703619480765587","5","NA"
"BRO","2021-11-01","63.279999","63.299999","61.400002","61.869999","1523000","61.565807","NONE","0","0.0309445755392646","-0.0222819219703211","0.0229433958984711","-0.152947719688543","1","NA"
"BRO","2021-11-02","61.869999","63.119999","61.799999","62.73","1622300","62.525673","NONE","0","0.0213592236465894","0.0139001295280447","-0.0101479546210707","0.0652002626395272","2","NA"
"BRO","2021-11-03","62.779999","63.52","61.009998","61.82","1679800","61.618633","NONE","0","0.0411408307208927","-0.015291478421336","0.0217527576441677","0.0354435061332676","3","NA"
"BRO","2021-11-04","61.900002","62.099998","61.25","61.529999","1437600","61.329578","NONE","0","0.0138775183673469","-0.00597743114774058","0.00965106175198331","-0.144183831408501","4","NA"
"BRO","2021-11-05","61.93","62.27","61.610001","61.970001","1438300","61.76815","NONE","0","0.0107125302594948","0.000645906668819695","-0.00101404571329584","0.00048692264885921","5","NA"
"BRO","2021-11-08","62.360001","62.830002","61.779999","62.709999","1344500","62.505737","NONE","0","0.0169958403527977","0.00561253999979901","-0.00556570049374197","-0.0652158798581659","1","NA"
"BRO","2021-11-09","62.580002","63.330002","62.509998","63.009998","1391200","62.804756","NONE","0","0.0131179655452876","0.00687114072000194","-0.0115447824428762","0.0347341018966158","2","NA"
"BRO","2021-11-10","62.990002","63.48","62.869999","63.189999","1002600","62.984173","NONE","0","0.00970257689999322","0.00317505943244776","-0.00821756374268885","-0.279327199539965","3","NA"
"BRO","2021-11-11","63.099998","63.900002","62.849998","63.689999","1003800","63.482544","NONE","0","0.0167065080893082","0.00935025386213167","-0.0115222370407106","0.00119688809096349","4","NA"
