"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"CARR","2020-04-03","13.75","17","13.38","16.92","66934300","16.457848","NONE","0","0.270553064275037","0.230545454545455","0"
"CARR","2020-04-06","17.059999","17.15","14.85","15.44","37138000","15.018272","NONE","0","0.154882154882155","-0.0949589152965367","-0.445157415555253"
"CARR","2020-04-07","15.2","15.8","14.55","15.25","23486000","14.833462","NONE","0","0.0859106529209622","0.00328947368421057","-0.367601917173784"
"CARR","2020-04-08","14.5","15.25","13.73","14.26","49372700","13.870502","NONE","0","0.110706482155863","-0.016551724137931","1.10221834284254"
"CARR","2020-04-09","14","15.5","13.9","14.78","34992600","14.376298","NONE","0","0.115107913669065","0.0557142857142857","-0.291256099018283"
"CARR","2020-04-13","14.5","14.5","13.98","13.99","21497400","13.607878","NONE","0","0.0371959942775393","-0.0351724137931034","-0.385658682121363"
"CARR","2020-04-14","14","14.2","13.78","13.87","22350000","13.491156","NONE","0","0.0304789550072569","-0.00928571428571434","0.0396606101202936"
"CARR","2020-04-15","13.53","13.655","12.94","13.36","14990700","12.995085","DOWN","-0.0090711175616836","0.0552550231839258","-0.0125646711012565","-0.329275167785235"
"CARR","2020-04-16","13.15","13.25","12.26","12.89","21745200","12.537923","NONE","0","0.0807504078303426","-0.0197718631178707","0.450579359202706"
"CARR","2020-04-17","13.3","13.83","12.93","13.74","21336500","13.364703","NONE","0","0.0696055684454757","0.0330827067669173","-0.0187949524492762"
"CARR","2020-04-20","13.5","14.74","13.475","14.45","20032200","14.055313","NONE","0","0.0938775510204082","0.0703703703703703","-0.0611299885173295"
"CARR","2020-04-21","14.22","15.25","14.18","14.69","16235900","14.288756","NONE","0","0.0754583921015515","0.0330520393811532","-0.189509889078583"
"CARR","2020-04-22","14.95","15.16","14.22","14.79","12539500","14.386027","NONE","0","0.0661040787623066","-0.0107023411371238","-0.22766831527664"
"CARR","2020-04-23","14.7","15.92","14.61","15.72","12226000","15.290625","NONE","0","0.0896646132785764","0.0693877551020409","-0.0250009968499541"
"CARR","2020-04-24","15.6","16.67","15.29","16.25","17390000","15.806149","NONE","0","0.090255068672335","0.0416666666666667","0.422378537542941"
