"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"CMI","1996-01-02","9.25","9.65625","9.0625","9.65625","566000","5.298644","NONE","0","0.0655172413793104","0.0439189189189189","0"
"CMI","1996-01-03","9.65625","9.78125","9.46875","9.6875","305200","5.315794","NONE","0","0.033003300330033","0.00323624595469256","-0.460777385159011"
"CMI","1996-01-04","9.6875","9.75","9.5","9.59375","315600","5.264352","NONE","0","0.0263157894736842","-0.00967741935483871","0.0340760157273919"
"CMI","1996-01-05","9.5","9.6875","9.40625","9.625","214400","5.281499","NONE","0","0.0299003322259136","0.0131578947368421","-0.320659062103929"
"CMI","1996-01-08","9.5625","9.65625","9.5625","9.625","36000","5.281499","NONE","0","0.00980392156862745","0.0065359477124183","-0.832089552238806"
"CMI","1996-01-09","9.5625","9.625","9.375","9.375","280000","5.144317","NONE","0","0.0266666666666667","-0.0196078431372549","6.77777777777778"
"CMI","1996-01-10","9.3125","9.46875","9.234375","9.40625","454000","5.161465","NONE","0","0.0253807106598985","0.0100671140939597","0.621428571428571"
"CMI","1996-01-11","9.375","9.53125","9.375","9.46875","464800","5.195762","NONE","0","0.0166666666666667","0.01","0.0237885462555066"
"CMI","1996-01-12","9.5","9.5625","9.375","9.375","547200","5.144317","NONE","0","0.02","-0.0131578947368421","0.177280550774527"
"CMI","1996-01-15","9.34375","9.40625","9.15625","9.1875","427200","5.041433","NONE","0","0.0273037542662116","-0.0167224080267559","-0.219298245614035"
"CMI","1996-01-16","9.1875","9.1875","8.9375","9.125","664800","5.007135","NONE","0","0.027972027972028","-0.00680272108843537","0.556179775280899"
"CMI","1996-01-17","9.0625","9.09375","8.9375","8.96875","999200","4.921397","NONE","0","0.0174825174825175","-0.0103448275862069","0.503008423586041"
"CMI","1996-01-18","9","9.03125","8.84375","8.875","752000","4.869955","NONE","0","0.0212014134275618","-0.0138888888888889","-0.247397918334668"
"CMI","1996-01-19","8.875","8.875","8.625","8.65625","991200","4.74992","NONE","0","0.0289855072463768","-0.0246478873239437","0.318085106382979"
"CMI","1996-01-22","8.8125","9.5","8.78125","9.5","913600","5.212909","NONE","0","0.0818505338078292","0.0780141843971631","-0.0782889426957224"
"CMI","1996-01-23","9.25","9.3125","9.03125","9.3125","354400","5.110022","NONE","0","0.0311418685121107","0.00675675675675676","-0.612084063047285"
"CMI","1996-01-24","9.3125","9.5","9.3125","9.375","512800","5.144317","NONE","0","0.0201342281879195","0.00671140939597315","0.446952595936795"
"CMI","1996-01-25","9.3125","9.40625","9.15625","9.40625","464800","5.161465","NONE","0","0.0273037542662116","0.0100671140939597","-0.093603744149766"
"CMI","1996-01-26","9.34375","9.40625","9.28125","9.375","381200","5.144317","NONE","0","0.0134680134680135","0.00334448160535117","-0.17986230636833"
