"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"DUK","1996-01-02","41.076508","41.730244","41.076508","41.621288","292663","12.466693","NONE","0","0.0159150821681337","0.0132625684734448","0"
"DUK","1996-01-03","41.512329","41.730244","41.512329","41.621288","143291","12.466693","NONE","0","0.00524940433961192","0.00262473830364947","-0.510389082323355"
"DUK","1996-01-04","41.621288","41.730244","41.185463","41.294418","411059","12.368788","NONE","0","0.0132275069968256","-0.00785343307972592","1.86870075580462"
"DUK","1996-01-05","41.185463","41.621288","41.076508","41.512329","189755","12.434052","NONE","0","0.0132625684734448","0.00793644106902483","-0.538375269730136"
"DUK","1996-01-08","41.512329","41.730244","41.512329","41.730244","60116","12.499319","NONE","0","0.00524940433961192","0.00524940433961192","-0.683191483755369"
"DUK","1996-01-09","41.730244","41.839199","41.512329","41.703007","223484","12.491161","NONE","0","0.00787404628634543","-0.000652692085864619","2.71754607758334"
"DUK","1996-01-10","41.512329","41.730244","41.294418","41.294418","339701","12.368788","NONE","0","0.0105541141177967","-0.00524930798269596","0.52002380483614"
"DUK","1996-01-11","41.403374","41.730244","41.294418","41.730244","335456","12.499319","NONE","0","0.0105541141177967","0.00789476722356008","-0.0124962834963689"
"DUK","1996-01-12","41.621288","41.621288","41.185463","41.294418","167957","12.368788","NONE","0","0.0105820104535428","-0.00785343307972592","-0.499317347133454"
"DUK","1996-01-15","41.294418","41.512329","41.294418","41.294418","66082","12.368788","NONE","0","0.00527700862620224","0","-0.606554058479254"
"DUK","1996-01-16","41.512329","41.730244","41.403374","41.730244","156944","12.499319","NONE","0","0.00789476722356008","0.00524940433961192","1.37498865046457"
"DUK","1996-01-17","41.730244","41.839199","41.621288","41.839199","361613","12.531957","NONE","0","0.00523556599209522","0.0026109360875053","1.30408935671322"
"DUK","1996-01-18","41.730244","41.948154","41.403374","41.839199","343716","12.531957","NONE","0","0.0131578648638636","0.0026109360875053","-0.0494921366211945"
"DUK","1996-01-19","41.621288","41.730244","41.403374","41.403374","396489","12.401408","NONE","0","0.00789476722356008","-0.00523563807059504","0.153536640715009"
"DUK","1996-01-22","41.294418","41.512329","41.185463","41.185463","255378","12.336146","NONE","0","0.00793644106902483","-0.00263849220492711","-0.355901424755794"
"DUK","1996-01-23","41.185463","41.621288","40.858593","41.512329","247347","12.434052","NONE","0","0.0186666976026316","0.00793644106902483","-0.0314475013509386"
"DUK","1996-01-24","42.057114","42.928764","41.948154","42.38398","1311765","12.695134","UP","0.00785333697505955","0.0233767140265576","0.00777195506092031","4.30333903382697"
"DUK","1996-01-25","42.275024","42.492939","42.166069","42.166069","395916","12.629866","NONE","0","0.00775196758322431","-0.00257729008030845","-0.69818069547518"
"DUK","1996-01-26","42.166069","42.71085","42.166069","42.71085","309184","12.793039","NONE","0","0.0129198906352878","0.0129198906352878","-0.219066670707928"
"DUK","1996-01-29","42.601894","43.25563","42.601894","43.25563","176447","12.95622","NONE","0","0.0153452332424468","0.0153452332424468","-0.429313936038087"
"DUK","1996-01-30","43.36459","43.473545","43.146675","43.146675","216945","12.923582","NONE","0","0.00757578654670376","-0.00502518298916231","0.229519345752549"
"DUK","1996-01-31","43.25563","43.473545","42.928764","43.36459","180577","12.988861","NONE","0","0.0126903490629267","0.00251897845436544","-0.167636958676162"
"DUK","1996-02-01","43.473545","43.473545","43.146675","43.36459","344634","12.988861","NONE","0","0.00757578654670376","-0.00250623683897878","0.908515480930573"
"DUK","1996-02-02","43.5825","43.5825","42.71085","42.71085","222566","12.793039","NONE","0","0.0204081632653062","-0.0200000000000001","-0.354196045660034"
"DUK","1996-02-05","42.819805","43.36459","42.819805","43.36459","283600","12.988861","NONE","0","0.0127227342581312","0.0127227342581312","0.274228768095756"
"DUK","1996-02-06","43.25563","44.127281","43.146675","44.127281","312281","13.217295","NONE","0","0.0227272669330835","0.0201511572019644","0.101131875881523"
"DUK","1996-02-07","44.127281","44.563107","44.018326","44.563107","423106","13.347834","NONE","0","0.0123762316631487","0.00987656592754941","0.354888706005168"
"DUK","1996-02-08","44.563107","44.781017","44.345196","44.781017","225205","13.413105","NONE","0","0.00982791912792531","0.00488991936760595","-0.467733853927857"
"DUK","1996-02-09","44.781017","45.216843","44.563107","44.781017","388344","13.413105","NONE","0","0.0146698927433402","0","0.724402211318576"
