"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"EMC","2012-11-29","8401.049805","8401.049805","8401.049805","8401.049805","34","8401.049805","NONE","0","0","0","0"
"EMC","2012-11-30","8051.009766","8051.009766","8051.009766","8051.009766","45","8051.009766","DOWN","-0.0416662259032995","0","0","0.323529411764706"
"EMC","2012-12-03","7700.959961","7700.959961","7700.959961","7700.959961","102","7700.959961","DOWN","-0.0434789939615135","0","0","1.26666666666667"
"EMC","2012-12-04","7350.919922","7350.919922","7350.919922","7350.919922","491","7350.919922","DOWN","-0.0454540785528958","0","0","3.81372549019608"
"EMC","2012-12-05","7000.879883","7000.879883","7000.879883","7000.879883","297","7000.879883","DOWN","-0.0476185351920911","0","0","-0.395112016293279"
"EMC","2012-12-06","6650.830078","6650.830078","6650.830078","6650.830078","137","6650.830078","DOWN","-0.0500008300170974","0","0","-0.538720538720539"
"EMC","2012-12-07","6388.299805","6388.299805","6388.299805","6388.299805","342","6388.299805","DOWN","-0.0394733093344864","0","0","1.4963503649635"
"EMC","2012-12-10","6125.77002","6125.77002","6125.77002","6125.77002","251","6125.77002","DOWN","-0.0410954077005783","0","0","-0.266081871345029"
"EMC","2012-12-11","5863.22998","5863.22998","5863.22998","5863.22998","4068","5863.22998","DOWN","-0.0428582919604938","0","0","15.207171314741"
"EMC","2012-12-12","5600.700195","5600.700195","5600.700195","5600.700195","10855","5600.700195","DOWN","-0.0447756246805109","0","0","1.66838741396264"
"EMC","2012-12-13","5338.169922","5338.169922","5338.169922","5338.169922","38818","5338.169922","DOWN","-0.0468745449425008","0","0","2.57604790419162"
"EMC","2012-12-14","5075.629883","5600.700195","5075.629883","5600.700195","76081","5600.700195","NONE","0","0.103449290847356","0.103449290847356","0.959941264361894"
"EMC","2012-12-17","5600.700195","5688.209961","5338.169922","5338.169922","20683","5338.169922","NONE","0","0.0655730417192965","-0.0468745449425008","-0.728145003351691"
"EMC","2012-12-18","5338.169922","5513.189941","5338.169922","5513.189941","3828","5513.189941","NONE","0","0.0327865207659831","0.0327865207659831","-0.814920466083257"
"EMC","2012-12-19","5338.169922","5513.189941","5250.660156","5513.189941","46119","5513.189941","NONE","0","0.0499993862105136","0.0327865207659831","11.0478056426332"
"EMC","2012-12-20","5250.660156","5338.169922","5250.660156","5250.660156","16135","5250.660156","NONE","0","0.0166664311534239","0","-0.650144192198443"
"EMC","2012-12-21","5250.660156","5250.660156","5075.629883","5250.660156","5027","5250.660156","NONE","0","0.034484443711358","0","-0.688441276727611"
"EMC","2012-12-24","5250.660156","5250.660156","5075.629883","5075.629883","7496","5075.629883","NONE","0","0.034484443711358","-0.0333349079543819","0.491147801869903"
"EMC","2012-12-26","5163.149902","5250.660156","5163.149902","5163.149902","8581","5163.149902","NONE","0","0.0169490050959206","0","0.14474386339381"
"EMC","2012-12-27","5163.149902","5250.660156","5075.629883","5250.660156","24362","5250.660156","NONE","0","0.034484443711358","0.0169490050959206","1.839063046265"
"EMC","2012-12-28","5250.660156","5338.169922","5075.629883","5163.149902","21083","5163.149902","NONE","0","0.0517256074717614","-0.0166665240941181","-0.134594860848863"
"EMC","2012-12-31","5163.149902","5163.149902","5163.149902","5163.149902","0","5163.149902","NONE","0","0","0","-1"
"EMC","2013-01-02","5163.149902","5338.169922","5163.149902","5338.169922","10307","5338.169922","NONE","0","0.0338979156758947","0.0338979156758947","Inf"
"EMC","2013-01-03","5513.189941","5513.189941","5338.169922","5338.169922","12832","5338.169922","NONE","0","0.0327865207659831","-0.0317456900402481","0.244979140390026"
"EMC","2013-01-04","5250.660156","5425.680176","5250.660156","5338.169922","13026","5338.169922","NONE","0","0.033332955247542","0.0166664311534239","0.0151184538653367"
"EMC","2013-01-07","5338.169922","5338.169922","5250.660156","5250.660156","2171","5250.660156","NONE","0","0.0166664311534239","-0.016393214768108","-0.833333333333333"
"EMC","2013-01-08","5250.660156","5250.660156","5075.629883","5075.629883","16809","5075.629883","NONE","0","0.034484443711358","-0.0333349079543819","6.74251497005988"
"EMC","2013-01-09","5075.629883","5250.660156","5075.629883","5163.149902","16603","5163.149902","NONE","0","0.034484443711358","0.0172431838052524","-0.0122553394015111"
"EMC","2013-01-10","5163.149902","5163.149902","5163.149902","5163.149902","1256","5163.149902","NONE","0","0","0","-0.924351020899837"
"EMC","2013-01-11","5163.149902","5163.149902","5163.149902","5163.149902","3348","5163.149902","NONE","0","0","0","1.6656050955414"
"EMC","2013-01-14","5163.149902","5250.660156","5163.149902","5250.660156","3405","5250.660156","NONE","0","0.0169490050959206","0.0169490050959206","0.0170250896057348"
"EMC","2013-01-15","5163.149902","5338.169922","5163.149902","5338.169922","2411","5338.169922","NONE","0","0.0338979156758947","0.0338979156758947","-0.291923641703377"
"EMC","2013-01-16","5250.660156","5425.680176","5250.660156","5425.680176","6444","5425.680176","NONE","0","0.033332955247542","0.033332955247542","1.67274989630859"
"EMC","2013-01-17","5075.629883","5163.149902","5075.629883","5163.149902","7450","5163.149902","DOWN","-0.0166665240941181","0.0172431838052524","0.0172431838052524","0.156114214773433"
"EMC","2013-01-18","5163.149902","5163.149902","5075.629883","5075.629883","6959","5075.629883","NONE","0","0.0172431838052524","-0.0169508963832522","-0.0659060402684564"
"EMC","2013-01-22","5075.629883","5075.629883","5075.629883","5075.629883","3668","5075.629883","NONE","0","0","0","-0.472912774823969"
"EMC","2013-01-23","5075.629883","5163.149902","5075.629883","5163.149902","2982","5163.149902","NONE","0","0.0172431838052524","0.0172431838052524","-0.187022900763359"
"EMC","2013-01-24","5250.660156","5338.169922","5250.660156","5338.169922","10970","5338.169922","UP","0.0169490050959206","0.0166664311534239","0.0166664311534239","2.67873910127431"
"EMC","2013-01-25","5425.680176","5513.189941","5425.680176","5425.680176","13723","5425.680176","UP","0.0163933061852054","0.0161288100590763","0","0.250957155879672"
"EMC","2013-01-28","5513.189941","5600.700195","5425.680176","5600.700195","742","5600.700195","NONE","0","0.0322577102451017","0.0158728893683151","-0.945930190191649"
"EMC","2013-01-29","5600.700195","5600.700195","5338.169922","5513.189941","9393","5513.189941","NONE","0","0.0491798269511887","-0.0156248774176709","11.6590296495957"
"EMC","2013-01-30","5688.209961","5688.209961","5338.169922","5338.169922","1416","5338.169922","NONE","0","0.0655730417192965","-0.061537819700745","-0.84924944107314"
"EMC","2013-01-31","5338.169922","5338.169922","5338.169922","5338.169922","1165","5338.169922","NONE","0","0","0","-0.17725988700565"
"EMC","2013-02-01","5338.169922","5425.680176","5250.660156","5425.680176","13552","5425.680176","NONE","0","0.033332955247542","0.0163933061852054","10.6326180257511"
