"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"EP","1999-10-27","22.464001","22.464001","20.976","20.976","573","20.976","NONE","0","0.0709382627765065","-0.0662393578062964","0"
"EP","1999-10-28","20.976","20.976","20.976","20.976","0","20.976","NONE","0","0","0","-1"
"EP","1999-10-29","26.976","28.464001","24","28.464001","1981","28.464001","UP","0.144164759725401","0.186000041666667","0.0551601794187426","Inf"
"EP","1999-11-01","28.464001","28.464001","28.464001","28.464001","42","28.464001","NONE","0","0","0","-0.978798586572438"
"EP","1999-11-02","25.440001","25.440001","24","24","292","24","DOWN","-0.10623945663858","0.0600000416666666","-0.0566038106680892","5.95238095238095"
"EP","1999-11-03","24","24","22.464001","24","3771","24","NONE","0","0.0683760208165945","0","11.9143835616438"
"EP","1999-11-04","24","24","24","24","0","24","NONE","0","0","0","-1"
"EP","1999-11-05","24","24","22.464001","24","1519","24","NONE","0","0.0683760208165945","0","Inf"
"EP","1999-11-08","24","24","24","24","0","24","NONE","0","0","0","-1"
"EP","1999-11-09","24","24","24","24","21","24","NONE","0","0","0","Inf"
"EP","1999-11-10","24","24","24","24","0","24","NONE","0","0","0","-1"
"EP","1999-11-11","24","24","24","24","0","24","NONE","0","0","0","NaN"
"EP","1999-11-12","30","42","24","30","4377","30","NONE","0","0.75","0","Inf"
"EP","1999-11-15","31.488001","31.488001","26.976","31.488001","1719","31.488001","NONE","0","0.167259823546857","0","-0.60726525017135"
"EP","1999-11-16","30","30.24","24.48","30","1000","30","NONE","0","0.235294117647059","0","-0.41826643397324"
"EP","1999-11-17","36","36","30.24","36","219","36","NONE","0","0.190476190476191","0","-0.781"
"EP","1999-11-18","30","36","30","30","260","30","NONE","0","0.2","0","0.187214611872146"
"EP","1999-11-19","32.976002","32.976002","32.976002","32.976002","79","32.976002","NONE","0","0","0","-0.696153846153846"
"EP","1999-11-22","32.976002","32.976002","32.976002","32.976002","0","32.976002","NONE","0","0","0","-1"
"EP","1999-11-23","25.488001","30","25.488001","30","250","30","DOWN","-0.0902475078695107","0.177024435929675","0.177024435929675","Inf"
"EP","1999-11-24","30","30","30","30","0","30","NONE","0","0","0","-1"
"EP","1999-11-26","30","30","30","30","0","30","NONE","0","0","0","NaN"
"EP","1999-11-29","30","30","26.976","30","417","30","NONE","0","0.112099644128114","0","Inf"
"EP","1999-11-30","30","30","26.976","30","494","30","NONE","0","0.112099644128114","0","0.184652278177458"
"EP","1999-12-01","25.488001","25.488001","25.488001","25.488001","21","25.488001","DOWN","-0.0551601052787663","0","0","-0.95748987854251"
"EP","1999-12-02","25.488001","25.488001","25.488001","25.488001","0","25.488001","NONE","0","0","0","-1"
"EP","1999-12-03","25.488001","25.488001","25.488001","25.488001","63","25.488001","NONE","0","0","0","Inf"
"EP","1999-12-06","25.488001","25.488001","25.488001","25.488001","0","25.488001","NONE","0","0","0","-1"
"EP","1999-12-07","25.488001","25.488001","25.488001","25.488001","0","25.488001","NONE","0","0","0","NaN"
"EP","1999-12-08","25.488001","25.488001","24","24","281","24","NONE","0","0.0620000416666667","-0.0583804512562598","Inf"
"EP","1999-12-09","24","24","24","24","42","24","NONE","0","0","0","-0.850533807829182"
"EP","1999-12-10","24","26.976","24","24","1613","24","NONE","0","0.124","0","37.4047619047619"
"EP","1999-12-13","25.488001","30","22.464001","22.464001","354","22.464001","NONE","0","0.335470026020743","-0.118644063141711","-0.780533168009919"
"EP","1999-12-14","25.488001","25.488001","25.488001","25.488001","21","25.488001","NONE","0","0","0","-0.940677966101695"
"EP","1999-12-15","25.488001","25.488001","25.488001","25.488001","2","25.488001","NONE","0","0","0","-0.904761904761905"
"EP","1999-12-16","25.488001","25.488001","25.488001","25.488001","0","25.488001","NONE","0","0","0","-1"
"EP","1999-12-17","25.488001","25.488001","25.488001","25.488001","0","25.488001","NONE","0","0","0","NaN"
"EP","1999-12-20","22.464001","22.464001","22.464001","22.464001","125","22.464001","DOWN","-0.118644063141711","0","0","Inf"
"EP","1999-12-21","22.464001","22.464001","20.976","20.976","313","20.976","NONE","0","0.0709382627765065","-0.0662393578062964","1.504"
"EP","1999-12-22","19.488001","20.976","19.488001","20.976","229","20.976","NONE","0","0.0763546245712938","0.0763546245712938","-0.268370607028754"
"EP","1999-12-23","20.976","20.976","20.976","20.976","0","20.976","NONE","0","0","0","-1"
"EP","1999-12-27","24","24","24","24","104","24","UP","0.144164759725401","0","0","Inf"
"EP","1999-12-28","19.488001","20.976","19.488001","20.976","1096","20.976","DOWN","-0.126","0.0763546245712938","0.0763546245712938","9.53846153846154"
"EP","1999-12-29","19.488001","19.488001","19.488001","19.488001","52","19.488001","NONE","0","0","0","-0.952554744525547"
"EP","1999-12-30","19.488001","19.488001","19.488001","19.488001","240","19.488001","NONE","0","0","0","3.61538461538462"
"EP","1999-12-31","21.6","21.6","21.6","21.6","208","21.6","UP","0.108374327361744","0","0","-0.133333333333333"
"EP","2000-01-03","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","-1"
"EP","2000-01-04","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-05","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-06","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-07","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-10","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-11","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-12","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-13","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-14","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-18","21.6","21.6","21.6","21.6","0","21.6","NONE","0","0","0","NaN"
"EP","2000-01-19","24","24","22.464001","24","313","24","UP","0.0400000462962962","0.0683760208165945","0","Inf"
"EP","2000-01-20","24","24","24","24","0","24","NONE","0","0","0","-1"
"EP","2000-01-21","25.488001","30","22.464001","25.488001","227","25.488001","NONE","0","0.335470026020743","0","Inf"
"EP","2000-01-24","30","36","25.488001","30","1550","30","NONE","0","0.41242932311561","0","5.82819383259912"
"EP","2000-01-25","30","36","25.488001","25.488001","729","25.488001","NONE","0","0.41242932311561","-0.150399966666667","-0.529677419354839"
"EP","2000-01-26","25.488001","25.488001","20.976","20.976","785","20.976","NONE","0","0.215103022501907","-0.177024514397971","0.0768175582990398"
"EP","2000-01-27","24","24","24","24","1135","24","NONE","0","0","0","0.445859872611465"
"EP","2000-01-28","22.464001","22.464001","22.464001","22.464001","52","22.464001","DOWN","-0.0639999583333333","0","0","-0.954185022026432"
"EP","2000-01-31","22.464001","22.464001","22.464001","22.464001","625","22.464001","NONE","0","0","0","11.0192307692308"
"EP","2000-02-01","26.976","30","26.976","30","167","30","UP","0.200854647397852","0.112099644128114","0.112099644128114","-0.7328"
"EP","2000-02-02","24","24","24","24","15","24","DOWN","-0.110320284697509","0","0","-0.910179640718563"
"EP","2000-02-03","24","24","24","24","33","24","NONE","0","0","0","1.2"
"EP","2000-02-04","24","24","24","24","208","24","NONE","0","0","0","5.3030303030303"
"EP","2000-02-07","24","24","24","24","0","24","NONE","0","0","0","-1"
"EP","2000-02-08","24","25.92","24","24","958","24","NONE","0","0.0800000000000001","0","Inf"
