"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"FE","1997-11-10","25.75","25.75","25.125","25.1875","947200","8.241851","NONE","0","0.0248756218905473","-0.0218446601941748","0.0149660228412474","0","1","NA"
"FE","1997-11-11","25.1875","25.4375","25.125","25.3125","514700","8.282753","NONE","0","0.0124378109452736","0.00496277915632754","-0.00208585191954729","-0.456608952702703","2","NA"
"FE","1997-11-12","25.25","25.875","25.125","25.625","344700","8.385013","NONE","0","0.0298507462686567","0.0148514851485149","-0.0341417993365044","-0.330289489022732","3","NA"
"FE","1997-11-13","25.5625","25.9375","25.5625","25.875","1007700","8.46682","NONE","0","0.0146699266503667","0.0122249388753056","-0.000414317280349625","1.92341166231506","4","NA"
"FE","1997-11-14","25.875","26","25.6875","26","1394900","8.507722","NONE","0","0.0121654501216545","0.00483091787439614","0.00792190579449547","0.384241341669148","5","NA"
"FE","1997-11-17","25.9375","26.25","25.875","26.125","706600","8.54862","NONE","0","0.0144927536231884","0.0072289156626506","0.011998785593842","-0.493440389992114","1","NA"
"FE","1997-11-18","26","26.375","25.9375","26.0625","625800","8.528172","NONE","0","0.0168674698795181","0.00240384615384615","-0.010827046216118","-0.114350410416077","2","NA"
"FE","1997-11-19","26","26.25","26","26.25","342400","8.589531","NONE","0","0.00961538461538462","0.00961538461538462","-0.00283661274113689","-0.452860338766379","3","NA"
"FE","1997-11-20","26.1875","26.625","26.1875","26.5","558800","8.671329","NONE","0","0.0167064439140811","0.0119331742243437","0.00330089832425413","0.632009345794392","4","NA"
"FE","1997-11-21","26.75","26.875","26.5","26.875","640800","8.794033","NONE","0","0.0141509433962264","0.00467289719626168","-0.000387044430075672","0.146743020758769","5","NA"
"FE","1997-11-24","26.625","27","26.5","26.875","330800","8.794033","NONE","0","0.0188679245283019","0.00938967136150235","-0.0264390058366479","-0.483770287141074","1","NA"
"FE","1997-11-25","26.8125","27.25","26.75","27.125","1021000","8.875844","NONE","0","0.0186915887850467","0.0116550116550117","-0.00727119884323475","2.08645707376058","2","NA"
"FE","1997-11-26","27.1875","27.1875","26.875","26.875","488700","8.794033","NONE","0","0.0116279069767442","-0.0114942528735632","0.0123566747767236","-0.521351616062684","3","NA"
"FE","1997-11-28","27","27","26.875","27","244200","8.834945","NONE","0","0.00465116279069767","0","0.00395108333060173","-0.500306936771025","5","NA"
"FE","1997-12-01","27","27.375","26.9375","27.375","836200","8.957647","NONE","0","0.0162412993039443","0.0138888888888889","0.00638533710380381","2.42424242424242","1","NA"
"FE","1997-12-02","27.25","27.375","27.0625","27.125","437800","8.875844","NONE","0","0.0115473441108545","-0.00458715596330275","0.00140691436235378","-0.476441042812724","2","NA"
"FE","1997-12-03","27.25","27.25","26.875","27.125","338400","8.875844","NONE","0","0.013953488372093","-0.00458715596330275","0.0098255338620644","-0.227044312471448","3","NA"
"FE","1997-12-04","27.25","27.6875","27.0625","27.375","1405800","8.957647","NONE","0","0.023094688221709","0.00458715596330275","-0.00834448258559207","3.15425531914894","4","NA"
"FE","1997-12-05","27.125","27.875","27.125","27.3125","362500","8.937198","NONE","0","0.0276497695852535","0.00691244239631336","0.00407307015496844","-0.742139706928439","5","NA"
"FE","1997-12-08","27.375","27.4375","27.125","27.3125","312900","8.937198","NONE","0","0.0115207373271889","-0.00228310502283105","0.00083972479762611","-0.136827586206897","1","NA"
"FE","1997-12-09","27.1875","27.3125","26.9375","27.1875","365300","8.89629","NONE","0","0.0139211136890951","0","-0.00670823216663901","0.167465643975711","2","NA"
"FE","1997-12-10","27.4375","27.5","27.1875","27.3125","354100","8.937198","NONE","0","0.0114942528735632","-0.00455580865603645","-0.00158292222795051","-0.0306597317273474","3","NA"
"FE","1997-12-11","27.25","27.3125","26.9375","27.125","199600","8.875844","NONE","0","0.0139211136890951","-0.00458715596330275","-0.0107254130845081","-0.436317424456368","4","NA"
"FE","1997-12-12","27.25","27.3125","27","27.1875","680500","8.89629","NONE","0","0.0115740740740741","-0.00229357798165138","0.000670452971960866","2.40931863727455","5","NA"
"FE","1997-12-15","27.1875","27.5625","27.1875","27.5","489500","8.998549","NONE","0","0.0137931034482759","0.0114942528735632","-0.00100536601439052","-0.280675973548861","1","NA"
"FE","1997-12-16","27.5","27.5625","27.375","27.4375","310200","8.978096","NONE","0","0.00684931506849315","-0.00227272727272727","0.00709939448704345","-0.366292134831461","2","NA"
"FE","1997-12-17","27.5625","27.5625","27.3125","27.4375","386100","8.978096","NONE","0","0.0091533180778032","-0.00453514739229025","0.00195260942194209","0.24468085106383","3","NA"
"FE","1997-12-18","27.4375","27.8125","27.375","27.8125","1640900","9.100802","NONE","0","0.0159817351598174","0.0136674259681093","-0.0242728801526278","3.24993524993525","4","NA"
"FE","1997-12-19","27.8125","28.3125","27.6875","28.3125","2164100","9.264419","NONE","0","0.0225733634311512","0.0179775280898876","-0.026896149577403","0.318849411908099","5","NA"
"FE","1997-12-22","28.3125","28.8125","28.25","28.625","851400","9.366673","NONE","0","0.0199115044247788","0.011037527593819","-0.00372856163758841","-0.60658010258306","1","NA"
"FE","1997-12-23","28.4375","28.75","28.3125","28.5","493200","9.325769","NONE","0","0.0154525386313466","0.0021978021978022","-0.0174751502282854","-0.420718816067653","2","NA"
"FE","1997-12-24","28.5625","28.6875","28.4375","28.625","92200","9.366673","NONE","0","0.00879120879120879","0.00218818380743982","-0.00903493874633667","-0.813057583130576","3","NA"
"FE","1997-12-26","28.5625","28.625","28.0625","28.25","215300","9.243962","NONE","0","0.0200445434298441","-0.0109409190371991","0.0149722366651869","1.3351409978308","5","NA"
"FE","1997-12-29","28.25","28.75","28.125","28.5625","280800","9.346221","NONE","0","0.0222222222222222","0.0110619469026549","0.00697401149728633","0.304226660473758","1","NA"
"FE","1997-12-30","28.625","28.8125","28.5","28.8125","268600","9.428027","NONE","0","0.0109649122807018","0.00655021834061135","0.011795668731609","-0.0434472934472935","2","NA"
"FE","1997-12-31","28.625","29","28.5625","29","482900","9.489379","NONE","0","0.0153172866520788","0.0131004366812227","-0.0135227863872469","0.797840655249442","3","NA"
"FE","1998-01-02","28.75","28.9375","28.5","28.875","317200","9.448476","NONE","0","0.0153508771929825","0.00434782608695652","0.000402629930740008","-0.3431352246842","5","NA"
"FE","1998-01-05","28.6875","28.90625","28.1875","28.375","734200","9.284865","NONE","0","0.0254988913525499","-0.0108932461873638","0.0129752418447768","1.31462799495586","1","NA"
"FE","1998-01-06","28.25","28.625","28.25","28.5625","1507800","9.346221","NONE","0","0.0132743362831858","0.0110619469026549","-0.0217981172127113","1.0536638518115","2","NA"
"FE","1998-01-07","28.4375","28.4375","28.0625","28.4375","724000","9.305318","NONE","0","0.0133630289532294","0","-0.00266922236609822","-0.519830216209046","3","NA"
"FE","1998-01-08","28.3125","28.4375","28.0625","28.375","461600","9.284865","NONE","0","0.0133630289532294","0.0022075055187638","-0.0104544059337016","-0.362430939226519","4","NA"
"FE","1998-01-09","28.3125","28.5625","28.125","28.3125","863900","9.264419","NONE","0","0.0155555555555556","0","-0.029663706245452","0.871533795493934","5","NA"
"FE","1998-01-12","27.875","28.75","27.875","28.75","679200","9.407575","NONE","0","0.031390134529148","0.031390134529148","-0.0189721716588314","-0.213797893274685","1","NA"
"FE","1998-01-13","28.75","28.75","28.375","28.4375","1065600","9.305318","NONE","0","0.013215859030837","-0.0108695652173913","0.0246151308497819","0.568904593639576","2","NA"
"FE","1998-01-14","28.4375","28.4375","28.125","28.4375","348700","9.305318","NONE","0","0.0111111111111111","0","0.00611268225703004","-0.672766516516517","3","NA"
"FE","1998-01-15","28.3125","28.375","28.25","28.25","638200","9.243962","NONE","0","0.00442477876106195","-0.0022075055187638","-0.00531908485740476","0.830226555778606","4","NA"
