"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"FNMA","1996-01-02","30.96875","31.375","30.75","31.375","5216400","23.744287","NONE","0","0.0203252032520325","0.0131180625630676","0"
"FNMA","1996-01-03","31.5","31.59375","30.65625","30.65625","4493200","23.20034","NONE","0","0.0305810397553517","-0.0267857142857143","-0.138639674871559"
"FNMA","1996-01-04","30.6875","31.03125","30","30.40625","6240400","23.011143","NONE","0","0.034375","-0.00916496945010183","0.388854268672661"
"FNMA","1996-01-05","30.15625","30.375","30","30.375","4969200","22.987495","NONE","0","0.0125","0.00725388601036269","-0.203704890712134"
"FNMA","1996-01-08","30.34375","30.5625","30.21875","30.5","1011600","23.082102","NONE","0","0.0113753877973113","0.00514933058702369","-0.796425984061821"
"FNMA","1996-01-09","30.6875","30.6875","30","30.375","2940800","22.987495","NONE","0","0.0229166666666667","-0.010183299389002","1.90707789640174"
"FNMA","1996-01-10","30","30.03125","29.5","29.75","5262000","22.514513","NONE","0","0.0180084745762712","-0.00833333333333333","0.789309031556039"
"FNMA","1996-01-11","30.1875","30.6875","30","30.59375","5662400","23.153048","NONE","0","0.0229166666666667","0.0134575569358178","0.0760927404028886"
"FNMA","1996-01-12","30.625","30.71875","29.9375","30.34375","3924800","22.963848","NONE","0","0.0260960334029228","-0.00918367346938776","-0.306866346425544"
"FNMA","1996-01-15","30.34375","30.5","30.15625","30.3125","2923200","22.940199","NONE","0","0.0113989637305699","-0.00102986611740474","-0.255197717081125"
"FNMA","1996-01-16","30.375","30.5","29.75","30.25","2916600","22.892902","NONE","0","0.0252100840336134","-0.00411522633744856","-0.00225779967159277"
"FNMA","1996-01-17","30","30.875","30","30.5","3042200","23.082102","NONE","0","0.0291666666666667","0.0166666666666667","0.0430638414592334"
"FNMA","1996-01-18","30.75","30.875","30.375","30.625","3879000","23.176693","NONE","0","0.0164609053497942","-0.0040650406504065","0.275064098349878"
"FNMA","1996-01-19","30.25","31.125","30.125","31.125","3439200","23.555099","NONE","0","0.033195020746888","0.0289256198347107","-0.11337973704563"
"FNMA","1996-01-22","31","31.75","30.625","31.375","3156200","23.744287","NONE","0","0.036734693877551","0.0120967741935484","-0.0822865782740172"
"FNMA","1996-01-23","31.125","31.5","31.125","31.375","2121000","23.744287","NONE","0","0.0120481927710843","0.00803212851405622","-0.327989354286801"
"FNMA","1996-01-24","31.25","31.5","31.125","31.375","2625100","23.744287","NONE","0","0.0120481927710843","0.004","0.237670909948138"
"FNMA","1996-01-25","31.25","31.875","31.25","31.5","3513900","23.838882","NONE","0","0.02","0.008","0.338577577997029"
"FNMA","1996-01-26","31.5","32","31.375","32","3191200","24.217281","NONE","0","0.0199203187250996","0.0158730158730159","-0.0918352827342838"
"FNMA","1996-01-29","31.625","32.75","31.625","32.625","3330400","24.837749","NONE","0","0.0355731225296443","0.0316205533596838","0.0436199548759088"
"FNMA","1996-01-30","33","33.875","32.875","33.5","4851100","25.503897","UP","0.00381679389312977","0.0304182509505703","0.0151515151515152","0.456611818400192"
"FNMA","1996-01-31","33.375","34.875","33.375","34.5","4321100","26.265209","NONE","0","0.0449438202247191","0.0337078651685393","-0.10925357135495"
"FNMA","1996-02-01","34.25","34.375","33.625","33.75","2698400","25.694227","NONE","0","0.0223048327137546","-0.0145985401459854","-0.375529379093286"
"FNMA","1996-02-02","33.75","34.125","32.5","32.5","3591300","24.742586","NONE","0","0.05","-0.037037037037037","0.330899792469612"
"FNMA","1996-02-05","32.375","32.625","32","32.5","4426700","24.742586","NONE","0","0.01953125","0.00386100386100386","0.232617715033553"
"FNMA","1996-02-06","32.625","33.75","32.5","33.375","4222200","25.408731","NONE","0","0.0384615384615385","0.0229885057471264","-0.0461969412880927"
"FNMA","1996-02-07","33.375","34.25","33.375","34.125","3444300","25.979712","NONE","0","0.0262172284644195","0.0224719101123595","-0.184240443370755"
"FNMA","1996-02-08","34.125","34.625","33.75","34.5","4062200","26.265209","NONE","0","0.0259259259259259","0.010989010989011","0.179397845716111"
"FNMA","1996-02-09","34.375","35.25","34.25","34.875","3253400","26.550697","NONE","0","0.0291970802919708","0.0145454545454545","-0.19910393382896"
"FNMA","1996-02-12","35.25","35.5","34.875","35.375","2895900","26.931353","NONE","0","0.017921146953405","0.00354609929078014","-0.109885043339276"
"FNMA","1996-02-13","35.25","35.75","35","35.375","2753500","26.931353","NONE","0","0.0214285714285714","0.00354609929078014","-0.0491729686798577"
"FNMA","1996-02-14","35.25","35.25","34.25","34.5","2501400","26.265209","NONE","0","0.0291970802919708","-0.0212765957446809","-0.0915562011984747"
"FNMA","1996-02-15","34.375","34.5","33.875","34.25","2517400","26.074879","NONE","0","0.018450184501845","-0.00363636363636364","0.00639641800591669"
"FNMA","1996-02-16","34","34.125","33.625","33.875","2585700","25.789391","NONE","0","0.0148698884758364","-0.00367647058823529","0.0271311670771431"
"FNMA","1996-02-20","33.125","33.375","32.625","33","3376300","25.12324","DOWN","-0.00743494423791822","0.0229885057471264","-0.00377358490566038","0.305758595351356"
"FNMA","1996-02-21","32.75","33.625","32.5","32.625","4441000","24.837749","NONE","0","0.0346153846153846","-0.00381679389312977","0.315345200367266"
"FNMA","1996-02-22","33.125","33.5","32.875","33.25","5077200","25.313574","NONE","0","0.0190114068441065","0.00377358490566038","0.143256023418149"
"FNMA","1996-02-23","34","34.25","33.375","33.875","4163600","25.789391","NONE","0","0.0262172284644195","-0.00367647058823529","-0.179941700149689"
"FNMA","1996-02-26","33.625","34.25","33.625","33.75","2676500","25.694227","NONE","0","0.0185873605947955","0.00371747211895911","-0.357166874819867"
"FNMA","1996-02-27","33.625","33.75","32.125","32.5","3463900","24.742586","NONE","0","0.0505836575875486","-0.033457249070632","0.294190173734355"
"FNMA","1996-02-28","33","33.125","32","32","3571000","24.361929","NONE","0","0.03515625","-0.0303030303030303","0.0309189064349433"
"FNMA","1996-02-29","32","33","31.625","31.625","3427500","24.076435","NONE","0","0.0434782608695652","-0.01171875","-0.0401848221786614"
"FNMA","1996-03-01","32.25","33.375","31.625","32.75","3190900","24.932915","NONE","0","0.0553359683794466","0.0155038759689922","-0.0690299051787017"
"FNMA","1996-03-04","33.25","34.5","33.125","34.125","2902800","25.979712","NONE","0","0.0415094339622641","0.0263157894736842","-0.0902880065185371"
"FNMA","1996-03-05","33.875","35.25","33.875","35","2763100","26.645863","NONE","0","0.040590405904059","0.033210332103321","-0.0481259473611685"
"FNMA","1996-03-06","35","35","32.625","32.875","2599300","25.028074","NONE","0","0.0727969348659004","-0.0607142857142857","-0.0592812420831675"
"FNMA","1996-03-07","32.875","33.75","32.75","33.75","2210100","25.694227","NONE","0","0.0305343511450382","0.026615969581749","-0.149732620320856"
"FNMA","1996-03-08","31.75","32.5","28.75","31","7960500","23.600618","DOWN","-0.00763358778625954","0.130434782608696","-0.0236220472440945","2.60187321840641"
"FNMA","1996-03-11","30.5","31.875","30.5","30.875","6898600","23.505449","NONE","0","0.0450819672131148","0.0122950819672131","-0.133396143458325"
"FNMA","1996-03-12","30.5","30.75","30.125","30.125","3823600","22.934477","NONE","0","0.020746887966805","-0.0122950819672131","-0.44574261444351"
"FNMA","1996-03-13","30.5","31.375","30.5","30.75","3525500","23.410292","NONE","0","0.0286885245901639","0.00819672131147541","-0.0779631760644419"
"FNMA","1996-03-14","31","31.75","30.875","31.25","3932400","23.790951","NONE","0","0.0283400809716599","0.00806451612903226","0.115416253013757"
"FNMA","1996-03-15","30.125","31.875","30.125","31.375","4148400","23.886112","NONE","0","0.0580912863070539","0.04149377593361","0.0549282880683552"
"FNMA","1996-03-18","31.5","32.5","31.5","32.5","3344800","24.742586","NONE","0","0.0317460317460317","0.0317460317460317","-0.19371323883907"
"FNMA","1996-03-19","32.875","33","31.25","31.875","3170600","24.266771","NONE","0","0.056","-0.0304182509505703","-0.0520808419038508"
"FNMA","1996-03-20","32.5","33.5","32","33.25","3155300","25.313574","NONE","0","0.046875","0.0230769230769231","-0.00482558506276415"
"FNMA","1996-03-21","33.25","33.375","32.125","32.125","2338200","24.457094","NONE","0","0.0389105058365759","-0.0338345864661654","-0.258961113047888"
"FNMA","1996-03-22","32.625","33.125","32.5","32.75","1871200","24.932915","NONE","0","0.0192307692307692","0.00383141762452107","-0.199726285176632"
"FNMA","1996-03-25","33","33.25","32","32.25","2320100","24.552254","NONE","0","0.0390625","-0.0227272727272727","0.239899529713553"
"FNMA","1996-03-26","32","32.875","31.875","32.75","1727200","24.932915","NONE","0","0.0313725490196078","0.0234375","-0.255549329770269"
"FNMA","1996-03-27","32.75","32.75","31.625","31.75","2087900","24.171606","NONE","0","0.0355731225296443","-0.0305343511450382","0.208835108846688"
"FNMA","1996-03-28","31.625","32.25","31.625","32.125","2217200","24.457094","NONE","0","0.0197628458498024","0.0158102766798419","0.0619282532688347"
"FNMA","1996-03-29","32.25","33","31.875","31.875","2643500","24.266771","NONE","0","0.0352941176470588","-0.0116279069767442","0.192269529135847"
"FNMA","1996-04-01","32.375","34.125","32.25","33.625","3166200","25.599058","NONE","0","0.0581395348837209","0.0386100386100386","0.19773028182334"
"FNMA","1996-04-02","33.875","34.25","33.375","34","2906300","25.884554","NONE","0","0.0262172284644195","0.003690036900369","-0.0820857810624724"
"FNMA","1996-04-03","33.5","34.5","33.375","34.375","2088500","26.170046","NONE","0","0.0337078651685393","0.0261194029850746","-0.281388707291057"
"FNMA","1996-04-04","33.875","34.25","33.75","33.875","1650500","25.789391","NONE","0","0.0148148148148148","0","-0.20971989466124"
"FNMA","1996-04-08","32.375","33","31.5","32.875","4809900","25.028074","DOWN","-0.0222222222222222","0.0476190476190476","0.0154440154440154","1.91420781581339"
"FNMA","1996-04-09","32.5","32.625","30.375","31","7457700","23.600618","NONE","0","0.0740740740740741","-0.0461538461538462","0.550489615168715"
"FNMA","1996-04-10","30.625","31.375","29.625","29.875","5864600","22.744146","NONE","0","0.0590717299578059","-0.0244897959183673","-0.213618139640908"
"FNMA","1996-04-11","30","30.5","28.5","29.375","5093500","22.363499","NONE","0","0.0701754385964912","-0.0208333333333333","-0.131483818163217"
"FNMA","1996-04-12","30.25","30.875","30.125","30.625","3775500","23.315126","NONE","0","0.024896265560166","0.012396694214876","-0.258761166192206"
"FNMA","1996-04-15","30.75","31.5","30.5","30.875","3022600","23.505449","NONE","0","0.0327868852459016","0.0040650406504065","-0.199417295722421"
"FNMA","1996-04-16","31","31.125","30.5","30.625","2738000","23.315126","NONE","0","0.0204918032786885","-0.0120967741935484","-0.0941573479785615"
"FNMA","1996-04-17","30.25","31","29.75","31","3176200","23.600618","NONE","0","0.0420168067226891","0.0247933884297521","0.160043827611395"
"FNMA","1996-04-18","31.375","31.5","30.875","31.375","2437700","23.886112","NONE","0","0.0202429149797571","0","-0.232510547194761"
"FNMA","1996-04-19","31.625","31.75","30.875","31","2689100","23.600618","NONE","0","0.0283400809716599","-0.0197628458498024","0.103129999589777"
"FNMA","1996-04-22","31.5","31.5","30.875","31.25","2455400","23.790951","NONE","0","0.0202429149797571","-0.00793650793650794","-0.0869063999107508"
"FNMA","1996-04-23","31","31.25","30.75","31","1516800","23.600618","NONE","0","0.016260162601626","0","-0.382259509652195"
"FNMA","1996-04-24","31","31.25","30.5","30.5","2375500","23.219969","NONE","0","0.0245901639344262","-0.0161290322580645","0.566126054852321"
"FNMA","1996-04-25","30.5","30.875","29.875","30.625","2664800","23.315126","NONE","0","0.0334728033472803","0.00409836065573771","0.121784887392128"
"FNMA","1996-04-26","30.375","30.5","30","30.25","2032000","23.173407","NONE","0","0.0166666666666667","-0.00411522633744856","-0.237466226358451"
"FNMA","1996-04-29","30","31.125","30","31.125","1988400","23.84371","NONE","0","0.0375","0.0375","-0.0214566929133858"
"FNMA","1996-04-30","31","31.125","30.5","30.625","1844800","23.460682","NONE","0","0.0204918032786885","-0.0120967741935484","-0.072218869442768"
"FNMA","1996-05-01","30.5","30.9375","30.5","30.625","2138400","23.460682","NONE","0","0.014344262295082","0.00409836065573771","0.159150043365134"
"FNMA","1996-05-02","30.125","30.25","29.25","29.625","5005000","22.694611","DOWN","-0.00819672131147541","0.0341880341880342","-0.016597510373444","1.34053497942387"
"FNMA","1996-05-03","29.875","29.875","29","29","5984100","22.215828","NONE","0","0.0301724137931034","-0.0292887029288703","0.195624375624376"
"FNMA","1996-05-06","29.25","29.375","27.75","28","7121400","21.449768","NONE","0","0.0585585585585586","-0.0427350427350427","0.190053642151702"
"FNMA","1996-05-07","28.25","28.75","27.5","28.25","4793000","21.641279","NONE","0","0.0454545454545455","0","-0.326958182379869"
"FNMA","1996-05-08","28","29.875","28","29.875","6766800","22.886127","NONE","0","0.0669642857142857","0.0669642857142857","0.411808887961611"
"FNMA","1996-05-09","29.75","30.375","29.625","30.125","2811700","23.077646","NONE","0","0.0253164556962025","0.0126050420168067","-0.584486019979902"
"FNMA","1996-05-10","30.875","31.75","30.75","31.625","4624600","24.226742","UP","0.0123456790123457","0.032520325203252","0.0242914979757085","0.644770067930434"
"FNMA","1996-05-13","31.75","32","31.375","31.5","2675300","24.130985","NONE","0","0.0199203187250996","-0.0078740157480315","-0.421506724905938"
"FNMA","1996-05-14","31.75","31.875","31.5","31.75","3623800","24.322502","NONE","0","0.0119047619047619","0","0.354539677793145"
"FNMA","1996-05-15","31.75","32","31.625","31.75","4800500","24.322502","NONE","0","0.0118577075098814","0","0.32471438821127"
"FNMA","1996-05-16","31.375","31.75","31.375","31.75","3657100","24.322502","NONE","0","0.0119521912350598","0.0119521912350598","-0.238183522549734"
"FNMA","1996-05-17","31.875","32.125","31.625","31.875","2344200","24.418261","NONE","0","0.0158102766798419","0","-0.359000300784775"
"FNMA","1996-05-20","32.125","32.375","31.875","32.125","1702800","24.609776","NONE","0","0.0156862745098039","0","-0.273611466598413"
"FNMA","1996-05-21","32.25","32.5","32","32.125","1618500","24.609776","NONE","0","0.015625","-0.00387596899224806","-0.0495066948555321"
"FNMA","1996-05-22","32","32.75","32","32.5","1969400","24.897051","NONE","0","0.0234375","0.015625","0.216805684275564"
"FNMA","1996-05-23","32.625","32.875","31.875","32.375","3337000","24.801291","NONE","0","0.0313725490196078","-0.00766283524904215","0.694424697877526"
