"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"FOSL","2012-04-04","134.070007","135.320007","131.919998","133.729996","1359500","133.729996","NONE","0","0.0257732644901951","-0.00253607057691885","0"
"FOSL","2012-04-05","133.130005","139.199997","132.979996","138.070007","1162100","138.070007","NONE","0","0.0467739598969457","0.0371066011752947","-0.145200441338727"
"FOSL","2012-04-09","135.770004","138.860001","135","138.300003","825600","138.300003","NONE","0","0.0285926000000001","0.0186344474144672","-0.289561999827898"
"FOSL","2012-04-10","137.520004","137.899994","133.729996","134.160004","1225600","134.160004","NONE","0","0.0311822188344341","-0.0244328090624548","0.484496124031008"
"FOSL","2012-04-11","135.389999","136.830002","132.339996","133.020004","1305800","133.020004","NONE","0","0.0339278081888411","-0.0175049487961071","0.0654373368146214"
"FOSL","2012-04-12","133.800003","134.949997","132.5","133","692200","133","NONE","0","0.0184905433962264","-0.00597909553111149","-0.469903507428396"
"FOSL","2012-04-13","133.300003","133.380005","129.539993","130.449997","863400","130.449997","NONE","0","0.029643447641687","-0.0213803896163454","0.247327362034094"
"FOSL","2012-04-16","131.800003","132.059998","126","127.449997","964800","127.449997","NONE","0","0.0480952222222223","-0.0330045971243264","0.117442668519805"
"FOSL","2012-04-17","128.149994","130.699997","128.149994","130","475400","130","NONE","0","0.0198985807209636","0.0144362550652949","-0.507255389718076"
"FOSL","2012-04-18","129.820007","133.75","128.660004","132.649994","876100","132.649994","NONE","0","0.0395616029982403","0.0217993132599353","0.842869162810265"
"FOSL","2012-04-19","132.039993","132.929993","128.880005","129.919998","852400","129.919998","NONE","0","0.0314244866765794","-0.0160557036685091","-0.0270517064262071"
"FOSL","2012-04-20","130.910004","131.759995","128.380005","128.440002","820200","128.440002","NONE","0","0.0263280095681566","-0.0188679392294572","-0.0377756921633036"
"FOSL","2012-04-23","126.919998","126.919998","123.660004","125.550003","913200","125.550003","DOWN","-0.0113725420091704","0.0263625577757543","-0.0107941618467407","0.113386978785662"
"FOSL","2012-04-24","126.029999","126.970001","124.43","126.080002","1095100","126.080002","NONE","0","0.0204130916981435","0.000396754744082713","0.199189662724485"
"FOSL","2012-04-25","127.379997","129.479996","126.970001","129.050003","496800","129.050003","NONE","0","0.0197684097049035","0.0131104258072796","-0.546342799744316"
"FOSL","2012-04-26","128.740005","132.5","128.630005","132.169998","523700","132.169998","NONE","0","0.0300862539809432","0.0266427906383878","0.05414653784219"
"FOSL","2012-04-27","132.149994","133.699997","131.070007","132","598600","132","NONE","0","0.0200655364274146","-0.00113502842837808","0.143020813442811"
"FOSL","2012-04-30","131.839996","132.610001","130","130.669998","441500","130.669998","NONE","0","0.0200769307692309","-0.00887437830322766","-0.262445706648847"
"FOSL","2012-05-01","130.550003","135.880005","130.479996","133.75","528000","133.75","NONE","0","0.0413857232184465","0.0245116578051706","0.195922989807475"
