"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"GD","1996-01-02","14.75","15.0625","14.6875","15.0625","1006800","8.691605","NONE","0","0.025531914893617","0.0211864406779661","0"
"GD","1996-01-03","14.9375","15.28125","14.9375","15.125","745200","8.727672","NONE","0","0.0230125523012552","0.0125523012552301","-0.259833134684148"
"GD","1996-01-04","15.1875","15.3125","14.71875","14.84375","844000","8.565376","NONE","0","0.0403397027600849","-0.0226337448559671","0.132581857219538"
"GD","1996-01-05","14.8125","14.90625","14.71875","14.90625","272400","8.601446","NONE","0","0.0127388535031847","0.00632911392405063","-0.677251184834123"
"GD","1996-01-08","14.90625","15.1875","14.875","15.15625","397200","8.745701","NONE","0","0.0210084033613445","0.0167714884696017","0.458149779735683"
"GD","1996-01-09","15.15625","15.25","15.09375","15.09375","535600","8.709635","NONE","0","0.010351966873706","-0.00412371134020619","0.348439073514602"
"GD","1996-01-10","15.0625","15.09375","14.75","14.75","587600","8.511279","NONE","0","0.0233050847457627","-0.020746887966805","0.0970873786407767"
"GD","1996-01-11","14.75","14.78125","14.5","14.6875","712000","8.475219","NONE","0","0.0193965517241379","-0.00423728813559322","0.211708645336964"
"GD","1996-01-12","14.65625","15","14.5625","14.9375","513600","8.619471","NONE","0","0.0300429184549356","0.0191897654584222","-0.278651685393258"
"GD","1996-01-15","14.9375","15.15625","14.875","14.96875","296000","8.637505","NONE","0","0.0189075630252101","0.00209205020920502","-0.423676012461059"
"GD","1996-01-16","14.9375","15.125","14.9375","14.9375","665600","8.619471","NONE","0","0.0125523012552301","0","1.24864864864865"
"GD","1996-01-17","14.84375","14.96875","14.75","14.8125","4167200","8.601332","NONE","0","0.0148305084745763","-0.00210526315789474","5.26081730769231"
"GD","1996-01-18","14.75","14.9375","14.75","14.875","264800","8.637617","NONE","0","0.0127118644067797","0.00847457627118644","-0.936456133614897"
"GD","1996-01-19","14.84375","15.03125","14.84375","14.90625","545600","8.65577","NONE","0","0.0126315789473684","0.00421052631578947","1.06042296072508"
"GD","1996-01-22","14.875","14.875","14.65625","14.6875","521600","8.528746","NONE","0","0.0149253731343284","-0.0126050420168067","-0.0439882697947214"
"GD","1996-01-23","14.65625","14.84375","14.65625","14.65625","478400","8.510598","NONE","0","0.0127931769722814","0","-0.0828220858895705"
"GD","1996-01-24","14.6875","14.90625","14.65625","14.6875","252000","8.528746","NONE","0","0.0170575692963753","0","-0.473244147157191"
"GD","1996-01-25","14.625","14.6875","14.59375","14.625","449600","8.492451","NONE","0","0.00642398286937901","0","0.784126984126984"
"GD","1996-01-26","14.59375","14.75","14.59375","14.625","390400","8.492451","NONE","0","0.0107066381156317","0.00214132762312634","-0.131672597864769"
"GD","1996-01-29","14.59375","14.625","14.5625","14.625","399200","8.492451","NONE","0","0.00429184549356223","0.00214132762312634","0.0225409836065574"
"GD","1996-01-30","14.625","14.75","14.53125","14.5625","7e+05","8.456161","NONE","0","0.0150537634408602","-0.00427350427350427","0.753507014028056"
"GD","1996-01-31","14.53125","14.59375","14.40625","14.59375","891200","8.474307","NONE","0","0.0130151843817787","0.0043010752688172","0.273142857142857"
"GD","1996-02-01","14.625","14.8125","14.5625","14.6875","522000","8.528746","NONE","0","0.0171673819742489","0.00427350427350427","-0.41427289048474"
"GD","1996-02-02","14.6875","14.6875","14.5","14.65625","379600","8.510598","NONE","0","0.0129310344827586","-0.00212765957446809","-0.2727969348659"
"GD","1996-02-05","14.625","14.84375","14.59375","14.84375","550400","8.619472","NONE","0","0.0171306209850107","0.014957264957265","0.449947312961012"
"GD","1996-02-06","14.8125","15.0625","14.78125","15.0625","1047200","8.746502","NONE","0","0.0190274841437632","0.0168776371308017","0.902616279069767"
"GD","1996-02-07","15.0625","15.21875","15.0625","15.15625","555200","8.800935","NONE","0","0.0103734439834025","0.00622406639004149","-0.469824293353705"
"GD","1996-02-08","15.09375","15.28125","14.9375","15.28125","381600","8.873525","NONE","0","0.0230125523012552","0.0124223602484472","-0.312680115273775"
"GD","1996-02-09","15.34375","15.59375","15.34375","15.40625","662800","8.946109","UP","0.00408997955010225","0.0162932790224033","0.00407331975560081","0.736897274633124"
"GD","1996-02-12","15.46875","15.65625","15.4375","15.5","275600","9.000546","NONE","0","0.01417004048583","0.00202020202020202","-0.584188292094146"
"GD","1996-02-13","15.4375","15.59375","15.4375","15.53125","1042400","9.018695","NONE","0","0.0101214574898785","0.00607287449392713","2.78229317851959"
"GD","1996-02-14","15.46875","15.53125","15.25","15.5","516000","9.000546","NONE","0","0.0184426229508197","0.00202020202020202","-0.504988488104374"
"GD","1996-02-15","15.46875","15.59375","15.40625","15.53125","543600","9.018695","NONE","0","0.0121703853955375","0.00404040404040404","0.0534883720930233"
"GD","1996-02-16","15.46875","15.53125","15.40625","15.46875","558400","8.982404","NONE","0","0.00811359026369168","0","0.0272259013980868"
"GD","1996-02-20","15.40625","15.46875","15.34375","15.4375","332400","8.964255","NONE","0","0.00814663951120163","0.00202839756592292","-0.404727793696275"
"GD","1996-02-21","15.4375","15.53125","15.40625","15.5","454800","9.000546","NONE","0","0.00811359026369168","0.00404858299595142","0.368231046931408"
"GD","1996-02-22","15.53125","15.6875","15.46875","15.625","333200","9.073133","NONE","0","0.0141414141414141","0.00603621730382294","-0.267370272647317"
"GD","1996-02-23","15.6875","15.71875","15.25","15.65625","545600","9.091278","NONE","0","0.0307377049180328","-0.00199203187250996","0.637454981992797"
"GD","1996-02-26","15.6875","15.6875","15.28125","15.3125","313600","8.891674","NONE","0","0.0265848670756646","-0.0239043824701195","-0.425219941348974"
"GD","1996-02-27","15.3125","15.4375","14.875","14.90625","519600","8.65577","NONE","0","0.0378151260504202","-0.026530612244898","0.656887755102041"
"GD","1996-02-28","14.9375","15.34375","14.9375","14.9375","812800","8.673915","NONE","0","0.0271966527196653","0","0.564280215550423"
"GD","1996-02-29","15","15.1875","14.90625","14.90625","507200","8.65577","NONE","0","0.0188679245283019","-0.00625","-0.375984251968504"
"GD","1996-03-01","15","15","14.625","14.84375","487200","8.619472","NONE","0","0.0256410256410256","-0.0104166666666667","-0.0394321766561514"
"GD","1996-03-04","14.875","15.40625","14.875","15.1875","282800","8.819088","NONE","0","0.0357142857142857","0.0210084033613445","-0.419540229885057"
"GD","1996-03-05","15.125","15.375","15.03125","15.375","397200","8.927961","NONE","0","0.0228690228690229","0.0165289256198347","0.404526166902405"
"GD","1996-03-06","15.3125","15.375","15.15625","15.21875","528000","8.837231","NONE","0","0.0144329896907217","-0.00612244897959184","0.329305135951662"
"GD","1996-03-07","15.25","15.375","15.1875","15.375","386400","8.927961","NONE","0","0.0123456790123457","0.00819672131147541","-0.268181818181818"
"GD","1996-03-08","15.375","15.375","15","15.03125","515600","8.728349","NONE","0","0.025","-0.0223577235772358","0.334368530020704"
"GD","1996-03-11","14.9375","15.375","14.84375","15.21875","557200","8.837231","NONE","0","0.0357894736842105","0.0188284518828452","0.0806826997672614"
"GD","1996-03-12","15.15625","15.15625","14.78125","15.09375","268000","8.764645","NONE","0","0.025369978858351","-0.00412371134020619","-0.519023689877961"
"GD","1996-03-13","15.0625","15.09375","14.9375","15.0625","216400","8.746502","NONE","0","0.0104602510460251","0","-0.192537313432836"
"GD","1996-03-14","15.0625","15.09375","14.84375","14.84375","421200","8.619472","NONE","0","0.0168421052631579","-0.0145228215767635","0.946395563770795"
"GD","1996-03-15","14.6875","14.8125","14.65625","14.8125","989600","8.601332","DOWN","-0.00210526315789474","0.0106609808102345","0.00851063829787234","1.34947768281102"
"GD","1996-03-18","14.75","14.9375","14.71875","14.8125","484400","8.601332","NONE","0","0.0148619957537155","0.00423728813559322","-0.510509296685529"
"GD","1996-03-19","15","15.125","14.96875","15.0625","425200","8.746502","UP","0.00209205020920502","0.0104384133611691","0.00416666666666667","-0.122213047068538"
