"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"HRL","2009-03-04","7.7525","7.7675","7.505","7.61","6680400","5.866058","NONE","0","0.0349766822118588","-0.018381167365366","0.038807762684917","0","3","NA"
"HRL","2009-03-05","7.5275","7.535","7.315","7.35","4253200","5.665641","NONE","0","0.0300751879699248","-0.0235802059116573","-0.0127336733628037","-0.363331537033711","4","NA"
"HRL","2009-03-06","7.5","7.67","7.465","7.59","6258000","5.850639","NONE","0","0.0274614869390489","0.012","-0.0129648164160371","0.471362738643845","5","NA"
"HRL","2009-03-09","7.56","7.7225","7.5025","7.545","4194400","5.815952","NONE","0","0.0293235588137287","-0.00198412698412694","-0.00422948858944348","-0.329753914988814","1","NA"
"HRL","2009-03-10","7.615","7.7125","7.5925","7.6625","3062400","5.906525","NONE","0","0.0158050707935463","0.00623768877216014","0.0531191968694756","-0.269883654396338","2","NA"
"HRL","2009-03-11","7.7075","7.7075","7.5375","7.5425","1952000","5.814025","NONE","0","0.0225538971807628","-0.0214077197534868","0.0238673953098297","-0.362591431556949","3","NA"
"HRL","2009-03-12","7.525","7.6475","7.4825","7.6225","3228400","5.875693","NONE","0","0.0220514533912462","0.0129568106312291","0.0284503033235953","0.653893442622951","4","NA"
"HRL","2009-03-13","7.6675","7.69","7.525","7.6225","2903200","5.875693","NONE","0","0.0219269102990033","-0.00586892729051201","0.0119596186433985","-0.100731012266138","5","NA"
"HRL","2009-03-16","7.7125","7.765","7.5725","7.59","3511600","5.850639","NONE","0","0.0254209310003301","-0.0158833063209077","0.00936017651241642","0.209561862772114","1","NA"
"HRL","2009-03-17","7.6425","7.765","7.5925","7.7525","2172400","5.975902","NONE","0","0.0227197892657227","0.0143931959437357","0.0177604489854729","-0.381364620116186","2","NA"
"HRL","2009-03-18","7.67","7.81","7.6375","7.725","2306000","5.954704","NONE","0","0.0225859247135842","0.00717079530638849","0.0164628766355495","0.0614988031670042","3","NA"
