"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"IAC","2006-12-01","6.89501","6.929229","6.805662","6.832277","26649862","6.335737","NONE","0","0.0181564996909927","-0.00909831892919658","0.00629954695800783","0","5","NA"
"IAC","2006-12-04","6.881703","6.990062","6.841782","6.967249","21215945","6.4609","NONE","0","0.021672716260179","0.0124309346102266","-0.00351691010351918","-0.203900380422233","1","NA"
"IAC","2006-12-05","6.952041","7.064201","6.881703","7.033785","17464281","6.5226","NONE","0","0.0265193077934342","0.0117582735775004","-0.00774150110116621","-0.176832283454732","2","NA"
"IAC","2006-12-06","7.048993","7.048993","6.906417","6.955843","21133884","6.450323","NONE","0","0.0206439894955662","-0.0132146534973152","0.0121541331533195","0.210120473897551","3","NA"
"IAC","2006-12-07","6.946338","7.014775","6.828475","6.868396","18178633","6.369231","NONE","0","0.0272828120480781","-0.0112205884597035","0.00727826858431966","-0.139834731751154","4","NA"
"IAC","2006-12-08","6.796157","6.896911","6.746731","6.803761","16334889","6.309294","NONE","0","0.022259669164222","0.00111886761886162","0.000707324912405461","-0.101423687908766","5","NA"
"IAC","2006-12-11","6.815167","6.984358","6.779048","6.877901","10999867","6.378045","NONE","0","0.0302859634568157","0.00920505689735847","-0.00691398230941636","-0.326602892740808","1","NA"
"IAC","2006-12-12","6.904516","6.953942","6.836079","6.927328","10681091","6.42388","NONE","0","0.0172413162574628","0.00330392456183751","-0.00432299108696142","-0.0289799867580217","2","NA"
"IAC","2006-12-13","6.980556","7.052795","6.940635","7.012874","16531625","6.50321","NONE","0","0.0161599046773097","0.00462971717439128","-0.00329053465567419","0.547746854698645","3","NA"
"IAC","2006-12-14","7.047092","7.166857","7.04329","7.140242","19649420","6.62132","NONE","0","0.0175439318841054","0.0132182182381044","-0.00449312291744234","0.188595797448829","4","NA"
"IAC","2006-12-15","7.138341","7.311334","7.138341","7.309433","37579240","6.778215","NONE","0","0.0242343424053293","0.0239680340291954","-0.0228385997175329","0.912485966506899","5","NA"
"IAC","2006-12-18","7.311334","7.349355","7.204877","7.223887","25625150","6.698886","NONE","0","0.020052805898005","-0.0119604712354818","0.0087371227603947","-0.318103559305617","1","NA"
"IAC","2006-12-19","7.225788","7.242898","6.893109","6.936833","39506624","6.432694","NONE","0","0.0507447365187465","-0.0399894101515294","0.0421898888450088","0.541712887534317","2","NA"
"IAC","2006-12-20","6.908318","7.020478","6.870297","6.927328","25989691","6.42388","NONE","0","0.0218594625530745","0.00275175520293069","-0.00414071844142801","-0.342143459284195","3","NA"
"IAC","2006-12-21","6.938734","7.132638","6.938734","6.990062","26185901","6.482055","NONE","0","0.0279451554130768","0.00739731484158347","-0.0108401915761964","0.00754953185091735","4","NA"
"IAC","2006-12-22","6.991963","7.029983","6.959645","6.976754","9363380","6.469714","NONE","0","0.0101065499748909","-0.00217521173953587","-0.0030007040098626","-0.642426663111573","5","NA"
"IAC","2006-12-26","6.978655","7.064201","6.974853","7.009072","7818422","6.499684","NONE","0","0.0128100190785382","0.00435857625860569","8.24060373596711e-07","-0.165000032039712","2","NA"
"IAC","2006-12-27","7.056597","7.126935","7.037587","7.087014","8737401","6.57196","NONE","0","0.0126958288401975","0.00431043461883964","0.00289678318959582","0.117540214636662","3","NA"
"IAC","2006-12-28","7.075608","7.130737","6.999567","7.071806","9706353","6.557858","NONE","0","0.0187397306147652","-0.000537338982035227","-0.000892492014834093","0.110897050507353","4","NA"
"IAC","2006-12-29","7.058498","7.183966","7.04329","7.064201","8516993","6.550806","NONE","0","0.0199730523661528","0.000807962260526187","-0.00530706184954077","-0.122534179418367","5","NA"
"IAC","2007-01-03","7.081311","7.22959","7.04329","7.138341","19738846","6.619557","NONE","0","0.026450706984946","0.00805359346595556","-0.0090620721093934","1.31758391723464","3","NA"
"IAC","2007-01-04","7.138341","7.227689","7.075608","7.204877","18225450","6.681257","NONE","0","0.0214937006120181","0.00932093325325873","-0.00809264719545914","-0.0766709462143836","4","NA"
"IAC","2007-01-05","7.185867","7.202976","7.087014","7.134539","12717889","6.616031","NONE","0","0.0163626034885778","-0.0071429098256341","0.00105832840871309","-0.30219067293263","5","NA"
"IAC","2007-01-08","7.119331","7.147846","7.054696","7.109826","12863074","6.593115","NONE","0","0.0132039708018603","-0.00133509735676005","0.0038754064371263","0.0114158096520578","1","NA"
"IAC","2007-01-09","7.11743","7.166857","7.009072","7.130737","17561597","6.612506","NONE","0","0.0225115393307417","0.00186963552855457","-0.00238631188084284","0.365272173665486","2","NA"
"IAC","2007-01-10","7.087014","7.362662","7.045191","7.28472","20523161","6.755299","NONE","0","0.0450620856127251","0.0278969393880131","-0.0235311942230231","0.1686386494349","3","NA"
"IAC","2007-01-11","7.298027","7.315136","7.15355","7.193471","25857131","6.67068","NONE","0","0.0225882254265364","-0.0143266118363224","0.0206736052884427","0.259900022223672","4","NA"
"IAC","2007-01-12","7.187768","7.250502","7.144044","7.193471","11663720","6.67068","NONE","0","0.0149016439428424","0.000793431284927333","0.00405973432734876","-0.548916699226995","5","NA"
"IAC","2007-01-16","7.212481","7.239096","7.17256","7.223887","12915152","6.698886","NONE","0","0.00927646474898783","0.00158142530982058","-0.000763630186802353","0.107292699070279","2","NA"
"IAC","2007-01-17","7.221986","7.311334","7.187768","7.261908","11956720","6.734144","NONE","0","0.0171911502986741","0.00552784234142794","-0.00633106142265993","-0.074209889283533","3","NA"
"IAC","2007-01-18","7.299928","7.375969","7.258106","7.326543","13776793","6.794083","NONE","0","0.016238809408405","0.00364592637078059","-0.00659573805707337","0.152221763159127","4","NA"
"IAC","2007-01-19","7.318939","7.438703","7.280918","7.427297","15094504","6.887513","NONE","0","0.0216710310430636","0.0148051514024096","-0.0118956102169859","0.0956471509733797","5","NA"
"IAC","2007-01-22","7.425396","7.433","7.355058","7.389276","13746809","6.852255","NONE","0","0.0105970612332357","-0.00486438703067155","-0.000392640486475774","-0.0892838214491844","1","NA"
"IAC","2007-01-23","7.391177","7.490031","7.37787","7.436802","10652159","6.896327","NONE","0","0.0152023551512836","0.00617290047309113","-0.00263093541911434","-0.225117698223639","2","NA"
"IAC","2007-01-24","7.465317","7.505239","7.427297","7.448208","11520639","6.906906","NONE","0","0.0104939926328515","-0.00229179819155698","0.0108144769307265","0.0815308896534496","3","NA"
"IAC","2007-01-25","7.41399","7.438703","7.223887","7.254304","18422186","6.727092","NONE","0","0.0297368992621285","-0.0215384698387777","0.0102755396271879","0.599059392452103","4","NA"
"IAC","2007-01-26","7.254304","7.267611","7.111727","7.174461","13643707","6.653052","NONE","0","0.0219192890840719","-0.0110062936430566","0.00979836473582312","-0.259387186732345","5","NA"
