"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"IGT","2001-09-04","13.38","13.725","13.38","13.525","3746400","8.501699","NONE","0","0.0257847533632286","0.0108370702541106","0"
"IGT","2001-09-05","13.525","13.65","13.415","13.5375","3530400","8.509554","NONE","0","0.0175177040626166","0.000924214417744864","-0.0576553491351698"
"IGT","2001-09-06","13.4375","13.65","13.4025","13.5375","2572400","8.509554","NONE","0","0.0184667039731394","0.00744186046511625","-0.271357353274417"
"IGT","2001-09-07","13.425","13.53","13.1175","13.1825","4374400","8.286404","NONE","0","0.0314465408805031","-0.0180633147113595","0.700513139480641"
"IGT","2001-09-10","13","13.06","12.69","12.82","4252800","8.05854","DOWN","-0.00438345721364583","0.029156816390859","-0.0138461538461538","-0.027798098024872"
"IGT","2001-09-17","11.8125","11.8125","10.59","10.705","11725600","6.729068","DOWN","-0.0691489361702127","0.115439093484419","-0.0937566137566137","1.7571482317532"
"IGT","2001-09-18","10.5","10.775","10.5","10.7625","7754800","6.765215","NONE","0","0.0261904761904762","0.0249999999999999","-0.338643651497578"
"IGT","2001-09-19","10.7625","10.8","9.75","10.425","10126400","6.553066","NONE","0","0.107692307692308","-0.0313588850174215","0.305823489967504"
"IGT","2001-09-20","10.25","10.2525","9.45","9.725","6428400","6.11305","NONE","0","0.084920634920635","-0.051219512195122","-0.36518407331332"
"IGT","2001-09-21","9.425","10.25","8.925","9.7625","12931200","6.136623","NONE","0","0.148459383753501","0.0358090185676391","1.01157364196379"
"IGT","2001-09-24","10.0625","10.0975","9.9225","9.975","8264400","6.270198","NONE","0","0.017636684303351","-0.00869565217391308","-0.360894580549369"
"IGT","2001-09-25","10.05","10.5875","10.0425","10.57","5138400","6.644209","NONE","0","0.054269355240229","0.0517412935323383","-0.378248874691448"
"IGT","2001-09-26","10.6625","10.67","10.2475","10.3625","4275600","6.513779","NONE","0","0.0412295681873627","-0.0281359906213364","-0.167912190565156"
"IGT","2001-09-27","10.375","10.375","9.775","10.125","8323200","6.364486","NONE","0","0.0613810741687979","-0.0240963855421687","0.946674150996351"
"IGT","2001-09-28","10.15","10.625","10.075","10.625","3976000","6.678786","NONE","0","0.054590570719603","0.0467980295566502","-0.522299115724721"
"IGT","2001-10-01","10.6125","10.6125","10.2125","10.275","3131600","6.458776","NONE","0","0.0391676866585068","-0.0318021201413428","-0.212374245472837"
"IGT","2001-10-02","10.3125","10.9","10.3125","10.9","3388000","6.851647","NONE","0","0.056969696969697","0.056969696969697","0.0818750798313961"
"IGT","2001-10-03","10.775","10.995","10.6","10.975","4352400","6.89879","NONE","0","0.0372641509433962","0.0185614849187934","0.284651711924439"
"IGT","2001-10-04","11.1","11.56","11.0125","11.4425","6101200","7.192659","UP","0.00159163256025467","0.0497162315550512","0.030855855855856","0.401801305027111"
"IGT","2001-10-05","11.3875","11.5","11.205","11.5","3288800","7.228802","NONE","0","0.0263275323516287","0.00987925356750829","-0.46095849996722"
"IGT","2001-10-08","11.5","11.5","11.34","11.45","3587600","7.197371","NONE","0","0.0141093474426808","-0.00434782608695658","0.0908538068596449"
"IGT","2001-10-09","11.44","11.45","11.0875","11.245","5588400","7.06851","NONE","0","0.032694475760992","-0.0170454545454546","0.557698740104805"
"IGT","2001-10-10","11.2375","11.675","11.185","11.6175","3586400","7.302663","NONE","0","0.0438086723290121","0.0338153503893214","-0.358242072865221"
"IGT","2001-10-11","11.75","12.225","11.75","12","7678000","7.543096","UP","0.00642398286937895","0.0404255319148936","0.0212765957446809","1.14086549185813"
"IGT","2001-10-12","12.0575","12.35","11.85","12.35","6357200","7.763103","NONE","0","0.0421940928270042","0.0242587601078167","-0.172023964574108"
"IGT","2001-10-15","12.2875","12.2875","12.12","12.27","2845600","7.712818","NONE","0","0.0138201320132014","-0.00142421159715158","-0.552381551626502"
"IGT","2001-10-16","12.3625","12.46","12.235","12.4575","3760800","7.830679","NONE","0","0.0183898651409891","0.00768452982810911","0.321619342142255"
"IGT","2001-10-17","12.4575","12.8","12.1625","12.6775","9865200","7.968968","NONE","0","0.0524152106885921","0.0176600441501104","1.62316528398213"
"IGT","2001-10-18","12.6","12.7225","12.4325","12.525","4303600","7.873106","NONE","0","0.0233259601849991","-0.0059523809523809","-0.563759477760208"
"IGT","2001-10-19","12.5","12.5125","12.14","12.3675","3988000","7.774103","NONE","0","0.0306836902800658","-0.0106","-0.0733339529696068"
"IGT","2001-10-22","12.25","12.3525","12.145","12.21","3690800","7.6751","NONE","0","0.017085220255249","-0.00326530612244891","-0.0745235707121364"
"IGT","2001-10-23","12.21","12.3275","12.0125","12.0275","3050000","7.560383","NONE","0","0.026222684703434","-0.014946764946765","-0.173620895198873"
"IGT","2001-10-24","12.05","12.6425","12.05","12.3825","4216800","7.783533","NONE","0","0.0491701244813277","0.0275933609958506","0.38255737704918"
"IGT","2001-10-25","12.2625","12.7175","12.25","12.625","5773200","7.935966","NONE","0","0.0381632653061224","0.0295616717635067","0.369095048377917"
"IGT","2001-10-26","12.625","13.1325","12.475","13.0925","4680400","8.229835","NONE","0","0.0527054108216433","0.037029702970297","-0.189288436222546"
"IGT","2001-10-29","13.28","13.375","12.635","12.675","6396000","7.967394","NONE","0","0.0585674713098536","-0.0455572289156626","0.36654986753269"
"IGT","2001-10-30","12.625","12.75","12.36","12.3875","3488800","7.786677","NONE","0","0.0315533980582525","-0.0188118811881189","-0.454534083802376"
"IGT","2001-10-31","12.39","12.855","12.39","12.7625","3159600","8.022397","NONE","0","0.0375302663438257","0.0300645682001613","-0.0943590919513873"
"IGT","2001-11-01","12.7375","12.9875","12.65","12.91","3894400","8.115113","NONE","0","0.0266798418972332","0.0135426889106967","0.232561083681479"
"IGT","2001-11-02","12.96","12.9675","12.77","12.9","2168800","8.108828","NONE","0","0.0154659357870008","-0.00462962962962967","-0.443097781429745"
"IGT","2001-11-05","12.9","13.5","12.9","13.4125","5468000","8.430984","NONE","0","0.0465116279069767","0.0397286821705426","1.52120988565105"
"IGT","2001-11-06","13.35","13.9","13.05","13.8125","7924000","8.682418","NONE","0","0.0651340996168582","0.0346441947565543","0.4491587417703"
"IGT","2001-11-07","14.125","14.9275","14.1075","14.875","9641600","9.350296","UP","0.0149280575539568","0.0581251107566897","0.0530973451327434","0.21675921251893"
"IGT","2001-11-08","14.7875","14.825","14.5975","14.66","7912800","9.215151","NONE","0","0.015584860421305","-0.00862214708368551","-0.179306339196814"
"IGT","2001-11-09","14.6375","14.745","14.4075","14.54","3274400","9.139721","NONE","0","0.023425299323269","-0.0066609735269001","-0.586189465170357"
"IGT","2001-11-12","14.54","14.695","14.0025","14.5125","5053600","9.122432","NONE","0","0.0494554543831459","-0.00189133425034387","0.543366723674566"
"IGT","2001-11-13","14.515","15.5375","14.515","15.5","7689600","9.743162","NONE","0","0.0704443678952807","0.0678608336203926","0.521608358397974"
"IGT","2001-11-14","15.625","15.7125","15.3","15.4625","3979200","9.719596","NONE","0","0.0269607843137255","-0.0104","-0.482521847690387"
"IGT","2001-11-15","15.465","15.905","15.355","15.71","4769600","9.875171","NONE","0","0.035818951481602","0.015842224377627","0.198632891033374"
"IGT","2001-11-16","15.71","15.715","15.3125","15.425","3141200","9.696021","NONE","0","0.0262857142857143","-0.0181413112667091","-0.341412277759141"
"IGT","2001-11-19","15.4","15.6225","15.3725","15.62","2918400","9.818595","NONE","0","0.0162628069604814","0.0142857142857142","-0.0709283076531262"
"IGT","2001-11-20","15.62","15.8375","15.5125","15.725","2736800","9.884601","NONE","0","0.0209508460918615","0.0067221510883483","-0.0622258771929825"
