"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"INTC","1996-01-02","7.171875","7.34375","7.109375","7.328125","62854400","4.388065","NONE","0","0.032967032967033","0.0217864923747277","0"
"INTC","1996-01-03","7.328125","7.421875","7.199219","7.21875","72678400","4.322572","NONE","0","0.0309277992515577","-0.0149253731343284","0.156297729355463"
"INTC","1996-01-04","7.34375","7.359375","7","7.1875","100259200","4.303859","NONE","0","0.0513392857142857","-0.0212765957446809","0.379491017964072"
"INTC","1996-01-05","7.140625","7.34375","7.09375","7.1875","65434400","4.303859","NONE","0","0.0352422907488987","0.00656455142231947","-0.347347674826849"
"INTC","1996-01-08","7.265625","7.296875","7.171875","7.203125","17544000","4.313217","NONE","0","0.0174291938997821","-0.00860215053763441","-0.731884146565109"
"INTC","1996-01-09","7.203125","7.21875","6.84375","6.875","110116800","4.116735","NONE","0","0.0547945205479452","-0.0455531453362256","5.2766073871409"
"INTC","1996-01-10","6.78125","6.875","6.65625","6.765625","137448000","4.051243","NONE","0","0.0328638497652582","-0.00230414746543779","0.248201909245456"
"INTC","1996-01-11","6.976563","7.140625","6.796875","7.109375","83769600","4.257078","NONE","0","0.0505747126436782","0.0190368810544677","-0.390536057272569"
"INTC","1996-01-12","7.140625","7.1875","6.90625","7.078125","70219200","4.238367","NONE","0","0.0407239819004525","-0.0087527352297593","-0.161757964703186"
"INTC","1996-01-15","7.078125","7.09375","6.669922","6.671875","106633600","3.995102","NONE","0","0.0635431718691763","-0.0573951434878587","0.518581812381799"
"INTC","1996-01-16","6.734375","6.984375","6.5","6.96875","150692800","4.172873","NONE","0","0.0745192307692308","0.0348027842227378","0.413183086756895"
"INTC","1996-01-17","6.367188","6.578125","6.226563","6.25","546630400","3.742486","NONE","0","0.056461646658036","-0.018404985057768","2.62744869031566"
"INTC","1996-01-18","6.34375","6.453125","6.28125","6.375","132712000","3.817337","NONE","0","0.027363184079602","0.00492610837438424","-0.757218039830935"
"INTC","1996-01-19","6.421875","6.453125","6.328125","6.421875","128462400","3.845404","NONE","0","0.0197530864197531","0","-0.0320212188799807"
"INTC","1996-01-22","6.421875","6.564453","6.375","6.5","106812800","3.892187","NONE","0","0.0297181176470589","0.0121654501216545","-0.168528690106989"
"INTC","1996-01-23","6.53125","6.609375","6.53125","6.585938","69244800","3.943643","NONE","0","0.0119617224880383","0.00837328229665066","-0.351718146139788"
"INTC","1996-01-24","6.671875","6.875","6.625","6.84375","94037600","4.098022","UP","0.00236406619385343","0.0377358490566038","0.0257611241217799","0.35804565830214"
"INTC","1996-01-25","6.9375","7.109375","6.796875","6.828125","115267200","4.088665","NONE","0","0.0459770114942529","-0.0157657657657658","0.225756505908275"
"INTC","1996-01-26","6.765625","6.875","6.703125","6.875","66812800","4.116735","NONE","0","0.0256410256410256","0.0161662817551963","-0.420365897670803"
"INTC","1996-01-29","6.9375","6.9375","6.78125","6.804688","39158400","4.074632","NONE","0","0.0230414746543779","-0.0191440720720721","-0.41390871210307"
