"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"INTU","2000-12-11","24.5625","26.3125","24.3125","26.28125","10532600","23.705416","NONE","0","0.0822622107969152","0.0699745547073791","0"
"INTU","2000-12-12","26.15625","28.15625","25.4375","25.46875","7883000","22.972553","NONE","0","0.106879606879607","-0.026284348864994","-0.251561817594896"
"INTU","2000-12-13","26.0625","26.1875","24.90625","25.4375","6623200","22.944363","NONE","0","0.0514429109159348","-0.0239808153477218","-0.159812254217937"
"INTU","2000-12-14","25.375","26.09375","24.4375","24.5625","7687000","22.155119","NONE","0","0.0677749360613811","-0.0320197044334975","0.160617224302452"
"INTU","2000-12-15","24.3125","24.4375","22.1875","24.125","10039400","21.7605","NONE","0","0.101408450704225","-0.0077120822622108","0.306023155977625"
"INTU","2000-12-18","23.875","24.4375","22.5","23","4411200","20.745756","NONE","0","0.0861111111111111","-0.0366492146596859","-0.560611191903899"
"INTU","2000-12-19","22.96875","23.375","21","21.3125","6031000","19.223646","NONE","0","0.113095238095238","-0.072108843537415","0.367201668480232"
"INTU","2000-12-20","20.703125","20.90625","19.09375","19.1875","7809600","17.306919","DOWN","-0.00446428571428571","0.0949263502454992","-0.0732075471698113","0.29490963355994"
"INTU","2000-12-21","19.1875","21.84375","19.09375","19.90625","5036800","17.955233","NONE","0","0.144026186579378","0.0374592833876222","-0.355050194632248"
"INTU","2000-12-22","19.75","20.59375","17.25","17.625","14226000","15.897569","NONE","0","0.193840579710145","-0.107594936708861","1.8244123252859"
"INTU","2000-12-26","17.40625","17.90625","16.625","17.46875","8e+06","15.756628","NONE","0","0.0770676691729323","0.00359066427289048","-0.437649374384929"
"INTU","2000-12-27","17.625","19.210938","17.25","18.96875","7964000","17.109615","NONE","0","0.113677565217391","0.076241134751773","-0.0045"
"INTU","2000-12-28","18.5625","21.78125","18.5625","20.5","6797200","18.490788","NONE","0","0.173400673400673","0.104377104377104","-0.146509291813159"
"INTU","2000-12-29","20.40625","21.125","18.90625","19.71875","6368000","17.78611","NONE","0","0.117355371900826","-0.0336906584992343","-0.063143647384217"
"INTU","2001-01-02","19.3125","19.5","17.5","18.125","5681800","16.34856","NONE","0","0.114285714285714","-0.0614886731391586","-0.107757537688442"
"INTU","2001-01-03","18.15625","21.59375","17.71875","19.53125","10223200","17.616983","NONE","0","0.218694885361552","0.0757314974182444","0.799288957724665"
"INTU","2001-01-04","19.65625","21.0625","19.625","20.21875","7462800","18.237108","NONE","0","0.0732484076433121","0.0286168521462639","-0.270013303075358"
"INTU","2001-01-05","20.90625","20.90625","18.03125","18.125","9345200","16.34856","NONE","0","0.159445407279029","-0.133034379671151","0.252237765985957"
"INTU","2001-01-08","18.25","18.28125","15.53125","16.46875","13855600","14.85464","NONE","0","0.177062374245473","-0.0976027397260274","0.482643496126354"
"INTU","2001-01-09","16.9375","17.8125","16.375","17.03125","10011600","15.36201","NONE","0","0.0877862595419847","0.00553505535055351","-0.27743295129767"
"INTU","2001-01-10","17.0625","17.9375","16.5","17.625","7343800","15.897569","NONE","0","0.0871212121212121","0.032967032967033","-0.266470893763235"
"INTU","2001-01-11","17.5625","17.84375","16.90625","17.5","8403800","15.784818","NONE","0","0.055452865064695","-0.00355871886120996","0.144339442795283"
"INTU","2001-01-12","17.46875","17.875","16.84375","17.03125","5076200","15.36201","NONE","0","0.0612244897959184","-0.0250447227191413","-0.395963730693258"
"INTU","2001-01-16","17.3125","17.625","16.46875","17.03125","5743000","15.36201","NONE","0","0.0702087286527514","-0.0162454873646209","0.131358102517631"
"INTU","2001-01-17","17.34375","17.84375","17.25","17.5","7456200","15.784818","NONE","0","0.0344202898550725","0.00900900900900901","0.298310987288873"
"INTU","2001-01-18","17.59375","18.375","17.125","18.21875","7414800","16.433119","NONE","0","0.072992700729927","0.0355239786856128","-0.00555242616882594"
"INTU","2001-01-19","18.96875","19.125","17.65625","18","6850600","16.235817","NONE","0","0.0831858407079646","-0.0510708401976936","-0.0760910611210012"
"INTU","2001-01-22","18.1875","18.28125","17.125","17.5625","6230000","15.841199","NONE","0","0.0675182481751825","-0.0343642611683849","-0.090590605202464"
"INTU","2001-01-23","17.976563","17.976563","16.875","17.75","9439800","16.010317","NONE","0","0.0652778074074073","-0.0126032434564938","0.515216693418941"
"INTU","2001-01-24","18.0625","19.28125","17.625","18.75","10682200","16.912304","NONE","0","0.0939716312056738","0.0380622837370242","0.13161295790165"
"INTU","2001-01-25","18.8125","19.59375","18.4375","19.25","8577400","17.363308","NONE","0","0.0627118644067797","0.0232558139534884","-0.19703806332029"
"INTU","2001-01-26","19.21875","19.40625","17.96875","18.0625","8094800","16.292187","NONE","0","0.08","-0.0601626016260163","-0.0562641359852636"
"INTU","2001-01-29","17.65625","18.4375","17.5","18","7789000","16.235817","NONE","0","0.0535714285714286","0.0194690265486726","-0.0377773385383209"
"INTU","2001-01-30","18.9375","20.28125","17.875","18.90625","16951200","17.05324","NONE","0","0.134615384615385","-0.00165016501650165","1.17629991012967"
"INTU","2001-01-31","19","20.25","18.875","19.75","14121600","17.814301","NONE","0","0.0728476821192053","0.0394736842105263","-0.166926235310774"
