"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"ITT","1996-01-02","3.93775","4.02065","3.917025","3.999925","2626055","2.785336","NONE","0","0.0264550264550264","0.0157894736842106","0"
"ITT","1996-01-03","3.9792","4.0621","3.917025","3.917025","8343185","2.727607","NONE","0","0.037037037037037","-0.015625","2.17707930717369"
"ITT","1996-01-04","3.917025","3.958475","3.85485","3.875575","6117612","2.698743","NONE","0","0.0268817204301075","-0.0105820105820106","-0.266753404125643"
"ITT","1996-01-05","3.85485","3.85485","3.77195","3.8134","5831725","2.655449","NONE","0","0.021978021978022","-0.010752688172043","-0.0467317966552962"
"ITT","1996-01-08","3.8134","3.875575","3.8134","3.834125","1671291","2.669881","NONE","0","0.0163043478260869","0.00543478260869556","-0.713413955562034"
"ITT","1996-01-09","3.85485","3.93775","3.85485","3.888528","26002413","2.707764","NONE","0","0.021505376344086","0.0087365267131017","14.5582797968756"
"ITT","1996-01-10","3.834125","3.875575","3.77195","3.8134","9727382","2.655449","NONE","0","0.0274725274725275","-0.00540540540540532","-0.625904642003802"
"ITT","1996-01-11","3.8134","3.834125","3.68905","3.751225","11088058","2.612154","NONE","0","0.0393258426966292","-0.016304347826087","0.139881008065685"
"ITT","1996-01-12","3.751225","3.8134","3.7305","3.8134","4414958","2.655449","NONE","0","0.0222222222222222","0.0165745856353592","-0.601827659992399"
"ITT","1996-01-15","3.792675","3.834125","3.7305","3.834125","3862485","2.669881","NONE","0","0.0277777777777777","0.0109289617486338","-0.125136637766429"
"ITT","1996-01-16","3.834125","3.85485","3.792675","3.85485","5360676","2.684312","NONE","0","0.0163934426229508","0.00540540540540543","0.387882671389015"
"ITT","1996-01-17","3.834125","3.8963","3.8134","3.875575","4931242","2.698743","NONE","0","0.0217391304347826","0.0108108108108109","-0.080108180386205"
"ITT","1996-01-18","3.85485","3.8963","3.834125","3.834125","3949337","2.669881","NONE","0","0.0162162162162163","-0.00537634408602153","-0.19911920769656"
"ITT","1996-01-19","3.77195","3.8134","3.7305","3.7305","2862485","2.597722","DOWN","-0.00540540540540532","0.0222222222222222","-0.0109890109890109","-0.275198596625206"
"ITT","1996-01-22","3.751225","3.8963","3.7305","3.8963","5034982","2.713176","NONE","0","0.0444444444444444","0.0386740331491714","0.758954894086781"
"ITT","1996-01-23","3.8963","4.10355","3.8963","4.082825","5908323","2.843062","NONE","0","0.0531914893617022","0.0478723404255318","0.173454641943109"
"ITT","1996-01-24","4.124275","4.290075","4.124275","4.26935","6697829","2.972949","UP","0.00505050505050497","0.0402010050251256","0.035175879396985","0.133626072914429"
"ITT","1996-01-25","4.2279","4.248625","4.124275","4.124275","4896261","2.871926","NONE","0","0.0301507537688442","-0.0245098039215686","-0.268977903138465"
"ITT","1996-01-26","4.10355","4.165725","4.0621","4.165725","2434258","2.90079","NONE","0","0.0255102040816327","0.0151515151515151","-0.502833284418457"
"ITT","1996-01-29","4.165725","4.290075","4.165725","4.290075","2364897","2.98738","NONE","0","0.0298507462686567","0.0298507462686567","-0.0284936929446262"
"ITT","1996-01-30","4.248625","4.3108","4.2279","4.3108","3633293","3.001812","NONE","0","0.019607843137255","0.0146341463414636","0.536343020435985"
"ITT","1996-01-31","4.26935","4.331525","4.26935","4.3108","3998191","3.001812","NONE","0","0.0145631067961165","0.00970873786407772","0.100431757086478"
"ITT","1996-02-01","4.290075","4.3937","4.290075","4.372975","2623643","3.045107","NONE","0","0.0241545893719807","0.0193236714975846","-0.343792480149147"
"ITT","1996-02-02","4.372975","4.3937","4.2279","4.290075","2685766","2.98738","NONE","0","0.0392156862745098","-0.0189573459715641","0.0236781452354608"
"ITT","1996-02-05","4.26935","4.35225","4.26935","4.290075","2491556","2.98738","NONE","0","0.0194174757281552","0.00485436893203876","-0.0723108416742188"
"ITT","1996-02-06","4.26935","4.290075","4.145","4.18645","3089264","2.915221","NONE","0","0.0350000000000001","-0.0194174757281554","0.239893464164562"
"ITT","1996-02-07","4.18645","4.2279","4.165725","4.207175","4788299","2.929653","NONE","0","0.0149253731343283","0.00495049504950508","0.549980513157827"
