"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"IVZ","2008-08-21","24.91","25.24","24.73","24.77","8101600","15.340799","NONE","0","0.0206227254346946","-0.00562023283821761","0"
"IVZ","2008-08-22","25.25","25.93","24.93","25.870001","5422700","16.022064","NONE","0","0.0401123144805455","0.0245544950495049","-0.330663078897995"
"IVZ","2008-08-25","25.41","25.41","24.889999","24.889999","4415400","15.41512","NONE","0","0.0208919654838074","-0.0204644234553326","-0.185756173124089"
"IVZ","2008-08-26","24.75","25.299999","24.52","25.09","4041500","15.538986","NONE","0","0.0318107259380098","0.0137373737373737","-0.084680889613625"
"IVZ","2008-08-27","25.02","25.66","24.700001","25.65","3940400","15.885809","NONE","0","0.038866354701767","0.0251798561151079","-0.0250154645552394"
"IVZ","2008-08-28","26","26.08","25.41","26.08","4057000","16.152115","NONE","0","0.0263675718221172","0.00307692307692301","0.0295909044767029"
"IVZ","2008-08-29","25.76","26.040001","25.440001","25.629999","3433700","15.873427","NONE","0","0.0235849047332978","-0.00504662267080745","-0.153635691397584"
"IVZ","2008-09-02","26.18","26.67","25.52","25.74","4552500","15.941543","NONE","0","0.045062695924765","-0.0168067226890757","0.325829280368116"
"IVZ","2008-09-03","25.5","25.809999","25.15","25.68","4690900","15.904391","NONE","0","0.026242504970179","0.00705882352941175","0.0304008786381109"
"IVZ","2008-09-04","24.860001","25.65","24.700001","24.860001","5783300","15.396532","NONE","0","0.0384614964185628","0","0.23287642030314"
"IVZ","2008-09-05","24.549999","25.59","23.959999","25.58","4466500","15.842454","NONE","0","0.068030094659019","0.0419552359248568","-0.227690073141632"
"IVZ","2008-09-08","26.98","27","24.879999","26.049999","5575400","16.133539","NONE","0","0.085209046833161","-0.0344700148257969","0.248270457852905"
"IVZ","2008-09-09","25.959999","26.32","23.719999","23.74","6468100","14.702888","NONE","0","0.109612188432217","-0.0855161435098669","0.160114072532912"
"IVZ","2008-09-10","23.860001","24.780001","23.110001","24.15","4483900","14.95682","NONE","0","0.0722630864446954","0.0121541906054404","-0.306767056786382"
"IVZ","2008-09-11","24.01","24.959999","22.629999","24.6","5179000","15.235514","NONE","0","0.102960676224511","0.02457309454394","0.155021298423248"
"IVZ","2008-09-12","24.6","25.25","22.940001","24.85","3264000","15.390344","NONE","0","0.100697423683635","0.0101626016260163","-0.369762502413593"
"IVZ","2008-09-15","23.82","25.440001","23.209999","23.209999","6057700","14.374643","NONE","0","0.096079366483385","-0.0256087741393787","0.855912990196078"
"IVZ","2008-09-16","22.9","24.58","22.27","24.219999","5097600","15.000167","NONE","0","0.103726986977997","0.0576418777292578","-0.158492497152385"
"IVZ","2008-09-17","24.040001","24.459999","21.709999","22.780001","7826300","14.108331","NONE","0","0.126669743282807","-0.0524126434104558","0.535291117388575"
"IVZ","2008-09-18","24.450001","24.530001","18.969999","23.959999","11059100","14.839144","NONE","0","0.29309448039507","-0.02004098077542","0.413068755350549"
"IVZ","2008-09-19","27.26","29","24.01","27","8889400","16.721905","NONE","0","0.207830070803832","-0.00953778429933975","-0.196191371811449"
"IVZ","2008-09-22","25.83","26.17","22.65","24.379999","5539100","15.099261","NONE","0","0.155408388520971","-0.0561363143631435","-0.376887078992958"
"IVZ","2008-09-23","23.02","25.120001","23.02","23.549999","2311800","14.585219","NONE","0","0.0912250651607298","0.0230234144222415","-0.582639779025473"
"IVZ","2008-09-24","23.530001","24.870001","23.469999","23.93","2123000","14.820562","NONE","0","0.0596507055667108","0.0169995317892252","-0.0816679643567783"
"IVZ","2008-09-25","24.74","25","23.030001","23.860001","2506900","14.777205","NONE","0","0.0855405520824772","-0.0355698868229587","0.180829015544041"
"IVZ","2008-09-26","23.58","26.4","22.200001","25.34","3564700","15.693817","NONE","0","0.189189135622111","0.0746395250212045","0.421955403087479"
"IVZ","2008-09-29","25.309999","25.76","20.709999","20.709999","4158800","12.82632","NONE","0","0.243843613898774","-0.181746352498868","0.166661991191405"
"IVZ","2008-09-30","21.200001","22.02","20.690001","20.98","3444000","12.993544","NONE","0","0.0642822105228512","-0.0103774051708771","-0.171876502837357"
"IVZ","2008-10-01","21","21.34","18.91","21.07","5196800","13.049281","NONE","0","0.128503437334744","0.00333333333333335","0.508943089430894"
"IVZ","2008-10-02","20.34","21.700001","19.9","20.68","3280800","12.807738","NONE","0","0.090452311557789","0.0167158308751229","-0.36868842364532"
"IVZ","2008-10-03","21.219999","22.99","19.540001","20.379999","2508000","12.621943","NONE","0","0.176560840503539","-0.0395852987551979","-0.23555230431602"
"IVZ","2008-10-06","19.969999","21.1","16.190001","20.709999","4454300","12.82632","NONE","0","0.303273545196199","0.0370555852306251","0.77603668261563"
"IVZ","2008-10-07","20.709999","21.120001","17.5","17.5","3068800","10.838272","NONE","0","0.2068572","-0.154997544905724","-0.311047751610803"
"IVZ","2008-10-08","17.030001","18","15.6","16.15","3446300","10.002175","NONE","0","0.153846153846154","-0.051673573008011","0.123012252346194"
"IVZ","2008-10-09","16.35","16.76","12.36","13","5961900","8.051288","NONE","0","0.355987055016181","-0.204892966360856","0.729942256913211"
"IVZ","2008-10-10","12.61","15.11","11.86","14.3","10426600","8.856416","NONE","0","0.274030354131535","0.134020618556701","0.748872003891377"
"IVZ","2008-10-13","15.41","16.799999","13.62","16.530001","6486700","10.237522","NONE","0","0.233480102790015","0.0726801427644386","-0.37787006310782"
"IVZ","2008-10-14","17.110001","19.24","16.77","16.969999","5978300","10.510026","NONE","0","0.147286821705426","-0.00818246591569451","-0.0783757534647818"
"IVZ","2008-10-15","16.17","17.040001","14.47","14.63","5265700","9.060796","NONE","0","0.177608914996545","-0.0952380952380953","-0.119197765250991"
"IVZ","2008-10-16","14.83","15.23","12.3","14.89","6381400","9.221822","NONE","0","0.238211382113821","0.00404585300067434","0.211880661640428"
"IVZ","2008-10-17","14.48","15.74","14.02","14.65","3259800","9.073179","NONE","0","0.122681883024251","0.0117403314917127","-0.4891716551227"
"IVZ","2008-10-20","14.31","15.09","14.23","14.84","2073600","9.190854","NONE","0","0.0604356992269852","0.037037037037037","-0.363887355052457"
"IVZ","2008-10-21","14.55","15.55","14.23","14.33","2224600","8.874995","NONE","0","0.0927617709065355","-0.0151202749140894","0.0728202160493827"
"IVZ","2008-10-22","13.98","13.98","12.19","12.43","4051100","7.698266","DOWN","-0.0175685172171469","0.146841673502871","-0.110872675250358","0.821046480266115"
"IVZ","2008-10-23","12.39","12.72","10.76","11.6","5555100","7.184228","NONE","0","0.182156133828996","-0.0637610976594028","0.371257189405347"
"IVZ","2008-10-24","10.67","11.85","10.2","11.13","3236200","6.89314","NONE","0","0.161764705882353","0.0431115276476102","-0.417436229770841"
"IVZ","2008-10-27","10.51","11.63","10.51","10.98","3437600","6.800242","NONE","0","0.106565176022835","0.0447193149381542","0.0622334837154688"
"IVZ","2008-10-28","11.13","14.06","11.06","14.06","6790600","8.707774","NONE","0","0.27124773960217","0.263252470799641","0.975389806841983"
"IVZ","2008-10-29","14.05","15.16","12.49","14.14","6886200","8.757324","NONE","0","0.213771016813451","0.00640569395017793","0.0140782846876565"
"IVZ","2008-10-30","14.47","15.54","14.09","14.37","5287500","8.899769","NONE","0","0.10290986515259","-0.00691085003455435","-0.232159972118149"
"IVZ","2008-10-31","14.06","15.12","13.66","14.91","5361400","9.234208","NONE","0","0.10688140556369","0.0604551920341394","0.0139763593380615"
"IVZ","2008-11-03","14.74","14.92","14.2","14.47","2241800","8.961702","NONE","0","0.0507042253521127","-0.0183175033921302","-0.581862946245384"
"IVZ","2008-11-04","15","16.18","14.65","16.110001","4708900","9.977404","NONE","0","0.104436860068259","0.0740000666666667","1.10049959853689"
"IVZ","2008-11-05","15.78","16.59","14.43","14.58","3146700","9.029827","NONE","0","0.14968814968815","-0.0760456273764258","-0.331754762258702"
"IVZ","2008-11-06","14.45","14.72","12.42","13.01","5023000","8.057481","NONE","0","0.185185185185185","-0.0996539792387543","0.596275463183653"
"IVZ","2008-11-07","13.08","14.22","13.06","14.17","2925200","8.775907","NONE","0","0.0888208269525268","0.0833333333333333","-0.417638861238304"
"IVZ","2008-11-10","13.86","14.6","12.46","12.71","2393700","7.871684","NONE","0","0.171749598715891","-0.0829725829725829","-0.181696977984411"
"IVZ","2008-11-11","12.54","13.06","11.92","12.59","2853500","7.797365","NONE","0","0.0956375838926175","0.00398724082934615","0.192087563186698"
"IVZ","2008-11-12","12.28","12.59","11.38","11.57","2777400","7.165645","NONE","0","0.106326889279438","-0.0578175895765472","-0.026669002978798"
"IVZ","2008-11-13","11.77","13.31","11.02","13.24","5524900","8.199927","NONE","0","0.207803992740472","0.124893797790994","0.989234535896882"
"IVZ","2008-11-14","12.94","13.65","11.88","11.96","3383200","7.407183","NONE","0","0.148989898989899","-0.0757341576506954","-0.387645025249326"
"IVZ","2008-11-17","11.92","12.09","10.78","10.82","4693400","6.701147","NONE","0","0.12152133580705","-0.0922818791946308","0.387266493260818"
"IVZ","2008-11-18","11.24","11.38","10.62","11.15","4580700","6.905527","NONE","0","0.0715630885122412","-0.00800711743772241","-0.024012443005071"
"IVZ","2008-11-19","11.15","11.21","9.72","9.89","4864000","6.125171","NONE","0","0.153292181069959","-0.113004484304933","0.0618464426834327"
"IVZ","2008-11-20","9.62","10.38","8.71","8.84","6272100","5.474875","NONE","0","0.191733639494833","-0.081081081081081","0.289494243421053"
"IVZ","2008-11-21","8.92","9.5","8.35","9.26","5330300","5.734993","NONE","0","0.137724550898204","0.0381165919282511","-0.150157044689976"
"IVZ","2008-11-24","9.8","11.65","9.63","11.5","4518600","7.200045","UP","0.0136842105263159","0.209761163032191","0.173469387755102","-0.15228035945444"
"IVZ","2008-11-25","11.54","11.87","10.41","11.16","4623200","6.987175","NONE","0","0.140249759846302","-0.0329289428076256","0.023148762891161"
"IVZ","2008-11-26","10.42","12.42","10.42","12.38","3245000","7.751007","NONE","0","0.191938579654511","0.18809980806142","-0.298105208513584"
"IVZ","2008-11-28","12.37","12.8","12.05","12.55","1763000","7.857444","NONE","0","0.0622406639004149","0.0145513338722717","-0.456702619414484"
"IVZ","2008-12-01","11.94","12.03","10.28","10.48","4695000","6.561433","DOWN","-0.00165975103734451","0.170233463035019","-0.122278056951424","1.66307430516166"
"IVZ","2008-12-02","11.05","11.48","10.29","11.4","4833300","7.137438","NONE","0","0.115646258503401","0.0316742081447963","0.0294568690095847"
"IVZ","2008-12-03","10.89","11.99","10.59","11.99","3260700","7.506831","NONE","0","0.132200188857413","0.101010101010101","-0.325367761156974"
"IVZ","2008-12-04","11.3","12.53","10.63","11.5","4898100","7.200045","NONE","0","0.178739416745061","0.0176991150442477","0.502162112429846"
"IVZ","2008-12-05","11.13","12.5","10.85","12.4","4155300","7.763527","NONE","0","0.152073732718894","0.114106019766397","-0.151650640044099"
