"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"KBH","1996-01-02","7.375","7.4375","7.1875","7.1875","84800","4.999835","NONE","0","0.0347826086956522","-0.0254237288135593","0"
"KBH","1996-01-03","7.25","7.5","7.25","7.4375","160400","5.173743","NONE","0","0.0344827586206897","0.0258620689655172","0.891509433962264"
"KBH","1996-01-04","7.5","7.5","7.25","7.25","265000","5.04331","NONE","0","0.0344827586206897","-0.0333333333333333","0.65211970074813"
"KBH","1996-01-05","7.1875","7.4375","7.1875","7.4375","188200","5.173743","NONE","0","0.0347826086956522","0.0347826086956522","-0.289811320754717"
"KBH","1996-01-08","7.375","7.375","7.3125","7.375","16600","5.130264","NONE","0","0.00854700854700855","0","-0.911795961742827"
"KBH","1996-01-09","7.375","7.375","7","7","109600","4.869401","NONE","0","0.0535714285714286","-0.0508474576271186","5.60240963855422"
"KBH","1996-01-10","6.9375","7","6.6875","6.75","159000","4.695498","NONE","0","0.0467289719626168","-0.027027027027027","0.450729927007299"
"KBH","1996-01-11","7","7.25","7","7.1875","308400","4.999835","NONE","0","0.0357142857142857","0.0267857142857143","0.939622641509434"
"KBH","1996-01-12","7.1875","7.3125","7.125","7.25","238400","5.04331","NONE","0","0.0263157894736842","0.00869565217391304","-0.226977950713359"
"KBH","1996-01-15","7.1875","7.375","7.1875","7.1875","176800","4.999835","NONE","0","0.0260869565217391","0","-0.258389261744966"
"KBH","1996-01-16","7.375","7.4375","7.3125","7.375","112400","5.130264","NONE","0","0.0170940170940171","0","-0.364253393665158"
"KBH","1996-01-17","7.375","7.375","7.0625","7.0625","283600","4.91288","NONE","0","0.0442477876106195","-0.0423728813559322","1.52313167259786"
"KBH","1996-01-18","7.125","7.1875","7.0625","7.1875","219600","4.999835","NONE","0","0.0176991150442478","0.0087719298245614","-0.225669957686883"
"KBH","1996-01-19","7.125","7.25","7.125","7.25","324400","5.04331","NONE","0","0.0175438596491228","0.0175438596491228","0.477231329690346"
"KBH","1996-01-22","7.125","7.5625","7.125","7.5","268800","5.217218","NONE","0","0.0614035087719298","0.0526315789473684","-0.171393341553637"
"KBH","1996-01-23","7.5","7.5","7.375","7.375","366000","5.130264","NONE","0","0.0169491525423729","-0.0166666666666667","0.361607142857143"
"KBH","1996-01-24","7.375","7.625","7.375","7.625","423800","5.304173","NONE","0","0.0338983050847458","0.0338983050847458","0.15792349726776"
"KBH","1996-01-25","7.5625","7.5625","7","7","4084200","4.869401","NONE","0","0.0803571428571429","-0.0743801652892562","8.63709296838131"
"KBH","1996-01-26","7","7.3125","6.96875","7.25","1941800","5.04331","NONE","0","0.0493273542600897","0.0357142857142857","-0.524558052984673"
"KBH","1996-01-29","7.3125","7.375","7.25","7.3125","545600","5.086789","NONE","0","0.0172413793103448","0","-0.719023586363168"
"KBH","1996-01-30","7.3125","7.5625","7.25","7.5","631200","5.217218","NONE","0","0.0431034482758621","0.0256410256410256","0.156891495601173"
"KBH","1996-01-31","7.5","8.0625","7.5","8","875600","5.565033","NONE","0","0.075","0.0666666666666667","0.387198986058302"
"KBH","1996-02-01","8","8.3125","8","8.1875","799200","5.695461","NONE","0","0.0390625","0.0234375","-0.0872544540886249"
"KBH","1996-02-02","8.125","8.125","7.9375","8","199800","5.565033","NONE","0","0.0236220472440945","-0.0153846153846154","-0.75"
