"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"LH","2004-11-01","45.799999","46","45.669998","45.810001","2016000","45.676872","NONE","0","0.00722579405411842","0.0002183842842442","5.59556674834302e-05","0","1","NA"
"LH","2004-11-02","45.75","45.970001","45.75","45.860001","1762200","45.726727","NONE","0","0.00480876502732248","0.00240439344262288","-0.00236012227336544","-0.125892857142857","2","NA"
"LH","2004-11-03","46.099998","46.700001","46.099998","46.349998","1494500","46.215298","UP","0.00282786593804938","0.0130152500223536","0.00542299372767869","0.00577511652341701","-0.151912382249461","3","NA"
"LH","2004-11-04","46.389999","47.310001","46.130001","47.169998","1848100","47.032917","NONE","0","0.0255798823850015","0.0168139473337776","-0.000657462211605019","0.236600869856139","4","NA"
"LH","2004-11-05","47.169998","47.349998","47.099998","47.299999","1229000","47.16254","NONE","0","0.00530785585171362","0.00275601029281367","0.00111772306481434","-0.334992695200476","5","NA"
"LH","2004-11-08","47.349998","47.419998","46.799999","47.040001","899600","46.903297","NONE","0","0.0132478421634154","-0.006546927414865","0.00544929246309633","-0.268022782750203","1","NA"
"LH","2004-11-09","47.16","47.48","46.84","47.02","1110700","46.883354","NONE","0","0.0136635354397949","-0.00296861747243413","0.00227322220801519","0.234659848821699","2","NA"
"LH","2004-11-10","47.029999","47.400002","46.75","47.200001","881100","47.062832","NONE","0","0.0139037860962567","0.00361475661524049","-0.00461977520865405","-0.206716485099487","3","NA"
"LH","2004-11-11","47.209999","47.400002","46.900002","47.150002","865900","47.012978","NONE","0","0.0106609803556085","-0.00127085365962416","0.0103600743998075","-0.017251163318579","4","NA"
"LH","2004-11-12","46.98","47.34","46.939999","47.34","1042400","47.202423","NONE","0","0.00852153831532896","0.00766283524904228","0.00144687619230663","0.203834160988567","5","NA"
"LH","2004-11-15","47.200001","47.490002","47.150002","47.299999","714000","47.16254","NONE","0","0.0072110283261493","0.00211860165002961","-0.0024225993755455","-0.31504221028396","1","NA"
"LH","2004-11-16","47.150002","47.330002","46.919998","46.950001","829000","46.813557","NONE","0","0.00873836354383478","-0.00424180257723001","-0.00283703995860621","0.161064425770308","2","NA"
"LH","2004-11-17","46.869999","47.18","46.869999","47.02","698700","46.883354","NONE","0","0.00661406030753275","0.00320036277363699","0.00233793955056082","-0.157177322074789","3","NA"
"LH","2004-11-18","46.849998","47.349998","46.419998","47.220001","964200","47.082771","NONE","0","0.0200344687649491","0.00789760972882014","-0.0065353510013271","0.379991412623444","4","NA"
"LH","2004-11-19","47.23","47.279999","46.700001","47.009998","702000","46.873379","NONE","0","0.0124196571216347","-0.00465809866610192","-0.00650330765647928","-0.271935283136279","5","NA"
"LH","2004-11-22","46.93","47.990002","46.93","47.959999","751200","47.820621","NONE","0","0.0225868740677604","0.0219475601960367","-0.0160518169073725","0.0700854700854701","1","NA"
"LH","2004-11-23","47.759998","48","47","47.369999","787600","47.232334","NONE","0","0.0212765957446809","-0.00816580854965704","0.00791093358571707","0.0484558040468584","2","NA"
"LH","2004-11-24","47.5","47.700001","47.23","47.450001","432400","47.312103","NONE","0","0.00995132331145466","-0.00105261052631578","0.00514803530721365","-0.450990350431691","3","NA"
"LH","2004-11-26","47.349998","48.110001","47.349998","47.889999","499800","47.750824","NONE","0","0.0160507504139704","0.0114044566591112","-0.0106513308192886","0.155874190564292","5","NA"
"LH","2004-11-29","47.990002","48.09","47.380001","47.779999","697500","47.641144","NONE","0","0.0149852044114563","-0.00437597397891337","0.000926028587460896","0.395558223289316","1","NA"
"LH","2004-11-30","47.75","48.07","47.630001","47.950001","846700","47.81065","NONE","0","0.00923785409956217","0.00418850261780105","-0.00821881071798741","0.213906810035842","2","NA"
"LH","2004-12-01","48","48.040001","47.869999","47.970001","855500","47.830593","NONE","0","0.00355132658348283","-0.000624979166666595","0.0156107222917952","0.0103932916026928","3","NA"
"LH","2004-12-02","47.970001","48.02","47.66","47.869999","486100","47.730881","NONE","0","0.00755350398657169","-0.00208467788024444","0.00121170054795903","-0.431794272355348","4","NA"
"LH","2004-12-03","47.830002","48.360001","47.830002","48","701200","47.860504","NONE","0","0.0110808901910562","0.00355421268851295","-0.00284845207502476","0.442501542892409","5","NA"
"LH","2004-12-06","48.099998","48.110001","47.75","47.990002","560700","47.850536","NONE","0","0.00753928795811512","-0.00228681922190522","0.00151443243747063","-0.200370792926412","1","NA"
"LH","2004-12-07","47.990002","47.990002","47.470001","47.549999","772900","47.411812","NONE","0","0.010954307753227","-0.00916863891774785","-0.00190471037861835","0.378455502051008","2","NA"
"LH","2004-12-08","47.560001","48.419998","47.560001","48.25","898800","48.109779","NONE","0","0.0180823587451144","0.0145079685763674","-0.00963135693616171","0.162893000388149","3","NA"
"LH","2004-12-09","48.02","49.400002","48","49.330002","773400","49.186642","NONE","0","0.0291667083333333","0.0272803415243648","-0.0218441931325966","-0.139519359145527","4","NA"
"LH","2004-12-10","49.419998","49.419998","48.93","49.169998","1085800","49.027103","NONE","0","0.0100142652769262","-0.00505868090079648","0.00401600657902225","0.403930695629687","5","NA"
"LH","2004-12-13","49.48","49.48","48.700001","48.700001","1412700","48.558472","NONE","0","0.0160164062419628","-0.0157639248181083","0.0247538692625526","0.30106833671026","1","NA"
"LH","2004-12-14","48.560001","49.150002","48.509998","48.900002","756100","48.757893","NONE","0","0.0131932390514631","0.00700166789535282","-0.00308072920590329","-0.464783747433992","2","NA"
"LH","2004-12-15","48.790001","49","48.450001","48.529999","660200","48.388962","NONE","0","0.0113518883105905","-0.00532900173541706","0.00727349640067453","-0.126835074725565","3","NA"
"LH","2004-12-16","48.509998","49.110001","48.380001","49.040001","688500","48.897484","NONE","0","0.0150888793904737","0.0109256446475218","-0.0130073966798102","0.0428657982429567","4","NA"
"LH","2004-12-17","48.75","49.419998","48.740002","49.389999","848600","49.246464","NONE","0","0.0139514971706403","0.0131281846153847","-0.0206164952943552","0.232534495279593","5","NA"
"LH","2004-12-20","49.389999","49.57","49.060001","49.130001","402400","48.987221","NONE","0","0.0103954135671542","-0.00526418313958668","0.00564106558680424","-0.525807211878388","1","NA"
"LH","2004-12-21","49.25","49.549999","48.98","49","516200","48.857597","NONE","0","0.011637382605145","-0.0050761421319797","0.0141163855363527","0.282803180914513","2","NA"
"LH","2004-12-22","49.02","49.66","49.02","49.459999","419600","49.316261","NONE","0","0.0130558955528354","0.00897590779273766","-0.00555810102557805","-0.187136768694305","3","NA"
"LH","2004-12-23","49.470001","49.889999","49.470001","49.689999","368800","49.545593","NONE","0","0.00848995333555784","0.00444709916217703","-0.00398407591837703","-0.121067683508103","4","NA"
"LH","2004-12-27","49.700001","49.950001","49.540001","49.619999","316500","49.475796","NONE","0","0.00827614032547161","-0.00160969815674652","-0.00269559216617215","-0.141811279826464","1","NA"
"LH","2004-12-28","49.619999","50","49.349998","50","686700","49.854694","NONE","0","0.0131712669978224","0.00765822264526849","-0.000504225130724684","1.1696682464455","2","NA"
"LH","2004-12-29","49.900002","50","49.790001","49.970001","442400","49.82478","NONE","0","0.00421769423141814","0.00140278551491847","-0.0014770212196375","-0.355759429153925","3","NA"
"LH","2004-12-30","49.990002","50.029999","49.810001","49.91","528900","49.764954","NONE","0","0.00441674353710607","-0.0016003600079872","0.00168285043119535","0.195524412296564","4","NA"
"LH","2004-12-31","49.950001","50","49.610001","49.82","360000","49.675217","NONE","0","0.00786129796691605","-0.00260262257051807","0.00125945176240583","-0.319342030629609","5","NA"
"LH","2005-01-03","49.830002","49.990002","48.650002","48.700001","648700","48.558472","NONE","0","0.0275436782099207","-0.0226771213053533","0.0145577011763469","0.801944444444444","1","NA"
"LH","2005-01-04","48.700001","48.799999","48.150002","48.490002","958600","48.349083","NONE","0","0.013499417923181","-0.00431209436730819","-0.00735926487129481","0.47772468012949","2","NA"
"LH","2005-01-05","48.099998","48.200001","47.77","47.880001","986400","47.740856","NONE","0","0.0090014862884655","-0.00457374239391859","0.000945899439299169","0.0290006259127895","3","NA"
"LH","2005-01-06","47.919998","48.279999","47.66","48.169998","1018100","48.03001","NONE","0","0.0130087914393621","0.00521702859837348","-0.00171117001873733","0.0321370640713706","4","NA"
"LH","2005-01-07","48.099998","48.330002","47.82","47.849998","747500","47.710941","NONE","0","0.0106650355499791","-0.00519750541361769","0.00376633419529588","-0.265789215204793","5","NA"
"LH","2005-01-10","47.75","48.349998","47.689999","48.040001","733500","47.900391","NONE","0","0.0138393586462436","0.00607331937172768","-0.00265054628989128","-0.0187290969899666","1","NA"
"LH","2005-01-11","47.799999","48.380001","47.619999","48.23","420400","48.089836","NONE","0","0.0159597231406914","0.00899583700828105","-0.0150954043260714","-0.426857532379005","2","NA"
"LH","2005-01-12","49","49.900002","48.650002","48.650002","1969100","48.508617","UP","0.00558083907439358","0.0256937296734335","-0.0071428163265306","0.0111242202604726","3.68387250237869","3","NA"
"LH","2005-01-13","48.75","49.09","48","48.18","1025700","48.039982","NONE","0","0.0227083333333334","-0.0116923076923077","0.00306218188370606","-0.479102127875679","4","NA"
"LH","2005-01-14","48.060001","48.459999","48.049999","48.27","429700","48.129723","NONE","0","0.00853277853346061","0.00436951717916118","0.00163504292464223","-0.581066588671151","5","NA"
"LH","2005-01-18","48.299999","48.419998","48.02","48.369999","485500","48.229427","NONE","0","0.00832982090795495","0.00144927539232455","0.00822549565966673","0.129858040493367","2","NA"
"LH","2005-01-19","48.200001","48.389999","48.150002","48.349998","409200","48.209488","NONE","0","0.00498436116368183","0.00311197088979312","-0.0126020753980643","-0.157157569515963","3","NA"
"LH","2005-01-20","48.349998","48.830002","48.119999","48.34","677700","48.199516","NONE","0","0.0147548423681389","-0.000206783876185392","-0.0075762124695808","0.656158357771261","4","NA"
"LH","2005-01-21","48.200001","48.43","47.240002","47.25","564300","47.112686","NONE","0","0.0251904731079394","-0.0197095639064406","0.0132947479852759","-0.167330677290837","5","NA"
"LH","2005-01-24","47.299999","47.389999","46.799999","46.919998","443800","46.783642","NONE","0","0.0126068378762146","-0.00803384794997565","0.00450606230804722","-0.213538897749424","1","NA"
"LH","2005-01-25","47.099998","47.18","46.790001","46.919998","416800","46.783642","NONE","0","0.00833509279044476","-0.0038216562132338","0.00782598188455496","-0.0608382154123479","2","NA"
"LH","2005-01-26","47","47.700001","47","47.52","419500","47.381901","NONE","0","0.0148936382978723","0.0110638297872341","-0.00621971527665975","0.00647792706333973","3","NA"
"LH","2005-01-27","47.610001","49.040001","47.610001","48.23","1646900","48.089836","NONE","0","0.0300357061534193","0.0130224529925971","-0.0126135310185396","2.92586412395709","4","NA"
"LH","2005-01-28","48.240002","48.529999","47.369999","47.43","582200","47.29216","NONE","0","0.0244880731367547","-0.0167910855393413","0.0140750974018279","-0.646487339850628","5","NA"
"LH","2005-01-31","47.43","48.02","47.150002","47.849998","545800","47.710941","NONE","0","0.0184517065343921","0.00885511279780729","-0.000394831477885058","-0.0625214702851254","1","NA"
"LH","2005-02-01","47.599998","49.150002","47.490002","48.869999","601900","48.727974","NONE","0","0.0349547258389251","0.0266806943983485","-0.0197897940434914","0.102784902894833","2","NA"
"LH","2005-02-02","48.869999","49.349998","48.84","48.950001","652800","48.807747","NONE","0","0.0104422194922194","0.00163703707053484","0.001540930906823","0.0845655424489118","3","NA"
"LH","2005-02-03","48.959999","49.529999","48.900002","49.450001","692700","49.306293","NONE","0","0.0128833737062014","0.0100082109887297","-0.0127738444278069","0.0611213235294118","4","NA"
