"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"LKQ","2016-05-23","31.610001","32.25","31.309999","31.9","3926500","31.437727","NONE","0","0.0300223899719703","0.00917428000081361","-0.0112159327594387","0","1","NA"
"LKQ","2016-05-24","32.009998","32.509998","32.009998","32.259998","2445300","31.792511","NONE","0","0.0156201196888547","0.00781005984442736","0.00359478663094585","-0.377231631223736","2","NA"
"LKQ","2016-05-25","32.259998","33","32.150002","32.93","2597100","32.452801","NONE","0","0.0264385053537477","0.020768817158637","-0.0151841618889759","0.0620782726045884","3","NA"
"LKQ","2016-05-26","31.879999","33.240002","31.879999","32.740002","2363100","32.265556","NONE","0","0.042660070346928","0.0269762555513253","-0.0276168873828851","-0.0901004967078665","4","NA"
"LKQ","2016-05-27","32.91","33.189999","32.580002","33.189999","1863400","32.709034","NONE","0","0.0187230498021455","0.00850802187784879","-0.0042019255237057","-0.211459523507257","5","NA"
"LKQ","2016-05-31","33.299999","33.48","32.880001","33.07","1500500","32.590771","NONE","0","0.0182481442138641","-0.00690687708429059","0.00539271740029165","-0.194751529462273","2","NA"
"LKQ","2016-06-01","32.779999","33.189999","32.470001","32.689999","1559400","32.216274","NONE","0","0.0221742524738449","-0.00274557665483749","0.00531973692298048","0.0392535821392869","3","NA"
"LKQ","2016-06-02","32.490002","33.09","32.490002","33.09","1977700","32.610481","NONE","0","0.0184671579890948","0.0184671579890948","-0.0148679716666917","0.268244196485828","4","NA"
"LKQ","2016-06-03","32.849998","32.970001","32.48","32.93","1298300","32.452801","NONE","0","0.0150862376847293","0.00243537305542607","-0.00478329153738792","-0.343530363553623","5","NA"
"LKQ","2016-06-06","32.900002","32.900002","32.450001","32.5","2153400","32.029034","NONE","0","0.0138675188330503","-0.0121581147624247","0.0162421356881761","0.6586305168297","1","NA"
"LKQ","2016-06-07","32.470001","33.240002","32.470001","33.049999","2553800","32.571064","NONE","0","0.0237142277882897","0.0178625802937301","-0.0169385117010808","0.185938515835423","2","NA"
"LKQ","2016-06-08","33.009998","33.209999","32.91","33.209999","1660000","32.728741","NONE","0","0.00911573989668814","0.00605880073061502","-0.00302470891568089","-0.349988252799749","3","NA"
"LKQ","2016-06-09","33.02","33.32","32.98","33.110001","2161400","32.630196","NONE","0","0.0103092783505156","0.00272565112053282","-0.00280596781179606","0.302048192771084","4","NA"
"LKQ","2016-06-10","32.400002","32.700001","32.16","32.23","1471800","31.762945","DOWN","-0.0084899636143116","0.0167910758706469","-0.00524697498475475","-0.0011524332192111","-0.319052465994263","5","NA"
"LKQ","2016-06-13","32.220001","32.450001","32","32.139999","1589900","31.67425","NONE","0","0.01406253125","-0.00248299185341429","-0.00358367051063499","0.0802418806903112","1","NA"
"LKQ","2016-06-14","32.049999","32.259998","31.91","32.119999","1349700","31.654539","NONE","0","0.0109682858038233","0.0021840874316408","-0.00282446210371209","-0.151078684193974","2","NA"
"LKQ","2016-06-15","32.189999","32.75","32.110001","32.439999","1597100","31.969904","NONE","0","0.0199314537548598","0.00776638731799898","-0.010702514441728","0.183299992590946","3","NA"
"LKQ","2016-06-16","32.259998","32.75","32.049999","32.52","1264100","32.04874","NONE","0","0.021840905517657","0.0080595789249584","-0.00243138132251598","-0.208502911527143","4","NA"
"LKQ","2016-06-17","32.52","32.759998","32.27","32.580002","1995900","32.107876","NONE","0","0.0151843198016734","0.00184507995079942","-0.00520374618339239","0.578909896368958","5","NA"
"LKQ","2016-06-20","32.91","33.23","32.849998","32.889999","1723900","32.413383","UP","0.00274725291497259","0.0115677937027575","-0.000607748404740003","0.00430306331034011","-0.136279372714064","1","NA"
