"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"MCIC","1997-09-17","4304409","4304409","4304409","4304409","0","4304409","NONE","0","0","0","0"
"MCIC","1997-09-18","6026174","6026174","3443522.75","6026174","0","6026174","NONE","0","0.75000266805265","0","NaN"
"MCIC","1997-09-19","8608818","8608818","4838151.5","8608818","0","8608818","NONE","0","0.779360981151582","0","NaN"
"MCIC","1997-09-22","8608818","8608818","4304409","8608818","0","8608818","NONE","0","1","0","NaN"
"MCIC","1997-09-23","6887053","8608818","6887053","6887053","0","6887053","NONE","0","0.250000254099976","0","NaN"
"MCIC","1997-09-24","10761023","10761023","6887053","10761023","0","10761023","NONE","0","0.562500390224963","0","NaN"
"MCIC","1997-09-25","8608818","10761023","8608818","8608818","0","8608818","NONE","0","0.250000058079983","0","NaN"
"MCIC","1997-09-26","10761023","11191462","8608818","10761023","0","10761023","NONE","0","0.299999837376049","0","NaN"
"MCIC","1997-09-29","10761023","10761023","10761023","10761023","0","10761023","NONE","0","0","0","NaN"
"MCIC","1997-09-30","8608818","8780992","8608818","8608818","0","8608818","DOWN","-0.184000257224615","0.0199997258624819","0","NaN"
"MCIC","1997-10-01","11191462","11845727","9469697","11191462","0","11191462","UP","0.0784313435201854","0.250908767197092","0","NaN"
"MCIC","1997-10-02","11191462","12913220","9469697","11191462","0","11191462","NONE","0","0.363636027636365","0","NaN"
"MCIC","1997-10-03","12913220","13997932","12052341","12913220","0","12913220","NONE","0","0.161428472692567","0","NaN"
"MCIC","1997-10-06","14531682","14531682","11845727","14531682","0","14531682","NONE","0","0.226744631207523","0","NaN"
"MCIC","1997-10-07","11845727","11845727","11845727","11845727","0","11845727","NONE","0","0","0","NaN"
"MCIC","1997-10-08","12379477","14531682","12379477","12379477","0","12379477","UP","0.0450584417486576","0.173852659526731","0","NaN"
"MCIC","1997-10-09","14531682","14531682","14531682","14531682","0","14531682","NONE","0","0","0","NaN"
"MCIC","1997-10-10","14462811","14531682","12379477","14462811","0","14462811","NONE","0","0.173852659526731","0","NaN"
"MCIC","1997-10-13","14531682","14531682","13997932","14531682","0","14531682","NONE","0","0.0381306324391346","0","NaN"
"MCIC","1997-10-14","13997932","14531682","11845727","13997932","0","13997932","NONE","0","0.226744631207523","0","NaN"
"MCIC","1997-10-15","10761023","13997932","10761023","10761023","0","10761023","NONE","0","0.30079937567274","0","NaN"
"MCIC","1997-10-16","12913220","13997932","11294765","12913220","0","12913220","NONE","0","0.239329193657416","0","NaN"
"MCIC","1997-10-17","13774106","13997932","11845727","13774106","0","13774106","NONE","0","0.181686189458866","0","NaN"
"MCIC","1997-10-20","12913220","15065424","11845727","12913220","0","12913220","NONE","0","0.271802397607171","0","NaN"
"MCIC","1997-10-21","12913220","13997932","10761023","12913220","0","12913220","NONE","0","0.30079937567274","0","NaN"
"MCIC","1997-10-22","10761023","12913220","10761023","10761023","0","10761023","NONE","0","0.199999293747444","0","NaN"
"MCIC","1997-10-23","12052341","12052341","11707992","12052341","0","12052341","NONE","0","0.0294114481800124","0","NaN"
"MCIC","1997-10-24","11191462","12913220","10761023","11191462","0","11191462","NONE","0","0.199999293747444","0","NaN"
"MCIC","1997-10-27","11191462","11191462","11191462","11191462","0","11191462","NONE","0","0","0","NaN"
"MCIC","1997-10-28","12052341","12913220","11707992","12052341","0","12052341","UP","0.0461539341330025","0.102940623806371","0","NaN"
"MCIC","1997-10-29","11845727","13997932","11845727","11845727","0","11845727","NONE","0","0.181686189458866","0","NaN"
"MCIC","1997-10-30","11845727","11845727","11845727","11845727","0","11845727","NONE","0","0","0","NaN"
"MCIC","1997-10-31","10761023","13997932","10761023","10761023","0","10761023","NONE","0","0.30079937567274","0","NaN"
"MCIC","1997-11-03","9693523","11191462","9693523","9693523","0","9693523","NONE","0","0.15452988557411","0","NaN"
"MCIC","1997-11-04","10761023","11845727","9693523","10761023","0","10761023","NONE","0","0.222024954188482","0","NaN"
"MCIC","1997-11-05","10761023","10761023","10761023","10761023","0","10761023","NONE","0","0","0","NaN"
"MCIC","1997-11-06","12913220","12913220","9383606","12913220","0","12913220","NONE","0","0.376146867206488","0","NaN"
"MCIC","1997-11-07","11191462","11191462","11105371","11191462","0","11191462","NONE","0","0.00775219486138734","0","NaN"
"MCIC","1997-11-10","12913220","12913220","12913220","12913220","0","12913220","UP","0.153845672710143","0","0","NaN"
"MCIC","1997-11-11","12913220","12913220","10761023","12913220","0","12913220","NONE","0","0.199999293747444","0","NaN"
"MCIC","1997-11-12","11845727","11845727","10761023","11845727","0","11845727","NONE","0","0.100799338501553","0","NaN"
"MCIC","1997-11-13","11845727","11845727","11845727","11845727","0","11845727","NONE","0","0","0","NaN"
"MCIC","1997-11-14","11191462","11191462","11191462","11191462","0","11191462","DOWN","-0.0552321524884036","0","0","NaN"
"MCIC","1997-11-17","12913220","12913220","9693523","12913220","0","12913220","NONE","0","0.332149312484223","0","NaN"
"MCIC","1997-11-18","12224515","12913220","10761023","12224515","0","12224515","NONE","0","0.199999293747444","0","NaN"
"MCIC","1997-11-19","9693523","11845727","9142561","9693523","0","9693523","NONE","0","0.295668358132913","0","NaN"
"MCIC","1997-11-20","9469697","9693523","8780992","9469697","0","9469697","NONE","0","0.103921174281903","0","NaN"
"MCIC","1997-11-21","8608818","9693523","7541326","8608818","0","8608818","NONE","0","0.285387079142315","0","NaN"
"MCIC","1997-11-24","7541326","8608818","4304409","7541326","0","7541326","NONE","0","1","0","NaN"
