"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"MD","1996-01-02","6.875","7","6.875","6.9375","230800","6.9375","NONE","0","0.0181818181818182","0.00909090909090909","0"
"MD","1996-01-03","6.875","7","6.6875","6.6875","1304000","6.6875","NONE","0","0.0467289719626168","-0.0272727272727273","4.64991334488735"
"MD","1996-01-04","6.6875","6.75","6.5","6.5","405600","6.5","NONE","0","0.0384615384615385","-0.0280373831775701","-0.688957055214724"
"MD","1996-01-05","6.4375","6.625","6.4375","6.4375","163600","6.4375","NONE","0","0.029126213592233","0","-0.596646942800789"
"MD","1996-01-08","6.625","6.625","6.625","6.625","10000","6.625","NONE","0","0","0","-0.938875305623472"
"MD","1996-01-09","6.4375","6.53125","6.25","6.25","599600","6.25","DOWN","-0.0141509433962264","0.045","-0.029126213592233","58.96"
"MD","1996-01-10","6.25","6.4375","6","6","302400","6","NONE","0","0.0729166666666667","-0.04","-0.495663775850567"
"MD","1996-01-11","6","6.1875","5.625","6","196800","6","NONE","0","0.1","0","-0.349206349206349"
"MD","1996-01-12","6.25","6.25","6.03125","6.125","61600","6.125","NONE","0","0.0362694300518135","-0.02","-0.686991869918699"
"MD","1996-01-15","6","6.1875","6","6","49600","6","NONE","0","0.03125","0","-0.194805194805195"
"MD","1996-01-16","6.1875","7","6","6.9375","1241600","6.9375","NONE","0","0.166666666666667","0.121212121212121","24.0322580645161"
"MD","1996-01-17","7","7.375","6.8125","7.125","629600","7.125","NONE","0","0.0825688073394495","0.0178571428571429","-0.492912371134021"
"MD","1996-01-18","7.1875","7.1875","6.875","6.9375","924800","6.9375","NONE","0","0.0454545454545455","-0.0347826086956522","0.468869123252859"
"MD","1996-01-19","6.75","6.875","6.6875","6.71875","237600","6.71875","NONE","0","0.0280373831775701","-0.00462962962962963","-0.743079584775087"
"MD","1996-01-22","6.6875","6.875","6.6875","6.875","147200","6.875","NONE","0","0.0280373831775701","0.0280373831775701","-0.38047138047138"
"MD","1996-01-23","6.8125","6.9375","6.6875","6.6875","84000","6.6875","NONE","0","0.0373831775700935","-0.018348623853211","-0.429347826086957"
"MD","1996-01-24","6.6875","7.125","6.6875","6.875","144800","6.875","NONE","0","0.0654205607476635","0.0280373831775701","0.723809523809524"
"MD","1996-01-25","7.125","7.3125","7.0625","7.21875","67600","7.21875","NONE","0","0.0353982300884956","0.0131578947368421","-0.533149171270718"
"MD","1996-01-26","7.3125","7.3125","7.0625","7.25","11600","7.25","NONE","0","0.0353982300884956","-0.00854700854700855","-0.828402366863905"
"MD","1996-01-29","7.0625","7.875","7.0625","7.875","316400","7.875","NONE","0","0.115044247787611","0.115044247787611","26.2758620689655"
"MD","1996-01-30","7.875","8.125","7.875","8.125","1474000","8.125","NONE","0","0.0317460317460317","0.0317460317460317","3.65865992414665"
"MD","1996-01-31","8.125","8.375","8.0625","8.375","509200","8.375","NONE","0","0.0387596899224806","0.0307692307692308","-0.654545454545455"
"MD","1996-02-01","8.25","8.5","8.125","8.125","3403200","8.125","NONE","0","0.0461538461538462","-0.0151515151515152","5.68342498036135"
"MD","1996-02-02","8.375","8.375","8.1875","8.1875","260400","8.1875","NONE","0","0.0229007633587786","-0.0223880597014925","-0.923483779971791"
"MD","1996-02-05","8.1875","8.8125","8.1875","8.71875","209600","8.71875","NONE","0","0.0763358778625954","0.0648854961832061","-0.195084485407066"
"MD","1996-02-06","8.625","8.8125","8.5625","8.5625","87200","8.5625","NONE","0","0.0291970802919708","-0.0072463768115942","-0.583969465648855"
"MD","1996-02-07","8.5625","8.75","8.5","8.5","42800","8.5","NONE","0","0.0294117647058824","-0.0072992700729927","-0.509174311926605"
"MD","1996-02-08","8.75","8.75","8.5","8.5625","27200","8.5625","NONE","0","0.0294117647058824","-0.0214285714285714","-0.364485981308411"
"MD","1996-02-09","8.75","8.75","8.5","8.6875","21600","8.6875","NONE","0","0.0294117647058824","-0.00714285714285714","-0.205882352941176"
"MD","1996-02-12","8.4375","8.6875","8.4375","8.625","52800","8.625","NONE","0","0.0296296296296296","0.0222222222222222","1.44444444444444"
"MD","1996-02-13","8.5625","8.5625","8.375","8.375","896000","8.375","NONE","0","0.0223880597014925","-0.0218978102189781","15.969696969697"
"MD","1996-02-14","8.375","8.5","8.3125","8.375","439600","8.375","NONE","0","0.0225563909774436","0","-0.509375"
"MD","1996-02-15","8.4375","8.4375","8.3125","8.4375","10400","8.4375","NONE","0","0.0150375939849624","0","-0.976342129208371"
"MD","1996-02-16","8.5","8.5","8.3125","8.375","89200","8.375","NONE","0","0.0225563909774436","-0.0147058823529412","7.57692307692308"
"MD","1996-02-20","8.5","8.5","8.3125","8.3125","16800","8.3125","NONE","0","0.0225563909774436","-0.0220588235294118","-0.811659192825112"
"MD","1996-02-21","8.3125","8.5625","8.3125","8.46875","300400","8.46875","NONE","0","0.0300751879699248","0.018796992481203","16.8809523809524"
"MD","1996-02-22","8.5","8.5625","8.3125","8.5625","135200","8.5625","NONE","0","0.0300751879699248","0.00735294117647059","-0.549933422103862"
"MD","1996-02-23","8.5625","10","8.5625","9.25","974400","9.25","NONE","0","0.167883211678832","0.0802919708029197","6.20710059171598"
"MD","1996-02-26","9.375","10.1875","9.1875","9.8125","1104000","9.8125","NONE","0","0.108843537414966","0.0466666666666667","0.133004926108374"
"MD","1996-02-27","9.875","9.9375","9.25","9.28125","402400","9.28125","NONE","0","0.0743243243243243","-0.060126582278481","-0.635507246376812"
"MD","1996-02-28","9.25","9.5625","9.25","9.3125","101600","9.3125","NONE","0","0.0337837837837838","0.00675675675675676","-0.747514910536779"
"MD","1996-02-29","9.3125","9.5625","9.3125","9.5625","255600","9.5625","NONE","0","0.0268456375838926","0.0268456375838926","1.51574803149606"
"MD","1996-03-01","9.5625","9.5625","9.3125","9.5625","41200","9.5625","NONE","0","0.0268456375838926","0","-0.838810641627543"
"MD","1996-03-04","9.5625","9.6875","9.3125","9.4375","76000","9.4375","NONE","0","0.0402684563758389","-0.0130718954248366","0.844660194174757"
"MD","1996-03-05","9.4375","9.75","9.4375","9.5","170800","9.5","NONE","0","0.033112582781457","0.00662251655629139","1.24736842105263"
"MD","1996-03-06","9.75","9.75","9.4375","9.75","190000","9.75","NONE","0","0.033112582781457","0","0.112412177985948"
"MD","1996-03-07","9.5","9.75","9.4375","9.5625","312400","9.5625","NONE","0","0.033112582781457","0.00657894736842105","0.644210526315789"
"MD","1996-03-08","9.5625","9.625","9.25","9.5","178000","9.5","NONE","0","0.0405405405405405","-0.0065359477124183","-0.430217669654289"
"MD","1996-03-11","9.375","9.5","9.375","9.375","148800","9.375","NONE","0","0.0133333333333333","0","-0.164044943820225"
"MD","1996-03-12","9.25","9.5","9.25","9.3125","217200","9.3125","NONE","0","0.027027027027027","0.00675675675675676","0.459677419354839"
"MD","1996-03-13","9.25","9.28125","9.1875","9.1875","49600","9.1875","NONE","0","0.0102040816326531","-0.00675675675675676","-0.771639042357274"
"MD","1996-03-14","9.125","9.375","9.0625","9.0625","83600","9.0625","NONE","0","0.0344827586206897","-0.00684931506849315","0.685483870967742"
"MD","1996-03-15","9.09375","9.3125","9.0625","9.25","64400","9.25","NONE","0","0.0275862068965517","0.0171821305841924","-0.229665071770335"
"MD","1996-03-18","9.0625","9.25","8.375","8.5625","237200","8.5625","NONE","0","0.104477611940299","-0.0551724137931034","2.6832298136646"
"MD","1996-03-19","8.5625","8.875","8.5625","8.75","332400","8.75","NONE","0","0.0364963503649635","0.0218978102189781","0.401349072512648"
"MD","1996-03-20","8.75","9.4375","8.75","9.1875","273600","9.1875","NONE","0","0.0785714285714286","0.05","-0.176895306859206"
"MD","1996-03-21","9.1875","9.375","9.0625","9.1875","392000","9.1875","NONE","0","0.0344827586206897","0","0.432748538011696"
