"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"MEE","2008-06-23","34.263","35.096699","34.263","35.096699","134","35.096699","NONE","0","0.024332341009252","0.024332341009252","0"
"MEE","2008-06-24","42.622601","42.622601","42.622601","42.622601","0","42.622601","UP","0.214433328900818","0","0","-1"
"MEE","2008-06-25","44.212299","44.212299","44.212299","44.212299","0","44.212299","UP","0.0372970668777346","0","0","NaN"
"MEE","2008-06-26","36.013699","36.013699","36.013699","36.013699","60","36.013699","DOWN","-0.185437088444552","0","0","Inf"
"MEE","2008-06-27","37.014099","37.0975","37.014099","37.0975","144","37.0975","UP","0.0277783184670922","0.00225322248151968","0.00225322248151968","1.4"
"MEE","2008-06-30","48.782501","48.782501","48.782501","48.782501","0","48.782501","UP","0.314980820810028","0","0","-1"
"MEE","2008-07-01","45.801899","45.801899","38.097801","38.097801","0","38.097801","DOWN","-0.0610998193799044","0.202218967966156","-0.168204772470242","NaN"
"MEE","2008-07-02","36.097099","36.097099","36.097099","36.097099","38","36.097099","DOWN","-0.0525148944948292","0","0","Inf"
"MEE","2008-07-03","40.337502","40.337502","40.337502","40.337502","0","40.337502","UP","0.117472127053756","0","0","-1"
"MEE","2008-07-07","31.678699","31.678699","31.678699","31.678699","360","31.678699","DOWN","-0.214658879967332","0","0","Inf"
"MEE","2008-07-08","31.678699","31.678699","31.5954","31.5954","79","31.5954","NONE","0","0.00263642808763302","-0.00262949561154643","-0.780555555555556"
"MEE","2008-07-09","29.177799","29.261101","29.177799","29.261101","86","29.261101","DOWN","-0.0738809763446578","0.00285497888308847","0.00285497888308847","0.0886075949367089"
"MEE","2008-07-10","27.6772","27.6772","27.6772","27.6772","0","27.6772","DOWN","-0.0514294789678961","0","0","-1"
"MEE","2008-07-11","29.8447","29.8447","29.8447","29.8447","173","29.8447","UP","0.0783135577298282","0","0","Inf"
"MEE","2008-07-14","30.1782","30.1782","30.1782","30.1782","0","30.1782","UP","0.0111745133976887","0","0","-1"
"MEE","2008-07-15","28.5942","28.5942","28.344101","28.344101","108","28.344101","DOWN","-0.0524882199733582","0.00882367022330334","-0.00874649404424682","Inf"
"MEE","2008-08-20","15.9227","15.9227","15.9227","15.9227","240","15.9227","DOWN","-0.43823584314775","0","0","1.22222222222222"
"MEE","2008-08-21","14.6722","14.6722","14.6722","14.6722","0","14.6722","DOWN","-0.0785356754821733","0","0","-1"
"MEE","2008-08-22","14.1721","14.1721","14.1721","14.1721","0","14.1721","DOWN","-0.0340848679816251","0","0","NaN"
"MEE","2008-08-25","15.3392","17.673401","15.3392","17.673401","2","17.673401","UP","0.082351945018734","0.152172277563367","0.152172277563367","Inf"
