"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"MKTX","2019-07-01","322.369995","324.859985","318.029999","322.579987","490100","316.729431","NONE","0","0.0214759174338142","0.000651400574671969","0"
"MKTX","2019-07-02","323.51001","332.029999","320.420013","330.890015","355000","324.888733","NONE","0","0.0362336481148573","0.0228122925779019","-0.275658028973679"
"MKTX","2019-07-03","332.880005","339.850006","331.179993","338.5","271500","332.360809","NONE","0","0.0261791569033579","0.0168829455527075","-0.235211267605634"
"MKTX","2019-07-05","339.269989","344.25","335.019989","341.899994","222600","335.699005","NONE","0","0.0275506277328425","0.00775195297335887","-0.180110497237569"
"MKTX","2019-07-08","341.970001","344.609985","338.350006","341.5","330200","335.306335","NONE","0","0.0185014892537049","-0.00137439248655038","0.483378256963163"
"MKTX","2019-07-09","340.910004","344.220001","336.589996","342.899994","323700","336.680878","NONE","0","0.0226685436010405","0.00583728836540678","-0.0196850393700787"
"MKTX","2019-07-10","343.950012","352.070007","343.950012","349.399994","364000","343.063049","NONE","0","0.0236080672094873","0.0158452734695645","0.124497991967871"
"MKTX","2019-07-11","349.320007","356.279999","348.769989","354.529999","295500","348.099945","NONE","0","0.0215328446737427","0.0149146681999236","-0.188186813186813"
"MKTX","2019-07-12","356.049988","359.320007","354.079987","358.279999","249500","351.781982","NONE","0","0.0147989725270747","0.00626319639140106","-0.155668358714044"
"MKTX","2019-07-15","359.940002","361.779999","356.890015","360.790009","276000","354.24649","NONE","0","0.0137016553965511","0.00236152412979096","0.106212424849699"
"MKTX","2019-07-16","361.589996","364.320007","360.649994","363.109985","308000","356.524384","NONE","0","0.0101761071982715","0.0042036256998659","0.115942028985507"
"MKTX","2019-07-17","364.049988","368.950012","362.279999","368.029999","254300","361.355103","NONE","0","0.0184112096124855","0.0109325947842086","-0.174350649350649"
"MKTX","2019-07-18","368.320007","373.380005","366.440002","372.799988","255700","366.038574","NONE","0","0.0189389885441601","0.0121632844126222","0.005505308690523"
"MKTX","2019-07-19","373.980011","373.980011","366.350006","367.029999","248600","360.373291","NONE","0","0.0208270912379895","-0.0185839130316513","-0.0277669143527571"
"MKTX","2019-07-22","368.769989","372.429993","366.5","370.480011","259000","363.760681","NONE","0","0.0161800627557982","0.0046370964314018","0.0418342719227675"
"MKTX","2019-07-23","372.950012","372.950012","365.470001","367.809998","301600","361.13913","NONE","0","0.0204668262224893","-0.0137820454072006","0.164478764478764"
"MKTX","2019-07-24","354.809998","356.880005","331","334.25","1103300","328.187805","DOWN","-0.0235039701658031","0.0781873262839879","-0.0579465012708013","2.65815649867374"
"MKTX","2019-07-25","334.380005","345.160004","333.049988","344","575700","337.761017","NONE","0","0.036360956121698","0.0287696478741306","-0.47820175836128"
"MKTX","2019-07-26","345.929993","348.660004","344.019989","347.940002","483800","341.629486","NONE","0","0.0134876319643159","0.00581045020863504","-0.159631752648949"
"MKTX","2019-07-29","346.720001","346.720001","336.630005","336.899994","453500","330.789795","NONE","0","0.0299735491493102","-0.0283225858666285","-0.06262918561389"
