"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"MMC","1996-01-02","14.729167","14.75","14.666667","14.708333","789600","7.687624","NONE","0","0.00568179532541372","-0.00141447238665979","0.00920754473993288","0","2","NA"
"MMC","1996-01-03","14.708333","14.875","14.708333","14.854167","1679400","7.763844","NONE","0","0.0113314676789001","0.00991505971478894","-0.00896452241352941","1.12689969604863","3","NA"
"MMC","1996-01-04","14.875","14.9375","14.75","14.791667","789600","7.731176","NONE","0","0.0127118644067797","-0.00560221848739494","-0.000224078685102225","-0.529832082886745","4","NA"
"MMC","1996-01-05","14.729167","14.8125","14.625","14.729167","603600","7.698513","NONE","0","0.0128205128205128","0","-0.00160270354665305","-0.235562310030395","5","NA"
"MMC","1996-01-08","14.729167","14.833333","14.6875","14.833333","283200","7.752952","NONE","0","0.00992905531914891","0.00707209036329069","-0.00423445202830026","-0.530815109343936","1","NA"
"MMC","1996-01-09","14.666667","14.6875","14.416667","14.541667","426600","7.669446","NONE","0","0.018786103611882","-0.00852272707902893","-0.00604573277204287","0.50635593220339","2","NA"
"MMC","1996-01-10","14.416667","14.416667","14.041667","14.041667","463800","7.405746","NONE","0","0.0267062308200301","-0.0260115600922183","0.00801167202264506","0.0872011251758087","3","NA"
"MMC","1996-01-11","14.083333","14.208333","14.041667","14.166667","744000","7.471666","NONE","0","0.0118693884422697","0.00591720724064401","0.00111731712222623","0.604139715394567","4","NA"
"MMC","1996-01-12","14.145833","14.333333","14.145833","14.333333","704400","7.559577","NONE","0","0.0132547867629994","0.0132547867629994","-0.0147149138550033","-0.0532258064516129","5","NA"
"MMC","1996-01-15","14.3125","14.458333","14.1875","14.416667","718800","7.603524","NONE","0","0.0190895506607929","0.0072780436681223","-0.0105847202049251","0.020442930153322","1","NA"
"MMC","1996-01-16","14.375","14.520833","14.333333","14.5","798000","7.647474","NONE","0","0.0130813956530557","0.00869565217391304","0.00567531728259596","0.110183639398998","2","NA"
"MMC","1996-01-17","14.458333","14.5625","14.416667","14.5625","498000","7.680437","NONE","0","0.0101155835811426","0.00720463417186479","-0.010606788851366","-0.37593984962406","3","NA"
"MMC","1996-01-18","14.541667","14.583333","14.4375","14.458333","1443600","7.625498","NONE","0","0.010100987012987","-0.00573070473969736","0.00881462217528884","1.89879518072289","4","NA"
"MMC","1996-01-19","14.458333","14.5","14.4375","14.479167","1054800","7.636488","NONE","0","0.00432900432900433","0.00144096833293304","0.00446135157207676","-0.269326683291771","5","NA"
"MMC","1996-01-22","14.458333","14.5","14.375","14.416667","982800","7.603524","NONE","0","0.00869565217391304","-0.00288179833733248","0.00544788198209755","-0.068259385665529","1","NA"
"MMC","1996-01-23","14.3125","14.375","14.291667","14.333333","547200","7.559577","NONE","0","0.00583088033047507","0.00145558078602618","-0.00245011286318829","-0.443223443223443","2","NA"
"MMC","1996-01-24","14.291667","14.6875","14.291667","14.666667","835200","7.735373","NONE","0","0.0276967690333115","0.0262390664434037","-0.0145384116392875","0.526315789473684","3","NA"
"MMC","1996-01-25","14.666667","15.020833","14.666667","15.020833","1608000","7.922162","NONE","0","0.0241476812693708","0.0241476812693708","-0.028873781172632","0.925287356321839","4","NA"
"MMC","1996-01-26","14.916667","15.125","14.791667","15.125","1929600","7.977103","NONE","0","0.0225351882245591","0.013966457788459","-0.00652765289360032","0.2","5","NA"
"MMC","1996-01-29","15.083333","15.270833","15.041667","15.1875","881400","8.010068","NONE","0","0.0152354124047554","0.00690609960013482","-0.0027235185684549","-0.543221393034826","1","NA"
