"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"PWER","2000-10-23","86.5","88.938004","85","87.375","3080800","87.375","NONE","0","0.0463294588235295","0.0101156069364162","0"
"PWER","2000-10-24","86.25","88.75","84.375","87.030998","2918900","87.030998","NONE","0","0.0518518518518519","0.00905504927536228","-0.0525512853804207"
"PWER","2000-10-25","82.440002","86.125","74","75.75","6503700","75.75","NONE","0","0.163851351351351","-0.0811499495111609","1.22813388605297"
"PWER","2000-10-26","72.940002","78.25","68.688004","73.938004","3658500","73.938004","NONE","0","0.139209111390105","0.0136825057942828","-0.437474053231238"
"PWER","2000-10-27","74.970001","76.5","70.688004","74.188004","2232300","74.188004","NONE","0","0.0822204005081257","-0.0104307988471281","-0.389831898318983"
"PWER","2000-10-30","73.129997","73.5","60.75","61.438","5002400","61.438","NONE","0","0.209876543209877","-0.15987963188348","1.24091743941227"
"PWER","2000-10-31","63.25","72.063004","63.188","70.938004","4753500","70.938004","NONE","0","0.140453946951953","0.121549470355731","-0.0497561170638094"
"PWER","2000-11-01","71.309998","72.375","66.688004","71.5","2498500","71.5","NONE","0","0.0852776460366094","0.00266445106336992","-0.474387293573157"
"PWER","2000-11-02","74.129997","78.625","73","77.25","2458800","77.25","UP","0.00863557858376511","0.0770547945205479","0.0420882655640738","-0.0158895337202321"
"PWER","2000-11-03","74.5","75.563004","72.313004","74.75","4874000","74.75","NONE","0","0.0449435069797405","0.00335570469798658","0.982267772897348"
"PWER","2000-11-06","77.5","78.5","74.625","75.25","1565400","75.25","NONE","0","0.0519262981574539","-0.0290322580645161","-0.678826425933525"
"PWER","2000-11-07","75","75","62.25","65.094002","4278200","65.094002","NONE","0","0.204819277108434","-0.132079973333333","1.73297559729143"
"PWER","2000-11-08","61.310001","65.75","57","57.625","4525900","57.625","NONE","0","0.153508771929825","-0.0601044028689544","0.0578981814781918"
"PWER","2000-11-09","58.75","63.375","57.5","60.625","4111800","60.625","NONE","0","0.102173913043478","0.0319148936170213","-0.0914956141319958"
"PWER","2000-11-10","58.560001","61.875","58.25","59.125","2219100","59.125","NONE","0","0.0622317596566524","0.00964820680245549","-0.460309353567781"
"PWER","2000-11-13","53.880001","65.063004","52.5","59.875","3130500","59.875","NONE","0","0.239295314285714","0.111265755173241","0.410707043395971"
"PWER","2000-11-14","62.875","62.875","56.75","60.030998","1981900","60.030998","NONE","0","0.107929515418502","-0.0452326361829026","-0.366906245008785"
"PWER","2000-11-15","60.75","63.688","59.25","62.625","1784500","62.625","NONE","0","0.0749029535864979","0.0308641975308642","-0.0996013926030577"
"PWER","2000-11-16","60.439999","64.875","60.063","62.063","1248100","62.063","NONE","0","0.0801158783277558","0.0268530944217918","-0.300588400112076"
"PWER","2000-11-17","62.75","63","59.375","60.188","1468500","60.188","NONE","0","0.0610526315789474","-0.0408286852589641","0.176588414389873"
"PWER","2000-11-20","57.75","58.375","52.063","52.75","1427100","52.75","DOWN","-0.0168421052631579","0.121237731210264","-0.0865800865800866","-0.0281920326864147"
"PWER","2000-11-21","50.439999","57.875","50.375","55.25","1422600","55.25","NONE","0","0.148883374689826","0.0953608464583831","-0.00315324784528064"
"PWER","2000-11-22","52.939999","56.5","50","51","1659400","51","NONE","0","0.13","-0.0366452405864231","0.166455785182061"
"PWER","2000-11-24","52.880001","59","52.188","57.063","820700","57.063","NONE","0","0.130528090748831","0.0791036104556806","-0.505423647101362"
"PWER","2000-11-27","61.130001","62","57.688","61.688","1610900","61.688","NONE","0","0.0747469144362779","0.00912807117408688","0.962836602899963"
"PWER","2000-11-28","59.25","60.375","50.938","52.063","2089300","52.063","NONE","0","0.18526443912207","-0.121299578059072","0.29697684524179"
"PWER","2000-11-29","52.060001","53.563","49.5","50.438","1332600","50.438","NONE","0","0.0820808080808081","-0.0311563766585405","-0.362178720145503"
"PWER","2000-11-30","46.810001","47","41.75","42.313","3021400","42.313","DOWN","-0.0505050505050505","0.125748502994012","-0.0960692352901252","1.26729701335735"
"PWER","2000-12-01","43.689999","54.375","43.625","50.125","3357000","50.125","NONE","0","0.246418338108883","0.147287735117595","0.111074336400344"
"PWER","2000-12-04","51.880001","54.844002","47.75","53.25","1774700","53.25","NONE","0","0.148565486910995","0.0264070735079593","-0.47134346142389"
"PWER","2000-12-05","58","63.875","56.375","62","3109000","62","UP","0.0279155047802674","0.133037694013304","0.0689655172413793","0.751845382318138"
"PWER","2000-12-06","62.75","63.5","57.125","57.938","1745900","57.938","NONE","0","0.111597374179431","-0.0766852589641434","-0.438436796397556"
"PWER","2000-12-07","55.060001","59.625","53.375","59","1301500","59","NONE","0","0.117096018735363","0.0715582805746771","-0.2545392061401"
"PWER","2000-12-08","64","66.188004","62.5","65.125","1914500","65.125","UP","0.0482180293501048","0.0590080640000001","0.017578125","0.470995005762582"
"PWER","2000-12-11","67","70.5","66.063004","68.875","2380400","68.875","NONE","0","0.067163097820983","0.0279850746268657","0.243353355967616"
"PWER","2000-12-12","68.379997","68.844002","61.5","62.125","2271000","62.125","NONE","0","0.119414666666667","-0.0914740753790908","-0.045958662409679"
"PWER","2000-12-13","64.125","64.125","56.375","57.063","2292000","57.063","NONE","0","0.137472283813747","-0.11012865497076","0.00924702774108322"
"PWER","2000-12-14","56.310001","58.875","51.625","52.188","2359800","52.188","NONE","0","0.14043583535109","-0.0732019344130361","0.0295811518324607"
"PWER","2000-12-15","47.75","49.688","42.875","47.25","6816000","47.25","DOWN","-0.0375205811138014","0.158903790087464","-0.0104712041884817","1.8883803712179"
"PWER","2000-12-18","50.630001","52.5","42.813","44.75","3436700","44.75","NONE","0","0.226263050942471","-0.116136695316281","-0.495789319248826"
"PWER","2000-12-19","43.939999","47.563","42","42.375","2751000","42.375","NONE","0","0.132452380952381","-0.0356167281660612","-0.199522798032997"
"PWER","2000-12-20","38.810001","39.125","33.125","36.063","4361700","36.063","DOWN","-0.068452380952381","0.181132075471698","-0.0707807505596302","0.585496183206107"
"PWER","2000-12-21","31.25","38.155998","31","34.875","3351500","34.875","NONE","0","0.23083864516129","0.116","-0.231606942247289"
"PWER","2000-12-22","36.689999","40.75","36.25","38.75","2871700","38.75","NONE","0","0.124137931034483","0.0561461176382152","-0.143159779203342"
"PWER","2000-12-26","40.630001","41.5","34.375","35.25","2384400","35.25","NONE","0","0.207272727272727","-0.132414493418299","-0.169690427273044"
"PWER","2000-12-27","34.560001","40.25","34.375","38.405998","2528500","38.405998","NONE","0","0.170909090909091","0.111284632196625","0.0604344908572387"
"PWER","2000-12-28","38.5","46","38","42.5","2465800","42.5","NONE","0","0.210526315789474","0.103896103896104","-0.0247973106584932"
"PWER","2000-12-29","44.380001","45","39","39.313","2202100","39.313","NONE","0","0.153846153846154","-0.114173070883887","-0.106942979965934"
"PWER","2001-01-02","36.5","38.063","33.063","34.438","2636600","34.438","DOWN","-0.024025641025641","0.151226446480961","-0.0564931506849314","0.19731165705463"
"PWER","2001-01-03","31.625","43.375","31.625","43.375","4156700","43.375","NONE","0","0.371541501976285","0.371541501976285","0.576537965561708"
"PWER","2001-01-04","41.189999","43.875","39.5","41.125","2298600","41.125","NONE","0","0.110759493670886","-0.001578028686041","-0.447013255707653"
"PWER","2001-01-05","41.939999","42.438","34.438","35.813","2048200","35.813","NONE","0","0.232301527382543","-0.146089631523358","-0.108935874010267"
"PWER","2001-01-08","33.310001","35.938","32.563","35.875","1123200","35.875","NONE","0","0.1036452415318","0.0770038703991633","-0.451616053119813"
"PWER","2001-01-09","36.060001","39.5","34.813","37","1665200","37","NONE","0","0.134633613879872","0.0260676365483185","0.482549857549858"
"PWER","2001-01-10","36.060001","40.5","34.5","38.75","1857800","38.75","NONE","0","0.173913043478261","0.0745978626012795","0.115661782368484"
"PWER","2001-01-11","37.75","43.563","37.688","41.625","1936800","41.625","NONE","0","0.155885162385905","0.102649006622517","0.0425234147916891"
"PWER","2001-01-12","42.5","47.188","40.75","45.625","2645600","45.625","NONE","0","0.15798773006135","0.0735294117647059","0.365964477488641"
"PWER","2001-01-16","45.75","46.188","41.188","42","2040600","42","NONE","0","0.121394580945907","-0.0819672131147541","-0.22868158451769"
"PWER","2001-01-17","45.880001","47","42.688","43.625","2174500","43.625","NONE","0","0.101011994002998","-0.0491499771327381","0.0656179555032834"
"PWER","2001-01-18","43.75","44.063","39.625","42.688","3075700","42.688","NONE","0","0.112","-0.0242742857142857","0.414440101172683"
"PWER","2001-01-19","45.75","46.813","42.875","45.25","1908100","45.25","NONE","0","0.0918483965014578","-0.0109289617486339","-0.379620899307475"
"PWER","2001-01-22","46.060001","47.875","44","47.5","1516800","47.5","NONE","0","0.0880681818181818","0.0312635468679213","-0.205073109375819"
