"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"RE","2017-06-19","257.160004","259.940002","256.910004","257.320007","487900","230.773346","NONE","0","0.0117940054992953","0.000622192399716873","0.00384441494962555","0","1","NA"
"RE","2017-06-20","256.75","257.899994","253.539993","254.860001","321800","228.567154","NONE","0","0.0171965020129979","-0.00736124245374874","0.00179952296208879","-0.340438614470178","2","NA"
"RE","2017-06-21","254.850006","257.040009","254.029999","256.579987","369900","230.109695","NONE","0","0.0118490336253554","0.0067882321336889","-0.00830503479940526","0.14947172156619","3","NA"
"RE","2017-06-22","256.48999","258.200012","255.350006","256.73999","368900","230.253189","NONE","0","0.0111611745957821","0.000974696907275017","-0.00216444915007301","-0.00270343336036767","4","NA"
"RE","2017-06-23","257.220001","257.220001","253.360001","253.979996","469900","227.777924","NONE","0","0.0152352383358256","-0.0125962405233022","0.0140954897570426","0.27378693412849","5","NA"
"RE","2017-06-26","254.880005","256.299988","253.669998","254.149994","299100","227.930374","NONE","0","0.0103677613463772","-0.00286413600784424","0.00112469955182607","-0.363481591828049","1","NA"
"RE","2017-06-27","254.279999","254.550003","252.160004","253.410004","355900","227.266739","NONE","0","0.00947810502096921","-0.00342140555065842","-0.00353993990498466","0.189903042460715","2","NA"
"RE","2017-06-28","254.490005","256.01001","253.669998","255.070007","532000","228.755478","NONE","0","0.00922463049808527","0.00227907575387885","0.00265771769195757","0.494801910649059","3","NA"
"RE","2017-06-29","256.209991","256.25","253.809998","255.160004","346000","228.836197","NONE","0","0.00961349836187301","-0.00409815009907251","-0.00518784679185423","-0.349624060150376","4","NA"
"RE","2017-06-30","255.050003","255.710007","252.389999","254.589996","427400","228.324966","NONE","0","0.0131542771629394","-0.00180359535224154","-0.000579921491489852","0.235260115606936","5","NA"
"RE","2017-07-03","255.600006","268.380005","254.929993","263.950012","523900","236.719406","NONE","0","0.0527596295819142","0.0326682543192116","-0.0336470701836897","0.225783809078147","1","NA"
"RE","2017-07-05","264.799988","265.700012","262.369995","262.75","522600","235.643173","NONE","0","0.0126920648834102","-0.00774164687650962","0.0084656984068836","-0.00248138957816377","3","NA"
"RE","2017-07-06","262.5","263.130005","260.910004","261.320007","437800","234.360718","NONE","0","0.00850868485671392","-0.00449521142857152","-0.001153759180682","-0.162265595101416","4","NA"
"RE","2017-07-07","262.779999","264.070007","261.040009","263.209991","281500","236.055725","NONE","0","0.0116074084260393","0.00163631936082025","0.00319476217294721","-0.357012334399269","5","NA"
