"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"RSG","2008-12-05","21.700001","22.780001","21.17","22.6","4911600","16.092617","NONE","0","0.0760510628247519","0.0414746063836587","0"
"RSG","2008-12-08","23.27","24","22.950001","23.5","3896400","16.733479","UP","0.00746268623956609","0.0457515884204101","0.00988397077782554","-0.206694356217933"
"RSG","2008-12-09","23.51","23.93","22.950001","23.74","4654100","16.904371","NONE","0","0.0427014796208505","0.00978307103360259","0.19446155425521"
"RSG","2008-12-10","23.73","24.25","23.59","23.83","5173900","16.968458","NONE","0","0.0279779567613396","0.0042140750105351","0.111686469994199"
"RSG","2008-12-11","23.370001","23.610001","22.27","22.58","2764100","16.078382","NONE","0","0.0601706780422093","-0.0338040635941779","-0.465760838052533"
"RSG","2008-12-12","22.120001","23.83","21.969999","23.83","4478700","16.968458","NONE","0","0.0846609505990418","0.0773055570838356","0.620310408451214"
"RSG","2008-12-15","24.07","24.389999","22.790001","23.360001","3026200","16.633793","NONE","0","0.0702061399646274","-0.0294972579975073","-0.324312858642017"
"RSG","2008-12-16","23.59","23.85","22.77","23.43","4042100","16.683628","NONE","0","0.0474308300395258","-0.00678253497244596","0.335701539885004"
"RSG","2008-12-17","22.92","23.309999","22.219999","22.66","3258400","16.135338","NONE","0","0.0490549076982407","-0.0113438045375219","-0.193884367036936"
"RSG","2008-12-18","22.690001","23.52","22.379999","22.75","3584400","16.199423","NONE","0","0.0509383847604282","0.00264429252338954","0.100049103854653"
"RSG","2008-12-19","22.92","23.799999","22.879999","23.51","3405300","16.740597","NONE","0","0.0402097919672111","0.0257417102966841","-0.0499665215935721"
"RSG","2008-12-22","23.49","23.530001","22.940001","23.42","2306300","16.67651","NONE","0","0.0257192665335978","-0.00297999148573847","-0.32273221155258"
"RSG","2008-12-23","23.85","23.85","22.620001","22.719999","2233700","16.178064","NONE","0","0.0543766112123515","-0.0473794968553459","-0.0314789923253696"
"RSG","2008-12-24","22.790001","23.01","22.65","22.969999","498100","16.356085","NONE","0","0.0158940397350995","0.00789811286098676","-0.777006760084165"
"RSG","2008-12-26","22.940001","23.16","22.780001","23.110001","696600","16.455772","NONE","0","0.0166812547549933","0.00741063611985029","0.39851435454728"
"RSG","2008-12-29","23.120001","23.35","22.73","23.219999","1509600","16.534105","NONE","0","0.0272767267927849","0.0043251728233058","1.16709732988803"
"RSG","2008-12-30","23.299999","23.790001","23","23.780001","2043700","17.072556","NONE","0","0.0343478695652174","0.0206009450901693","0.353802331743508"
"RSG","2008-12-31","23.799999","25","23.68","24.790001","2716100","17.797668","NONE","0","0.0557432432432433","0.0415967244368372","0.329011107305378"
"RSG","2009-01-02","24.99","25.200001","24.540001","25.07","3736300","17.998695","NONE","0","0.0268948644297121","0.00320128051220496","0.375612090865579"
