"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","adjustedDailyReturns","relativeVolume","weekday","month"
"R","1996-01-02","24.5","25.25","24.5","25.25","208100","13.1866","NONE","0","0.0306122448979592","0.0306122448979592","-0.0228191725446861","0","2","NA"
"R","1996-01-03","25.25","25.4375","25","25.25","205800","13.1866","NONE","0","0.0175","0","0.000950537301259523","-0.0110523786641038","3","NA"
"R","1996-01-04","25.25","25.25","24.375","24.75","234200","12.925478","NONE","0","0.0358974358974359","-0.0198019801980198","0.0139756830255226","0.137998056365403","4","NA"
"R","1996-01-05","24.875","24.875","24.25","24.5","237500","12.794917","NONE","0","0.0257731958762887","-0.0150753768844221","0.0134726733377691","0.0140905209222886","5","NA"
"R","1996-01-08","24.5","24.5","24.125","24.5","72200","12.794917","NONE","0","0.0155440414507772","0","0.00283763833499044","-0.696","1","NA"
"R","1996-01-09","24.625","24.625","24.5","24.5","111500","12.794917","NONE","0","0.00510204081632653","-0.0050761421319797","-0.00949231771909211","0.544321329639889","2","NA"
"R","1996-01-10","24.125","24.375","24","24.25","228700","12.664364","DOWN","-0.00510204081632653","0.015625","0.00518134715025907","-0.0231812352198323","1.05112107623318","3","NA"
"R","1996-01-11","24.25","24.375","24.125","24.125","152000","12.599084","NONE","0","0.0103626943005181","-0.00515463917525773","0.012189163538128","-0.335373852208133","4","NA"
"R","1996-01-12","24.125","24.25","23.875","24.25","156200","12.664364","NONE","0","0.0157068062827225","0.00518134715025907","-0.00664147424226299","0.0276315789473684","5","NA"
"R","1996-01-15","24.25","24.375","23.75","24.25","30000","12.664364","NONE","0","0.0263157894736842","0","-0.00330667653680276","-0.807938540332907","1","NA"
"R","1996-01-16","24.375","24.375","23.625","23.875","61800","12.468522","NONE","0","0.0317460317460317","-0.0205128205128205","0.0348837899693295","1.06","2","NA"
"R","1996-01-17","23.875","24","23.625","23.625","110000","12.337958","NONE","0","0.0158730158730159","-0.0104712041884817","0.00706904950898046","0.779935275080906","3","NA"
"R","1996-01-18","23.875","23.875","23.25","23.5","86800","12.272679","NONE","0","0.0268817204301075","-0.0157068062827225","0.018790723718314","-0.210909090909091","4","NA"
"R","1996-01-19","23.125","23.5","23","23.125","180800","12.076837","NONE","0","0.0217391304347826","0","0.0059023199050098","1.08294930875576","5","NA"
"R","1996-01-22","23.25","23.625","23.125","23.125","172400","12.076837","NONE","0","0.0216216216216216","-0.00537634408602151","0.00794242773078658","-0.0464601769911504","1","NA"
"R","1996-01-23","23.25","23.5","23","23","262400","12.011559","NONE","0","0.0217391304347826","-0.010752688172043","0.0097581560948809","0.522041763341067","2","NA"
"R","1996-01-24","23","23.25","22.875","23","80000","12.011559","NONE","0","0.0163934426229508","0","0.0117006548041162","-0.695121951219512","3","NA"
"R","1996-01-25","23","23.125","22.75","22.875","102400","11.946279","NONE","0","0.0164835164835165","-0.00543478260869565","0.000708682705434522","0.28","4","NA"
"R","1996-01-26","22.75","23","22.625","22.875","81000","11.946279","NONE","0","0.0165745856353591","0.00549450549450549","0.00194429940035321","-0.208984375","5","NA"
"R","1996-01-29","22.875","23.125","22.875","23.125","88300","12.076837","NONE","0","0.0109289617486339","0.0109289617486339","-0.00674638071695396","0.0901234567901235","1","NA"
"R","1996-01-30","23.25","23.25","23","23.125","164500","12.076837","NONE","0","0.0108695652173913","-0.00537634408602151","0.0148762852533957","0.862967157417894","2","NA"
"R","1996-01-31","23.25","23.625","23.25","23.375","476200","12.207396","NONE","0","0.0161290322580645","0.00537634408602151","0.00393889161410442","1.89483282674772","3","NA"
"R","1996-02-01","23.5","24.125","23.375","24","178500","12.533794","NONE","0","0.0320855614973262","0.0212765957446809","-0.017440235373509","-0.625157496850063","4","NA"
"R","1996-02-02","24","24.375","24","24.125","155300","12.599084","NONE","0","0.015625","0.00520833333333333","-0.00931194970666989","-0.129971988795518","5","NA"
"R","1996-02-05","24","24.75","24","24.75","171200","12.925478","NONE","0","0.03125","0.03125","-0.0224585339666733","0.102382485511912","1","NA"
"R","1996-02-06","25","25.25","24.75","25.25","651400","13.1866","NONE","0","0.0202020202020202","0.01","-0.00236078129573833","2.80490654205607","2","NA"
"R","1996-02-07","25.375","25.5","25.25","25.5","489500","13.317158","NONE","0","0.0099009900990099","0.00492610837438424","0.000643764454220553","-0.248541602701873","3","NA"
"R","1996-02-08","25.5","25.75","25.5","25.75","185700","13.447715","NONE","0","0.00980392156862745","0.00980392156862745","-0.000356728692270901","-0.620633299284985","4","NA"
"R","1996-02-09","25.75","26.75","25.75","26.75","341100","13.969962","NONE","0","0.0388349514563107","0.0388349514563107","-0.0383777014726211","0.836833602584814","5","NA"
"R","1996-02-12","26.875","27","26.625","26.875","299000","14.03524","NONE","0","0.0140845070422535","0","0.00773956311028507","-0.123424215772501","1","NA"
"R","1996-02-13","26.625","26.75","26.375","26.5","324400","13.839409","NONE","0","0.014218009478673","-0.00469483568075117","0.00327371241679082","0.0849498327759197","2","NA"
"R","1996-02-14","26.875","27.5","26.875","27","531300","14.100524","UP","0.00467289719626168","0.0232558139534884","0.00465116279069767","-0.0121150814677212","0.637792848335388","3","NA"
"R","1996-02-15","27.375","27.5","27","27","245700","14.100524","NONE","0","0.0185185185185185","-0.0136986301369863","0.00720055226772146","-0.537549407114625","4","NA"
"R","1996-02-16","26.875","26.875","26.375","26.75","138400","13.969962","DOWN","-0.00462962962962963","0.018957345971564","-0.00465116279069767","-0.000476926265531916","-0.436711436711437","5","NA"
"R","1996-02-20","26.25","26.375","25.375","25.625","782900","13.382441","NONE","0","0.0394088669950739","-0.0238095238095238","0.0124975138304502","4.65679190751445","2","NA"
"R","1996-02-21","25.5","26","25.5","26","441400","13.578279","NONE","0","0.0196078431372549","0.0196078431372549","-0.0079791040115073","-0.436198748243709","3","NA"
"R","1996-02-22","26","26.375","25.875","26.25","479000","13.708836","NONE","0","0.0193236714975845","0.00961538461538462","0.00698700606268578","0.0851835070231083","4","NA"
"R","1996-02-23","26.5","27","26.375","26.625","269000","13.904681","NONE","0","0.023696682464455","0.00471698113207547","-0.00438302246861233","-0.438413361169102","5","NA"
"R","1996-02-26","26.375","26.625","26.125","26.625","289300","13.904681","NONE","0","0.0191387559808612","0.00947867298578199","-0.0225575022290604","0.0754646840148699","1","NA"
"R","1996-02-27","26.625","26.625","25.75","25.75","911800","13.447715","NONE","0","0.0339805825242718","-0.0328638497652582","0.027913457902436","2.15174559281023","2","NA"
"R","1996-02-28","25.875","25.875","24.875","24.875","401200","12.990757","NONE","0","0.0402010050251256","-0.0386473429951691","0.0348002537570643","-0.559991226146085","3","NA"
"R","1996-02-29","24.875","25.25","24.875","25.09375","1137400","13.104999","NONE","0","0.0150753768844221","0.00879396984924623","-0.0154942521291998","1.83499501495513","4","NA"
"R","1996-03-01","25.375","25.75","25.25","25.625","682700","13.382441","NONE","0","0.0198019801980198","0.00985221674876847","-0.00370009701192777","-0.39977140847547","5","NA"
"R","1996-03-04","25.75","27.25","25.75","27.125","1149400","14.165808","NONE","0","0.058252427184466","0.0533980582524272","-0.0434037955617817","0.683609198769591","1","NA"
