"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"SWKS","2015-03-12","92.260002","93.160004","91.68","92.860001","3998000","83.302338","NONE","0","0.01614315008726","0.00650334908945696","0"
"SWKS","2015-03-13","92.589996","93.480003","92.139999","92.919998","3659200","83.35614","NONE","0","0.0145431301773727","0.00356412154937351","-0.0847423711855928"
"SWKS","2015-03-16","93.230003","96.860001","93.230003","96.779999","4697600","86.81884","NONE","0","0.0389359421129698","0.0380778277997053","0.283777874945343"
"SWKS","2015-03-17","96.510002","97.449997","95.139999","97.309998","3404100","87.294304","NONE","0","0.0242799876422113","0.00828925482770162","-0.275353371934605"
"SWKS","2015-03-18","96.830002","97.699997","95.349998","97.120003","3710800","87.123856","NONE","0","0.0246460309312224","0.00299494985035737","0.0900972356863782"
"SWKS","2015-03-19","97.449997","99.779999","97.25","99.57","4131600","89.321701","NONE","0","0.0260154138817481","0.021754777478341","0.113398728037081"
"SWKS","2015-03-20","100.139999","102.199997","99.75","102.050003","4122700","91.546448","NONE","0","0.0245613734335839","0.0190733375182079","-0.00215412915093426"
"SWKS","2015-03-23","102.25","102.769997","101.68","101.760002","3600400","91.286301","NONE","0","0.0107198760818253","-0.0047921564792176","-0.126688820433211"
"SWKS","2015-03-24","101.940002","102.709999","100.360001","101.459999","3644500","91.017151","NONE","0","0.0234156833059418","-0.00470868148501714","0.0122486390401067"
"SWKS","2015-03-25","101.239998","101.459999","94.019997","95.57","10500000","85.733391","NONE","0","0.0791321233503123","-0.0560055127618632","1.88105364247496"
"SWKS","2015-03-26","91.970001","93.470001","88.25","93.040001","13850700","83.463806","DOWN","-0.00584977682992276","0.0591501529745042","0.0116342284262888","0.319114285714286"
"SWKS","2015-03-27","93.589996","99.529999","93.550003","98.830002","9735700","88.657845","UP","0.000855910978325628","0.0639229910019351","0.0559889542040369","-0.297096897629723"
"SWKS","2015-03-30","100.089996","101.099998","99.110001","100.129997","4715400","89.824051","NONE","0","0.020078669961874","0.000399650330688431","-0.515658863769426"
"SWKS","2015-03-31","99.57","100.589996","98.019997","98.290001","3861100","88.173431","NONE","0","0.0262191295516975","-0.0128552676508988","-0.181172328964669"
"SWKS","2015-04-01","97.980003","98.300003","94.769997","96.839996","4613300","86.872673","NONE","0","0.0372481387753974","-0.0116350986435467","0.194814949107767"
"SWKS","2015-04-02","97.110001","97.639999","96.010002","96.510002","3025700","86.57666","NONE","0","0.0169773665872854","-0.00617855003420293","-0.344135434504585"
"SWKS","2015-04-06","94.139999","96.120003","93.610001","95.470001","3263800","85.643692","NONE","0","0.0268133957182631","0.0141279160200543","0.0786925339590838"
"SWKS","2015-04-07","95.529999","97.699997","95.25","96.779999","3088000","86.81884","NONE","0","0.0257217532808399","0.0130848949344174","-0.0538635945830014"
"SWKS","2015-04-08","96.650002","97.699997","96.080002","97.470001","2974700","87.437836","NONE","0","0.0168608968180496","0.00848421089530858","-0.036690414507772"
"SWKS","2015-04-09","97.239998","99.940002","97.059998","99.839996","3253100","89.563904","NONE","0","0.0296724094307112","0.0267379478967081","0.0935892695061687"
"SWKS","2015-04-10","99.870003","100.43","98.800003","99.639999","2128000","89.384491","NONE","0","0.0164979448431798","-0.00230303387494635","-0.345854723187114"
"SWKS","2015-04-13","99.5","100.57","98.389999","98.580002","2450000","88.433594","NONE","0","0.0221567336330595","-0.00924621105527645","0.151315789473684"
"SWKS","2015-04-14","98.239998","98.470001","94.57","95.639999","4966500","85.796196","NONE","0","0.041239304219097","-0.0264657884052481","1.02714285714286"
"SWKS","2015-04-15","96.699997","97.389999","95.529999","96.230003","3041300","86.325439","NONE","0","0.0194703236624131","-0.00486033107115815","-0.387637169032518"
"SWKS","2015-04-16","95.550003","96.389999","95.059998","95.68","2606800","85.832054","NONE","0","0.0139911742897366","0.0013605127777966","-0.142866537336008"
"SWKS","2015-04-17","94.760002","94.900002","93.25","94.279999","3517300","84.57618","DOWN","-0.00168310544252265","0.0176943914209115","-0.00506546000283956","0.349278809268068"
"SWKS","2015-04-20","94.989998","96","94.610001","94.93","2304900","85.159279","NONE","0","0.0146918823095669","-0.000631624394812527","-0.344696215847383"
"SWKS","2015-04-21","96.050003","96.290001","94.910004","95.419998","2075700","85.598831","NONE","0","0.0145400583904728","-0.00655913566186976","-0.0994403227905766"
"SWKS","2015-04-22","95.790001","96.989998","94.800003","96.830002","2454300","86.863701","NONE","0","0.0231012123491177","0.0108570935289999","0.182396300043359"
"SWKS","2015-04-23","95.459999","96.449997","95.099998","95.82","1914000","85.957649","NONE","0","0.0141955733795073","0.00377122358863629","-0.220144236645887"
"SWKS","2015-04-24","95.739998","95.809998","92.099998","93.389999","4133900","83.777771","NONE","0","0.0402823027205711","-0.0245456345215298","1.1598223615465"
"SWKS","2015-04-27","93.809998","96.220001","93.550003","94.550003","3831300","84.818375","NONE","0","0.0285408649318803","0.00788833829844033","-0.0731996419845666"
"SWKS","2015-04-28","95.279999","95.489998","90.68","94.550003","4526200","84.818375","NONE","0","0.0530436479929421","-0.0076615869821745","0.181374468196174"
"SWKS","2015-04-29","93.260002","94.209999","92.300003","93.589996","3534500","83.957191","NONE","0","0.0206933471063917","0.0035384301192702","-0.219102116565773"
"SWKS","2015-04-30","94.150002","94.75","91.339996","92.25","5306400","82.755104","NONE","0","0.0373330868111709","-0.0201805837455001","0.50131560333852"
"SWKS","2015-05-01","95.870003","98.330002","94.199997","98.300003","7376300","88.182411","NONE","0","0.043842941948289","0.025346823030766","0.39007613447912"
"SWKS","2015-05-04","98.940002","99.470001","97.57","99.110001","4707800","88.909058","NONE","0","0.0194732089781696","0.00171820291655129","-0.361766739422204"
