"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"UPS","2002-07-22","65","66.5","63.049999","63.110001","31436300","37.21904","NONE","0","0.0547184941271768","-0.0290769076923077","0"
"UPS","2002-07-23","62.400002","63","59.810001","60.299999","20086100","35.561852","DOWN","-0.000793005563727284","0.0533355450035856","-0.0336538931521188","-0.361053940826369"
"UPS","2002-07-24","60.099998","61.970001","58.799999","61.84","13967000","36.470081","NONE","0","0.0539115995563198","0.0289517813295103","-0.304643509690781"
"UPS","2002-07-25","61.830002","62.349998","60.400002","62.209999","7915000","36.688271","NONE","0","0.0322847009177251","0.00614583515620787","-0.433307080976588"
"UPS","2002-07-26","62.209999","62.93","61.709999","62.91","4815800","37.101093","NONE","0","0.0197699079528424","0.0112522265110468","-0.391560328490208"
"UPS","2002-07-29","63.299999","64.75","63.259998","64.5","5565300","38.038807","UP","0.0052438900365486","0.0235536207256914","0.0189573620688367","0.155633539598821"
"UPS","2002-07-30","64.5","64.910004","63.799999","64.5","4806400","38.038807","NONE","0","0.017398197764862","0","-0.136362819614396"
"UPS","2002-07-31","64.050003","65.370003","63.919998","65.339996","4590200","38.534176","NONE","0","0.0226846846897586","0.0201404049895204","-0.0449816910785619"
"UPS","2002-08-01","65.040001","65.050003","63.75","64.120003","5172700","37.814693","NONE","0","0.0203922039215687","-0.0141451104836239","0.126900788636661"
"UPS","2002-08-02","64.120003","64.120003","61.950001","62.799999","4910800","37.036221","NONE","0","0.0350282803062424","-0.0205864619189116","-0.0506311984070215"
"UPS","2002-08-05","62.799999","62.799999","61.040001","61.27","3847300","36.133896","NONE","0","0.028833518531561","-0.0243630417892204","-0.216563492709945"
"UPS","2002-08-06","61.950001","63.490002","61.799999","62.700001","3614500","36.977261","NONE","0","0.0273463273033386","0.012106537334842","-0.0605099680295272"
"UPS","2002-08-07","63.150002","63.25","61.759998","63.119999","3330900","37.224945","NONE","0","0.0241256808330855","-0.000475106873314124","-0.0784617512795684"
"UPS","2002-08-08","63.119999","64.400002","62.57","64.25","3530400","37.891346","NONE","0","0.0292472750519418","0.0179024242379979","0.0598937224173647"
"UPS","2002-08-09","64","64.900002","63.759998","64.650002","4815500","38.127254","NONE","0","0.0178796116022462","0.01015628125","0.364009743938364"
"UPS","2002-08-12","64.099998","64.150002","63.099998","63.759998","3145300","37.602383","NONE","0","0.0166403174846377","-0.00530421233398473","-0.346838334544699"
"UPS","2002-08-13","63.25","64.629997","63.25","63.509998","3205000","37.454941","NONE","0","0.0218181343873518","0.00411064031620558","0.0189807013639398"
