"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"UVN","2001-02-07","0.3","0.3","0.3","0.3","0","0.3","NONE","0","0","0","0"
"UVN","2001-02-08","0.21","0.3","0.21","0.3","7000","0.3","NONE","0","0.428571428571429","0.428571428571429","Inf"
"UVN","2001-02-09","0.3","0.3","0.3","0.3","0","0.3","NONE","0","0","0","-1"
"UVN","2001-02-12","0.3","0.3","0.3","0.3","0","0.3","NONE","0","0","0","NaN"
"UVN","2001-02-13","0.35","0.35","0.35","0.35","500","0.35","UP","0.166666666666667","0","0","Inf"
"UVN","2001-02-14","0.23","0.23","0.23","0.23","5000","0.23","DOWN","-0.342857142857143","0","0","9"
"UVN","2001-02-15","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","-1"
"UVN","2001-02-16","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-20","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-21","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-22","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-23","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-26","0.23","0.23","0.23","0.23","0","0.23","NONE","0","0","0","NaN"
"UVN","2001-02-27","0.3","0.35","0.3","0.35","3500","0.35","UP","0.304347826086956","0.166666666666667","0.166666666666667","Inf"
"UVN","2001-02-28","0.33","0.45","0.33","0.45","16611","0.45","NONE","0","0.363636363636364","0.363636363636364","3.746"
"UVN","2001-03-01","0.45","0.65","0.45","0.65","14100","0.65","NONE","0","0.444444444444444","0.444444444444444","-0.151164890735055"
"UVN","2001-03-02","0.65","0.65","0.65","0.65","0","0.65","NONE","0","0","0","-1"
"UVN","2001-03-05","0.45","0.45","0.43","0.43","20500","0.43","DOWN","-0.307692307692308","0.0465116279069768","-0.0444444444444445","Inf"
"UVN","2001-03-06","0.43","0.43","0.43","0.43","0","0.43","NONE","0","0","0","-1"
"UVN","2001-03-07","0.43","0.43","0.43","0.43","0","0.43","NONE","0","0","0","NaN"
"UVN","2001-03-08","0.43","0.43","0.43","0.43","0","0.43","NONE","0","0","0","NaN"
"UVN","2001-03-09","0.43","0.43","0.43","0.43","0","0.43","NONE","0","0","0","NaN"
"UVN","2001-03-12","0.43","0.43","0.43","0.43","0","0.43","NONE","0","0","0","NaN"
"UVN","2001-03-13","0.4","0.4","0.4","0.4","4000","0.4","DOWN","-0.069767441860465","0","0","Inf"
"UVN","2001-03-14","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","-1"
"UVN","2001-03-15","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","NaN"
"UVN","2001-03-16","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","NaN"
"UVN","2001-03-19","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","NaN"
"UVN","2001-03-20","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","NaN"
"UVN","2001-03-21","0.4","0.4","0.4","0.4","0","0.4","NONE","0","0","0","NaN"
"UVN","2001-03-22","0.29","0.29","0.28","0.28","10000","0.28","DOWN","-0.275","0.0357142857142855","-0.0344827586206895","Inf"
"UVN","2001-03-23","0.35","0.35","0.35","0.35","14500","0.35","UP","0.206896551724138","0","0","0.45"
"UVN","2001-03-26","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","-1"
"UVN","2001-03-27","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-03-28","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-03-29","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-03-30","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-04-02","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-04-03","0.35","0.35","0.35","0.35","0","0.35","NONE","0","0","0","NaN"
"UVN","2001-04-04","0.18","0.18","0.18","0.18","1050","0.18","DOWN","-0.485714285714286","0","0","Inf"
"UVN","2001-04-05","0.28","0.28","0.28","0.28","1050","0.28","UP","0.555555555555556","0","0","0"
"UVN","2001-04-06","0.28","0.28","0.28","0.28","0","0.28","NONE","0","0","0","-1"
"UVN","2001-04-09","0.28","0.28","0.28","0.28","0","0.28","NONE","0","0","0","NaN"
"UVN","2001-04-10","0.24","0.24","0.24","0.24","1500","0.24","DOWN","-0.142857142857143","0","0","Inf"
"UVN","2001-04-11","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","-1"
"UVN","2001-04-12","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-16","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-17","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-18","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-19","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-20","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-23","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
"UVN","2001-04-24","0.24","0.24","0.24","0.24","0","0.24","NONE","0","0","0","NaN"
