"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"WEN","1996-01-02","10.875","11.25","10.875","11","37300","2.307557","NONE","0","0.0344827586206897","0.0114942528735632","0"
"WEN","1996-01-03","11.125","11.75","11.125","11.75","67600","2.46489","NONE","0","0.0561797752808989","0.0561797752808989","0.812332439678284"
"WEN","1996-01-04","11.75","11.75","11.25","11.375","77900","2.386223","NONE","0","0.0444444444444444","-0.0319148936170213","0.152366863905325"
"WEN","1996-01-05","11.5","11.75","11.5","11.75","54000","2.46489","NONE","0","0.0217391304347826","0.0217391304347826","-0.306803594351733"
"WEN","1996-01-08","11.75","12","11.75","12","13900","2.517334","NONE","0","0.0212765957446809","0.0212765957446809","-0.742592592592593"
"WEN","1996-01-09","12","12","11.5","11.5","35500","2.412445","NONE","0","0.0434782608695652","-0.0416666666666667","1.55395683453237"
"WEN","1996-01-10","11.625","11.625","11.25","11.375","54400","2.386223","NONE","0","0.0333333333333333","-0.021505376344086","0.532394366197183"
"WEN","1996-01-11","11.5","11.875","11.5","11.875","50600","2.491112","NONE","0","0.0326086956521739","0.0326086956521739","-0.0698529411764706"
"WEN","1996-01-12","11.875","12.25","11.875","12.125","73200","2.543557","NONE","0","0.0315789473684211","0.0210526315789474","0.446640316205534"
"WEN","1996-01-15","12.25","12.25","11.875","12.125","61400","2.543557","NONE","0","0.0315789473684211","-0.0102040816326531","-0.16120218579235"
"WEN","1996-01-16","12.25","12.25","11.875","12.25","110600","2.569779","NONE","0","0.0315789473684211","0","0.801302931596091"
"WEN","1996-01-17","12.25","12.25","12","12","52600","2.517334","NONE","0","0.0208333333333333","-0.0204081632653061","-0.524412296564195"
"WEN","1996-01-18","12","12","11.75","12","99600","2.517334","NONE","0","0.0212765957446809","0","0.893536121673004"
"WEN","1996-01-19","12","12.5","12","12.5","62000","2.622224","NONE","0","0.0416666666666667","0.0416666666666667","-0.377510040160643"
"WEN","1996-01-22","12.375","12.875","12.375","12.625","69800","2.648445","NONE","0","0.0404040404040404","0.0202020202020202","0.125806451612903"
"WEN","1996-01-23","12.625","13.875","12.375","13.125","561800","2.753335","NONE","0","0.121212121212121","0.0396039603960396","7.0487106017192"
"WEN","1996-01-24","13.25","13.25","12.625","13.125","150200","2.753335","NONE","0","0.0495049504950495","-0.00943396226415094","-0.732645069419722"
"WEN","1996-01-25","13.25","14.375","13","14.25","282000","2.989336","NONE","0","0.105769230769231","0.0754716981132075","0.877496671105193"
"WEN","1996-01-26","14.375","14.375","13.625","13.625","182400","2.858224","NONE","0","0.055045871559633","-0.0521739130434783","-0.353191489361702"
"WEN","1996-01-29","13.75","13.875","13.5","13.625","45500","2.858224","NONE","0","0.0277777777777778","-0.00909090909090909","-0.750548245614035"
"WEN","1996-01-30","13.75","13.75","13","13","108300","2.727112","NONE","0","0.0576923076923077","-0.0545454545454545","1.38021978021978"
