"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"ZION","2001-06-25","57.470001","57.950001","56.869999","57.669998","1565200","41.156281","NONE","0","0.0189907160012435","0.00348002429998211","0"
"ZION","2001-06-26","57.650002","58.02","57.330002","57.869999","1126200","41.299026","NONE","0","0.0120355481585367","0.0038160796594595","-0.280475338614874"
"ZION","2001-06-27","57.75","58.790001","57.5","58.07","606500","41.441742","NONE","0","0.0224347999999999","0.00554112554112555","-0.461463328005683"
"ZION","2001-06-28","58.110001","58.970001","58.049999","58.790001","505100","41.955589","NONE","0","0.0158484412721524","0.0117019443864749","-0.167188788128607"
"ZION","2001-06-29","58.889999","59","57.799999","59","729900","42.105446","NONE","0","0.02076126333497","0.00186790629763802","0.44506038408236"
"ZION","2001-07-02","58.220001","59.060001","58.220001","59.009998","377200","42.112587","NONE","0","0.0144280313564405","0.0135691684374928","-0.483216879024524"
"ZION","2001-07-03","58.91","59.25","58.799999","59.080002","232500","42.162533","NONE","0","0.00765307836144692","0.00288579188592775","-0.383616118769883"
"ZION","2001-07-05","59.049999","59.07","58.209999","58.439999","296700","41.705799","NONE","0","0.0147741112313023","-0.0103302287947541","0.276129032258065"
"ZION","2001-07-06","58.34","58.400002","57.599998","57.630001","382800","41.127754","NONE","0","0.0138889588155889","-0.0121700205690779","0.290192113245703"
"ZION","2001-07-09","57.740002","57.849998","57.049999","57.560001","338000","41.077793","NONE","0","0.0140227697462361","-0.00311744014141179","-0.117032392894462"
"ZION","2001-07-10","57.549999","57.700001","56.650002","56.799999","813900","40.535423","NONE","0","0.0185348448884432","-0.0130321461864839","1.40798816568047"
"ZION","2001-07-11","56.799999","57.099998","56.18","57","334000","40.678139","NONE","0","0.0163758988964044","0.00352114442818917","-0.58963017569726"
"ZION","2001-07-12","57.009998","57.77","56.68","57.529999","373100","41.056377","NONE","0","0.0192307692307693","0.00912122466659258","0.117065868263473"
"ZION","2001-07-13","57.48","58.900002","57.48","58.380001","391100","41.662987","NONE","0","0.0247042797494781","0.0156576374391093","0.0482444384883409"
"ZION","2001-07-16","58.439999","58.5","57.669998","57.84","242600","41.277615","NONE","0","0.0143922668421109","-0.0102669235158611","-0.37969828688315"
"ZION","2001-07-17","57.799999","58.98","57.5","58.709999","219900","41.898495","NONE","0","0.0257391304347826","0.0157439449090649","-0.0935696619950536"
"ZION","2001-07-18","58.599998","59","57.919998","59","162300","42.105446","NONE","0","0.0186464440140347","0.0068259729292141","-0.26193724420191"
"ZION","2001-07-19","59","59.139999","58.119999","59.07","298000","42.155396","NONE","0","0.0175498970672729","0.00118644067796611","0.836105976586568"
"ZION","2001-07-20","58.650002","58.889999","58.259998","58.77","246700","41.94133","NONE","0","0.0108136117684041","0.00204600163526","-0.172147651006711"
"ZION","2001-07-23","58.41","59.200001","58.200001","58.310001","241800","41.613037","NONE","0","0.0171821302889668","-0.00171201848998454","-0.0198621807863802"
"ZION","2001-07-24","58.279999","58.889999","57.799999","58.369999","481200","41.655857","NONE","0","0.0188581318141546","0.00154426907248237","0.990074441687345"
"ZION","2001-07-25","58.400002","58.560001","58.009998","58.439999","222300","41.705799","NONE","0","0.00948117598624976","0.000684880113531496","-0.538029925187032"
"ZION","2001-07-26","58.439999","58.540001","57.91","58.400002","215300","41.677254","NONE","0","0.0108789673631497","-0.000684411373792111","-0.0314889788573999"
"ZION","2001-07-27","58.400002","58.669998","58.119999","58.490002","367700","41.741486","NONE","0","0.00946316258539508","0.00154109583763364","0.707849512308407"
