"symbol","date","open","high","low","close","volume","adjusted","gap_type","gap_size","range","dailyReturns","relativeVolume"
"D","1996-01-02","20.5","21","20.5","20.9375","630800","6.510193","NONE","0","0.024390243902439","0.0213414634146341","0"
"D","1996-01-03","20.9375","21.1875","20.875","21.1875","307800","6.587931","NONE","0","0.0149700598802395","0.0119402985074627","-0.512048192771084"
"D","1996-01-04","21.0625","21.1875","20.9375","21","619400","6.529627","NONE","0","0.0119402985074627","-0.0029673590504451","1.01234567901235"
"D","1996-01-05","20.875","21.125","20.6875","21.125","662000","6.568495","NONE","0","0.0211480362537764","0.0119760479041916","0.0687762350661931"
"D","1996-01-08","21.0625","21.25","21.0625","21.1875","85400","6.587931","NONE","0","0.00890207715133531","0.00593471810089021","-0.870996978851964"
"D","1996-01-09","21.1875","21.4375","21.1875","21.4375","655000","6.665659","NONE","0","0.0117994100294985","0.0117994100294985","6.66978922716628"
"D","1996-01-10","21.25","21.375","21.125","21.25","777600","6.607359","NONE","0","0.0118343195266272","0","0.187175572519084"
"D","1996-01-11","21.3125","21.3125","20.9375","21.125","974400","6.568495","NONE","0","0.017910447761194","-0.00879765395894428","0.253086419753086"
"D","1996-01-12","21.1875","21.1875","21","21.0625","248800","6.549062","NONE","0","0.00892857142857143","-0.00589970501474926","-0.744663382594417"
"D","1996-01-15","21.0625","21.125","21","21","111200","6.529627","NONE","0","0.00595238095238095","-0.0029673590504451","-0.553054662379421"
"D","1996-01-16","21.0625","21.375","21","21.3125","361200","6.626795","NONE","0","0.0178571428571429","0.0118694362017804","2.24820143884892"
"D","1996-01-17","21.3125","21.375","21.1875","21.3125","390400","6.626795","NONE","0","0.00884955752212389","0","0.0808416389811739"
"D","1996-01-18","21.25","21.28125","21.125","21.25","341600","6.607359","NONE","0","0.00739644970414201","0","-0.125"
"D","1996-01-19","21.1875","21.25","21","21.1875","365600","6.587931","NONE","0","0.0119047619047619","0","0.0702576112412178"
"D","1996-01-22","21.125","21.1875","21.0625","21.125","222400","6.568495","NONE","0","0.00593471810089021","0","-0.391684901531729"
"D","1996-01-23","21.125","21.25","21.0625","21.1875","286000","6.587931","NONE","0","0.00890207715133531","0.0029585798816568","0.285971223021583"
"D","1996-01-24","21.25","21.375","21.1875","21.375","298600","6.646225","NONE","0","0.00884955752212389","0.00588235294117647","0.0440559440559441"
"D","1996-01-25","21.3125","21.3125","21.0625","21.125","261800","6.568495","NONE","0","0.0118694362017804","-0.00879765395894428","-0.123241795043537"
"D","1996-01-26","21.125","21.1875","21","21.1875","338800","6.587931","NONE","0","0.00892857142857143","0.0029585798816568","0.294117647058824"
"D","1996-01-29","21.25","21.3125","21.125","21.25","327200","6.607359","NONE","0","0.00887573964497041","0","-0.0342384887839433"
"D","1996-01-30","21.375","21.375","21.25","21.25","245200","6.607359","NONE","0","0.00588235294117647","-0.00584795321637427","-0.250611246943765"
"D","1996-01-31","21.25","21.4375","21.25","21.4375","299000","6.665659","NONE","0","0.00882352941176471","0.00882352941176471","0.219412724306688"
"D","1996-02-01","21.3125","21.375","21.125","21.25","199200","6.607359","NONE","0","0.0118343195266272","-0.00293255131964809","-0.333779264214047"
"D","1996-02-02","21.1875","21.1875","21","21","364600","6.529627","NONE","0","0.00892857142857143","-0.00884955752212389","0.830321285140562"
"D","1996-02-05","21","21.0625","20.8125","21.0625","299000","6.549062","NONE","0","0.012012012012012","0.00297619047619048","-0.179923203510697"
"D","1996-02-06","21","21.25","21","21.25","454000","6.607359","NONE","0","0.0119047619047619","0.0119047619047619","0.518394648829431"
"D","1996-02-07","21.3125","21.4375","21.25","21.4375","207600","6.665659","NONE","0","0.00882352941176471","0.00586510263929619","-0.54273127753304"
"D","1996-02-08","21.375","21.5","21.3125","21.4375","220800","6.665659","NONE","0","0.00879765395894428","0.00292397660818713","0.0635838150289017"
"D","1996-02-09","21.4375","21.625","21.375","21.5625","525000","6.70453","NONE","0","0.0116959064327485","0.00583090379008746","1.37771739130435"
"D","1996-02-12","21.5625","21.8125","21.5","21.8125","442800","6.782261","NONE","0","0.0145348837209302","0.0115942028985507","-0.156571428571429"
"D","1996-02-13","21.8125","22.1875","21.8125","21.9375","536400","6.821124","NONE","0","0.0171919770773639","0.00573065902578797","0.211382113821138"
"D","1996-02-14","21.9375","21.9375","21.625","21.75","363800","6.762826","NONE","0","0.0144508670520231","-0.00854700854700855","-0.321774794929157"
"D","1996-02-15","21.6875","21.75","21.5","21.6875","341000","6.743395","NONE","0","0.0116279069767442","0","-0.062671797691039"
"D","1996-02-16","21.625","21.625","21.4375","21.5625","614000","6.70453","NONE","0","0.0087463556851312","-0.00289017341040462","0.80058651026393"
"D","1996-02-20","21.4375","21.5625","21.0625","21.1875","890200","6.587931","NONE","0","0.0237388724035608","-0.0116618075801749","0.449837133550489"
"D","1996-02-21","21.1875","21.25","21.0625","21.1875","340600","6.587931","NONE","0","0.00890207715133531","0","-0.617389350707706"
"D","1996-02-22","21.1875","21.375","21.1875","21.1875","636000","6.587931","NONE","0","0.00884955752212389","0","0.86729301233118"
"D","1996-02-23","21.25","21.3125","21","21.0625","440600","6.549062","NONE","0","0.0148809523809524","-0.00882352941176471","-0.307232704402516"
"D","1996-02-26","21.0625","21.3125","20.625","20.6875","395000","6.432459","NONE","0","0.0333333333333333","-0.0178041543026706","-0.103495233772129"
"D","1996-02-27","20.6875","20.875","20.5625","20.6875","3929000","6.432459","NONE","0","0.0151975683890578","0","8.94683544303797"
"D","1996-02-28","20.4375","20.5","20.1875","20.25","2132800","6.396135","DOWN","-0.00303951367781155","0.0154798761609907","-0.00917431192660551","-0.45716467294477"
